Indice,Dispositivo,TipologiaAttacco,RMSE:
4,2,1,155.87518299278986
16,2,4,0.21956645601136426
18,2,1,264.06888460813013
51,2,3,22.14732391533094
73,2,5,0.21956645023359836
93,2,0,0.23827636854219506
99,2,0,0.26208749621860356
112,2,5,0.21956645023359836
123,2,0,0.22120405268221255
133,2,4,0.21956645601136426
147,2,0,0.2664594388476283
185,2,5,0.21956645023359836
190,2,4,0.21956645601136426
191,2,0,0.27286126840850117
196,2,0,0.20520426836347785
209,2,1,104.58277285599742
226,2,0,0.27680498075738813
233,2,4,0.21956645601136426
254,2,0,0.2757592729658265
267,2,4,0.21956645601136426
268,2,4,0.21956645601136426
289,2,2,134.39722984581323
297,2,0,0.2691060580042264
306,2,0,0.16234270427420927
314,2,5,0.21956645023359836
317,2,4,0.21956645601136426
319,2,0,0.2533244334150003
330,2,4,0.21956645601136426
339,2,0,0.2703377012423156
341,2,1,144.74325845287132
342,2,1,127.81981077234174
352,2,5,0.21956644572603437
368,2,4,0.21956645601136426
370,2,1,184.100315781662
380,2,3,21.492671869760663
387,2,2,124.77200630729278
391,2,1,117.91028108096393
406,2,0,0.2666987897973892
407,2,1,76.88903708046072
417,2,5,0.21956645023359836
443,2,1,214.0744359070468
447,2,0,0.26696996706805054
454,2,0,0.24332890648162336
459,2,0,0.27112822086011884
463,2,0,0.27376322658911206
483,2,0,0.2602336496053357
499,2,0,0.24968770113798328
515,2,5,0.21956645023359836
525,2,3,14.370251626832639
532,2,5,0.21956645023359836
540,2,5,0.21956645023359836
544,2,4,0.21956645601136426
559,2,0,0.24875444950368958
574,2,4,0.21956645601136426
575,2,5,0.21956645023359836
583,2,1,237.49459341515785
586,2,0,0.26110628412318043
597,2,0,0.25317972332819416
615,2,4,0.21956645601136426
616,2,3,21.917191439513555
618,2,0,0.2742747559298332
626,2,1,263.95982462205086
633,2,0,0.26085745959337725
642,2,0,0.2750883114180468
650,2,0,0.22188748369846029
661,2,0,0.2750647531204823
667,2,4,0.21956645601136426
680,2,0,0.26827510434717694
682,2,0,0.23262879293816818
687,2,4,0.21956645601136426
690,2,4,0.21956645601136426
693,2,1,240.546476183875
694,2,5,0.21956645023359836
699,2,4,0.21956645601136426
702,2,0,0.22140667546612663
744,2,5,0.21956645023359836
752,2,0,0.2726696177964903
770,2,1,199.50356390096968
773,2,4,0.21956645601136426
774,2,1,205.9882117688752
779,2,0,0.2043287894074995
781,2,1,92.58422015148213
791,2,5,0.21956645023359836
794,2,0,0.27199406221655337
814,2,5,0.21956645023359836
823,2,0,0.2706467019078057
824,2,4,0.21956645601136426
844,2,4,0.21956645601136426
851,2,1,232.372369510804
854,2,1,73.36867379202003
869,2,5,0.21956645023359836
896,2,5,0.21956645023359836
902,2,0,0.22050623894568785
914,2,5,0.21956645023359836
946,2,4,0.21956647607830815
955,2,1,49.201338949961674
964,2,0,0.22138959528371974
978,2,2,26.6156809352138
995,2,5,0.21956645023359836
1069,2,5,0.21956645023359836
1071,2,0,0.27059250705069
1074,2,4,0.21956645601136426
1087,2,5,0.21956645023359836
1088,2,1,211.6924511353494
1092,2,0,0.236688534890874
1095,2,5,0.21956645023359836
1099,2,5,0.21956645023359836
1105,2,5,0.21956645023359836
1113,2,5,0.21956645023359836
1133,2,5,0.21956645023359836
1156,2,4,0.21956645601136426
1171,2,0,0.22048422148043406
1174,2,0,0.2719113212631725
1176,2,1,40.57848534367986
1177,2,5,0.21956645023359836
1210,2,0,0.25276255820452725
1211,2,0,0.22999509871930476
1215,2,5,0.21956645023359836
1223,2,0,0.2725565062065443
1239,2,0,0.2473551118988949
1265,2,0,0.2749707046456974
1271,2,0,0.25940894866550196
1282,2,2,113.4376563652551
1288,2,0,0.2620336709436516
1294,2,0,0.2670703111428929
1301,2,3,21.809109383095386
1310,2,0,0.27259201781973597
1323,2,0,0.2605712904169196
1349,2,5,0.21956645023359836
1353,2,1,89.64409760539824
1356,2,4,0.21956645601136426
1359,2,5,0.21956645023359836
1363,2,0,0.26671748988737926
1371,2,2,133.73390724710333
1375,2,0,0.2533228717051223
1378,2,5,0.21956645023359836
1386,2,0,0.27260718747689494
1417,2,1,54.6025938778747
1421,2,5,0.21956645023359836
1437,2,1,249.2737143847776
1441,2,3,19.632201559841665
1448,2,4,0.21956645023359836
1477,2,5,0.21956645023359836
1520,2,4,0.21956645601136426
1526,2,1,49.271366687147264
1541,2,4,0.21956645601136426
1549,2,3,6.278932630955303
1553,2,0,0.2711738603265608
1560,2,3,21.446160127673135
1562,2,1,81.10017568640585
1564,2,1,114.65005432211346
1570,2,4,0.21956645601136426
1581,2,0,0.2687589342174557
1584,2,0,0.2428963156844769
1609,2,1,123.96417702959415
1611,2,5,0.21956645023359836
1624,2,0,0.26146934562460106
1631,2,2,151.817083295362
1640,2,0,0.2695323063648653
1642,2,0,0.27178747075497806
1646,2,0,0.24204139701584754
1650,2,2,50.47609120008603
1658,2,0,0.2545941119292864
1667,2,1,167.0476932075891
1671,2,4,0.21956645601136426
1672,2,0,0.20248942904300088
1699,2,1,157.73008031079866
1721,2,4,0.21956645601136426
1777,2,5,0.21956645023359836
1780,2,0,0.22048422148043406
1783,2,0,0.2725136833037477
1787,2,0,0.26742615400964026
1790,2,0,0.2699719251453394
1806,2,4,0.21956645601136426
1816,2,4,0.21956645601136426
1828,2,4,0.21956645601136426
1829,2,2,122.16822949947775
1838,2,3,19.464660673213825
1840,2,5,0.21956645023359836
1849,2,4,0.21956645601136426
1851,2,0,0.2307634114644479
1891,2,0,0.2201507178714687
1901,2,0,0.2231167374868881
1909,2,1,142.71259987459908
1920,2,5,0.21956645023359836
1952,2,5,0.21956645023359836
1988,2,0,0.27268000272398907
1990,2,5,0.21956645023359836
1992,2,3,20.59941679234548
2031,2,4,0.21956645601136426
2042,2,5,0.21956644572603437
2048,2,4,0.21956647607830815
2053,2,0,0.2588554578530918
2078,2,4,0.21956645601136426
2094,2,0,0.2768254382212471
2096,2,5,0.21956645023359836
2104,2,4,0.21956645601136426
2111,2,0,0.27232023102808256
2124,2,4,0.21956645601136426
2130,2,1,153.6482008455005
2136,2,5,0.21956645023359836
2156,2,4,0.21956645601136426
2161,2,3,21.367426795370744
2168,2,0,0.27512282779805325
2185,2,5,0.21956645023359836
2189,2,5,0.21956645023359836
2211,2,1,265.6435256865977
2215,2,0,0.272631996240804
2216,2,4,0.21956645601136426
2228,2,0,0.27189018742466825
2239,2,5,0.21956645023359836
2252,2,4,0.21956645601136426
2254,2,5,0.21956645023359836
2284,2,0,0.27260649391515995
2285,2,4,0.21956645601136426
2286,2,1,80.84854310560516
2307,2,0,0.27099716988411027
2308,2,0,0.2708472229602955
2320,2,1,235.0213493722911
2334,2,1,53.10738162452262
2339,2,5,0.21956645023359836
2341,2,5,0.21956645023359836
2343,2,4,0.21956647607830815
2368,2,5,0.21956644572603437
2373,2,4,0.21956645601136426
2391,2,1,101.77054473550824
2406,2,0,0.25333132164912686
2413,2,1,235.34545378069708
2425,2,0,0.27188538242767796
2427,2,1,128.52328480498684
2428,2,2,95.5845609667524
2429,2,4,0.21956645601136426
2434,2,4,0.21956645601136426
2470,2,5,0.21956645023359836
2482,2,1,99.02670112111778
2496,2,4,0.21956645601136426
2498,2,0,0.27157035555114156
2507,2,0,0.2467152844484647
2513,2,3,17.297394242983437
2523,2,0,0.270625431434037
2530,2,0,0.2664543127263308
2532,2,0,0.27673908382554163
2545,2,0,0.23967365384230543
2548,2,5,0.21956645023359836
2550,2,2,161.90116388733313
2564,2,5,0.21956645023359836
2571,2,5,0.21956645023359836
2596,2,4,0.21956645601136426
2612,2,3,18.84578875999767
2625,2,5,0.21956645023359836
2634,2,0,0.24123328896846688
2643,2,5,0.21956645023359836
2654,2,1,76.87086110085934
2657,2,0,0.22044317613815603
2671,2,1,263.8652972064466
2686,2,4,0.21956647607830815
2710,2,5,0.21956645023359836
2716,2,5,0.21956645023359836
2729,2,0,0.24297772545764684
2735,2,0,0.2605712847508554
2740,2,1,211.9500963714583
2746,2,2,118.06248768566422
2748,2,0,0.24689582291017426
2771,2,5,0.21956645023359836
2797,2,0,0.2714584135960694
2798,2,0,0.2720888261497476
2809,2,0,0.27592404154830324
2817,2,2,116.84074514499989
2829,2,4,0.21956645601136426
2831,2,4,0.21956645601136426
2833,2,1,60.390697184442494
2835,2,5,0.21956645023359836
2842,2,1,56.151178987904856
2845,2,0,0.2722229251176944
2848,2,0,0.2703053131067183
2852,2,3,22.12081300198754
2870,2,4,0.21956645601136426
2900,2,1,136.20978311339996
2902,2,3,16.582833172771945
2908,2,0,0.22978114435510674
2923,2,0,0.2676186149769217
2950,2,3,21.958728447384377
2956,2,1,60.51854023856364
2978,2,5,0.21956645023359836
2991,2,0,0.2536195033570113
2999,2,5,0.21956645023359836
3019,2,5,0.21956644572603437
3025,2,4,0.21956647607830815
3026,2,0,0.2217292234773395
3027,2,4,0.21956645601136426
3037,2,0,0.2528212429874719
3084,2,5,0.21956645023359836
3085,2,4,0.21956645601136426
3094,2,5,0.21956645023359836
3100,2,1,250.56130518811986
3115,2,4,0.21956645601136426
3148,2,0,0.24082159656768498
3156,2,0,0.25019221593605756
3168,2,5,0.21956645023359836
3174,2,0,0.2660626983538539
3179,2,4,0.21956645601136426
3190,2,5,0.21956645023359836
3194,2,3,16.508756015284735
3195,2,5,0.21956645023359836
3200,2,5,0.21956645023359836
3202,2,4,0.21956645601136426
