Indice,Dispositivo,TipologiaAttacco,RMSE:
49274,2,5,0.13392888713636422
49277,2,5,0.13392888713636422
49279,2,5,0.13392888713636422
49281,2,5,0.13392888713636422
49282,2,5,0.13392888713636422
49284,2,5,0.13392888713636422
49289,2,5,0.13392888713636422
49292,2,5,0.13392888713636422
49295,2,5,0.13392888713636422
49296,2,5,0.13392888713636422
49299,2,5,0.13392888713636422
49301,2,5,0.13392888713636422
49312,2,5,0.13392888713636422
49320,2,5,0.13392888713636422
49322,2,5,0.13392888713636422
49325,2,5,0.13392888713636422
49328,2,5,0.13392888713636422
49330,2,5,0.13392888713636422
49335,2,5,0.13392888713636422
49339,2,5,0.13392888713636422
49342,2,5,0.13392888713636422
49344,2,5,0.13392888713636422
49350,2,5,0.13392888713636422
49353,2,5,0.13392888713636422
49354,2,5,0.13392888713636422
49357,2,5,0.13392888713636422
49358,2,5,0.13392888713636422
49363,2,5,0.13392888713636422
49364,2,5,0.13392888713636422
49365,2,5,0.13392888713636422
49367,2,5,0.13392888842550152
49369,2,0,0.04905229146196555
49381,2,5,0.13392888713636422
49383,2,5,0.13392888713636422
49386,2,5,0.13392888713636422
49391,2,5,0.13392888713636422
49392,2,5,0.13392888713636422
49393,2,5,0.13392888713636422
49400,2,1,50.38722716890703
49401,2,5,0.13392888713636422
49402,2,1,39.103656368495756
49403,2,5,0.13392888713636422
49404,2,1,58.66125405853739
49405,2,5,0.13392888713636422
49407,2,5,0.13392888713636422
49409,2,1,30.845506054976102
49410,2,1,19.231870487707372
49411,2,5,0.13392888713636422
49413,2,5,0.13392888713636422
49415,2,5,0.13392888713636422
49416,2,5,0.13392888713636422
49417,2,5,0.13392888713636422
49418,2,1,39.12782127209572
49419,2,1,68.4309170271326
49420,2,5,0.13392888713636422
49422,2,1,59.724983635853434
49427,2,5,0.13392888713636422
49428,2,1,56.34377885013794
49430,2,1,67.10314725078015
49431,2,5,0.13392888713636422
49433,2,5,0.13392888713636422
49434,2,5,0.13392888713636422
49435,2,5,0.13392888842550152
49436,2,1,86.38380640091066
49438,2,1,87.6624877723245
49439,2,5,0.13392888713636422
49442,2,1,81.59248377785784
49443,2,5,0.13392888713636422
49446,2,1,75.90265430007162
49447,2,1,104.1348827802541
49449,2,5,0.13392888713636422
49451,2,1,107.97858932680532
49452,2,1,53.967321899477845
49453,2,5,0.13392888713636422
49456,2,5,0.13392888713636422
49459,2,5,0.13392888713636422
49460,2,5,0.13392888713636422
49461,2,1,22.962266908562114
49464,2,5,0.13392888713636422
49467,2,1,75.83834939364469
49468,2,1,104.52995331898477
49470,2,0,0.05213369942308918
49471,2,5,0.13392888713636422
49472,2,5,0.13392888713636422
49473,2,1,27.4492321509136
49477,2,5,0.13392888713636422
49481,2,5,0.13392888713636422
49482,2,5,0.13392888713636422
49484,2,5,0.13392888713636422
49487,2,5,0.13392888713636422
49488,2,5,0.13392888713636422
49491,2,5,0.13392888713636422
49493,2,5,0.13392888713636422
49495,2,5,0.13392888713636422
49496,2,5,0.13392888842550152
49497,2,5,0.13392888842550152
49501,2,5,0.13392888713636422
49502,2,1,80.24601330131216
49503,2,5,0.13392888713636422
49505,2,1,102.12369910299057
49506,2,5,0.13392888713636422
49510,2,5,0.13392888713636422
49513,2,1,71.25967634742129
49515,2,5,0.13392888713636422
49519,2,1,64.91082972261115
49520,2,5,0.13392888713636422
49521,2,1,67.15532510083834
49522,2,0,0.03270736885904649
49523,2,5,0.13392888713636422
49530,2,5,0.13392888713636422
49536,2,5,0.13392888713636422
49537,2,5,0.13392888713636422
49540,2,5,0.13392888713636422
49541,2,1,29.31782735495513
49542,2,0,0.04829464250532127
49543,2,5,0.13392888713636422
49544,2,5,0.13392888713636422
49546,2,5,0.13392888713636422
49549,2,1,52.618008015892514
49550,2,5,0.13392888713636422
49551,2,5,0.13392888713636422
49552,2,5,0.13392888713636422
49556,2,1,106.54271578464433
49558,2,5,0.13392888713636422
49561,2,5,0.13392888713636422
49562,2,1,64.11284238602421
49563,2,5,0.13392888842550152
49564,2,1,86.85647328488814
49566,2,1,35.73721004158547
49567,2,5,0.13392888713636422
49570,2,1,18.073222512194736
49573,2,5,0.13392888713636422
49574,2,0,0.044287666164766364
49576,2,1,73.40907393096353
