Indice,Maligno,Dispositivo,TipologiaAttacco,RMSE:
7,1,0,4,0.2803610500636547
17,1,0,7,156.36713805886626
37,1,0,9,397.6871105179807
41,1,0,9,763.6500171977392
46,1,0,6,544.0090900421998
57,1,0,8,286.8016161305986
71,1,0,5,0.2803610500636547
77,1,0,6,344.1100739075601
84,1,0,1,287.6485751947988
87,1,0,4,0.2803610500636547
88,1,0,9,370.3681298222023
98,1,0,4,0.2803610500636547
111,1,0,9,427.83797421608324
117,1,0,3,59.55808595861735
129,1,0,9,110.21697846374488
151,1,0,6,544.3710668081109
153,1,0,4,0.2803610500636547
158,1,0,6,335.77751242285154
165,1,0,6,631.4238457994932
167,1,0,3,42.92271101783133
171,1,0,10,95.52862650985568
174,1,0,4,0.2803610500636547
189,1,0,9,623.9381561528718
227,1,0,4,0.2803610500636547
233,1,0,8,311.76704944828373
239,1,0,3,20.344490475754036
261,1,0,10,422.4526545783443
263,1,0,7,150.06600199653084
269,1,0,9,683.7950163574058
273,1,0,9,671.1105986062673
277,1,0,9,668.0189863265433
282,1,0,3,58.81807407127902
286,1,0,5,0.2803610500636547
304,1,0,9,690.666456660264
324,1,0,10,530.9941515900388
326,1,0,4,0.2803610500636547
330,1,0,8,695.273729518523
335,1,0,7,131.76192349726
348,1,0,9,512.565559045398
356,1,0,5,0.2803610500636547
357,1,0,9,670.1205824250067
363,1,0,3,55.934019303920486
375,1,0,4,0.2803610500636547
423,1,0,8,221.15377439316418
450,1,0,9,746.4488029214882
460,1,0,6,216.47360589319447
469,1,0,5,0.2803610500636547
487,1,0,9,534.238040163388
490,1,0,2,60.178789646322564
493,1,0,4,0.2803610500636547
511,1,0,1,556.9293720722826
516,1,0,6,147.54211843850365
532,1,0,1,742.6138453061042
539,1,0,10,216.9887031229367
562,1,0,7,156.0732436634063
563,1,0,4,0.2803610500636547
573,1,0,7,145.7267533376123
587,1,0,8,439.81220239400767
589,1,0,9,662.105242953289
610,1,0,2,422.31992460788894
617,1,0,10,105.8197672282296
631,1,0,5,0.2803610500636547
634,1,0,6,584.1289826051906
647,1,0,10,320.8851481201183
650,1,0,10,511.78724566208837
673,1,0,10,255.80283503313393
675,1,0,5,0.2803610500636547
678,1,0,8,599.2738015756776
704,1,0,2,97.9817905891591
724,1,0,6,192.7964681866318
726,1,0,8,661.5612049287657
732,1,0,8,344.2496095993712
743,1,0,5,0.2803610500636547
747,1,0,6,404.08464879978266
751,1,0,9,415.53569354041105
760,1,0,8,712.9265006072574
765,1,0,10,288.41518600529275
768,1,0,9,739.3729426664363
814,1,0,7,154.42485089255584
815,1,0,4,0.2803610500636547
817,1,0,7,154.4721809638964
822,1,0,9,431.8737199740837
826,1,0,2,311.02684512725153
856,1,0,9,722.9109323078559
868,1,0,7,137.18007608216314
882,0,0,0,0.01486088321459768
894,1,0,5,0.2803610500636547
898,1,0,6,493.3399189313195
903,1,0,6,590.6607471547543
920,1,0,3,49.55673123444743
954,1,0,9,673.0420871656754
961,1,0,4,0.2803610500636547
962,1,0,7,145.11499802796396
979,1,0,7,155.79954498448507
986,1,0,10,479.12803431660444
1005,1,0,9,646.4962603962438
1008,0,0,0,0.023656446728310472
1012,1,0,6,280.9341379537469
1019,1,0,8,138.13529442948087
1022,1,0,6,266.52778253242406
1025,1,0,3,45.007096725775696
1030,1,0,9,200.82881552299148
1035,1,0,7,79.77103601642547
1064,1,0,7,125.04796191739709
1065,1,0,2,121.72826126318704
1070,1,0,9,409.07010850034635
1072,1,0,10,521.6638342857734
1075,0,0,0,0.024272595135688857
1083,1,0,8,651.7086205233568
1089,1,0,3,52.12591444774357
1093,1,0,9,392.3392771526746
1095,1,0,9,431.6364572331905
1098,1,0,9,631.3772592741949
1129,1,0,9,734.6367699642558
1137,1,0,9,382.647789170002
1142,1,0,5,0.2803610500636547
1174,1,0,9,726.6533342781642
1189,1,0,7,153.2848143243196
1190,1,0,7,136.967094988785
1206,1,0,7,155.61817553952378
1212,1,0,9,380.4503628553076
1213,1,0,2,243.875224526971
1219,1,0,8,518.7715724241143
1221,1,0,8,353.467172981645
1228,1,0,5,0.2803610500636547
1229,1,0,9,702.0534230412093
1233,1,0,5,0.28036106088493484
1235,1,0,6,478.186988470258
1238,1,0,9,240.33791711369412
1251,1,0,5,0.2803610500636547
1258,1,0,7,107.68558687286958
1259,0,0,0,0.019926362958125984
1260,1,0,7,133.81542168397726
1275,1,0,2,81.48045730523351
1283,1,0,5,0.2803610500636547
1284,1,0,1,697.6914524885178
1285,1,0,4,0.2803610500636547
1287,1,0,1,432.560277332106
1298,1,0,6,265.0535626079727
1305,1,0,9,248.16133134721798
1320,1,0,10,337.08076930175287
1337,1,0,9,379.0333588533942
1357,1,0,9,767.2767739534975
1375,1,0,9,564.8211038087187
1389,1,0,4,0.2803610500636547
1399,1,0,9,680.4018211293616
1406,1,0,9,761.4127871365259
1411,0,0,0,0.034114701596915514
1413,1,0,10,155.48498074113309
1437,1,0,9,621.7341896888431
1440,1,0,7,105.03100637527423
1454,1,0,10,203.95757861836225
1459,1,0,4,0.2803610500636547
1468,1,0,10,285.73880843065155
1493,1,0,8,670.4968477798064
1499,1,0,7,154.97433319392542
1522,1,0,6,368.81316867265843
1532,1,0,8,589.82368945437
1540,1,0,7,102.46065871721864
1547,1,0,10,545.8922734503163
1559,1,0,2,187.73892903564627
1584,1,0,5,0.2803610500636547
1585,1,0,8,222.21033672089573
1597,1,0,9,414.98736680603804
1603,1,0,6,573.4145629845424
1615,1,0,7,133.17844762972894
1620,0,0,0,0.03220953578583138
1624,1,0,9,373.52618083058627
1626,1,0,1,458.66382706141803
1633,1,0,8,619.4399834133883
1637,1,0,4,0.2803610500636547
1639,1,0,1,82.95190037937623
1647,1,0,6,570.4512751807357
1650,1,0,4,0.2803610500636547
1653,1,0,6,323.98996954316425
1661,0,0,0,0.014197602784142458
1677,1,0,5,0.2803610500636547
1680,1,0,4,0.2803610500636547
1698,1,0,5,0.2803610500636547
1706,1,0,10,267.504183516924
1707,0,0,0,0.03161874756982479
1722,1,0,7,147.51266096362767
1725,1,0,9,266.39585623209234
1736,1,0,10,205.75489692922253
1744,1,0,10,185.72078753646423
1753,1,0,10,126.49598645765394
1760,1,0,8,285.27939377111454
1763,1,0,9,766.8177503074147
1769,1,0,5,0.2803610500636547
1777,1,0,9,409.46102878567484
1780,1,0,6,333.8551336029708
1787,1,0,9,252.84176877685618
1791,1,0,4,0.2803610500636547
1800,1,0,7,155.32354409374958
1808,1,0,6,325.2047391000273
1822,1,0,9,632.8360381872918
1830,1,0,9,342.07184491093346
1839,1,0,9,431.2509065384384
1858,1,0,8,359.3771154269107
1880,1,0,4,0.2803610500636547
1881,0,0,0,0.3145765536137809
1892,1,0,4,0.2803610500636547
1899,1,0,4,0.2803610500636547
1902,1,0,4,0.2803610500636547
1906,1,0,1,642.2116095611328
1907,1,0,9,732.872836969371
1920,1,0,8,584.6829262443271
1930,1,0,6,500.3295449843344
1938,1,0,4,0.2803610500636547
1945,1,0,10,164.71911058950835
1969,1,0,9,759.8914482069324
1985,1,0,7,149.14383904240003
1986,1,0,9,740.8173435896448
1987,1,0,3,22.824513590735087
1997,1,0,4,0.2803610500636547
1998,1,0,4,0.2803610500636547
2004,1,0,4,0.2803610500636547
2009,1,0,4,0.2803610500636547
2011,1,0,9,285.1375336043431
2013,1,0,9,324.8222061999475
2049,1,0,5,0.2803610500636547
2054,1,0,9,683.003280203088
2059,1,0,10,245.22531277308047
2091,1,0,9,518.2904253109139
2095,1,0,5,0.2803610500636547
2112,1,0,9,737.9823188907023
2122,1,0,5,0.2803610500636547
2141,1,0,2,438.30073625976473
2148,1,0,7,140.64856417760407
2163,1,0,9,723.4000266965616
2167,1,0,5,0.2803610500636547
2201,1,0,8,574.434717551967
2207,1,0,6,364.00026519978945
2215,1,0,7,149.20176113205304
2227,1,0,9,279.3130858692614
2230,1,0,9,315.4701306127865
2237,1,0,7,153.53745413009918
2255,1,0,7,123.50975463360263
2257,1,0,5,0.2803610500636547
2260,1,0,7,120.13401778676527
2268,1,0,3,58.44797982875934
2283,1,0,8,264.4254120428923
2314,1,0,7,143.57881551499707
2317,1,0,5,0.2803610500636547
2330,1,0,9,332.2845165382042
2342,1,0,9,660.5978141865487
2346,1,0,9,764.3203092607444
2355,0,0,0,0.02198107861459891
2365,1,0,4,0.2803610500636547
2366,1,0,1,208.7706593875181
2381,1,0,9,759.7177569999395
2390,1,0,9,475.0311945921793
2393,1,0,9,671.1846457618713
2399,1,0,7,152.57458611463287
2405,1,0,8,349.628910611027
2410,1,0,5,0.28036106088493484
2413,1,0,6,287.4986877627227
2425,1,0,8,601.5162301536952
2453,1,0,4,0.2803610500636547
2458,1,0,8,744.4262008886358
2470,1,0,9,323.6298139278731
2475,1,0,5,0.2803610500636547
2505,1,0,9,498.3107209208045
2525,1,0,5,0.2803610500636547
2532,1,0,8,507.4760687044161
2545,1,0,5,0.2803610500636547
2546,1,0,9,724.1496605119437
2584,1,0,7,152.33107015550013
2611,1,0,7,150.84103009210313
2616,1,0,9,500.7863146859922
2627,1,0,1,245.42717326982105
2636,1,0,6,619.9355997085632
2638,1,0,9,671.2541575078272
2647,1,0,9,313.2488694212129
2648,1,0,8,664.9124295132918
2652,1,0,4,0.2803610500636547
2669,1,0,7,149.96193011978855
