Indice,Maligno,Dispositivo,TipologiaAttacco,RMSE:
6,1,0,9,965.046330679114
14,1,0,4,0.22208633644618223
15,1,0,9,492.78350679403087
38,1,0,6,123.9865769344866
40,1,0,9,1009.7922491198882
52,1,0,6,782.9083467813018
59,1,0,1,201.8836709843963
62,1,0,6,612.3901298805584
67,1,0,10,170.68309935905208
81,1,0,9,728.9357008755156
84,1,0,5,0.22208633644618223
92,1,0,9,887.0426438045306
93,1,0,8,246.7349633831662
96,1,0,10,653.1360328965884
98,1,0,7,187.40276907342866
109,1,0,5,0.22208633644618223
110,1,0,9,423.18495523201415
119,1,0,9,1000.0735357634284
121,1,0,9,743.5777243491917
123,1,0,2,546.0900221258061
133,0,0,0,0.03470482479318935
138,1,0,1,272.57386315991033
147,1,0,9,490.3898982551128
150,1,0,9,472.4840081303069
157,1,0,6,355.04201616963707
158,1,0,7,180.90160829613689
161,1,0,9,924.0410167066794
188,1,0,9,428.07566207355836
189,1,0,6,630.1980671345109
193,1,0,6,291.10927350432826
201,1,0,1,343.05131519344525
208,1,0,9,165.72196870291094
229,1,0,6,223.67863572404895
234,1,0,10,597.450787241236
239,1,0,10,226.3028233656
243,1,0,5,0.22208633644618223
280,0,0,0,0.030357905973997918
292,1,0,8,298.98755730070724
301,1,0,10,354.6369019696648
309,1,0,3,30.86593614209919
311,1,0,10,228.02653563086642
315,1,0,9,344.7003425252969
316,1,0,8,960.979100236753
319,1,0,9,894.3538345645994
322,1,0,1,221.6162601654034
334,1,0,7,165.96146249825958
336,1,0,7,186.78896125900764
344,1,0,9,966.5664149274654
355,1,0,9,485.95739528271105
364,1,0,9,450.8481271952663
367,1,0,6,698.2839073785515
382,1,0,9,465.4358609961749
389,1,0,5,0.22208633644618223
397,1,0,8,680.9417482641009
403,1,0,10,291.5278788851661
406,1,0,4,0.22208633644618223
432,1,0,6,434.4760280855999
443,1,0,4,0.22208633644618223
448,0,0,0,0.02154505897004458
456,1,0,9,485.6002585358959
459,1,0,3,34.60518831012817
463,1,0,1,426.0454227872213
464,1,0,7,140.3147379192788
470,1,0,9,378.1625646822866
476,1,0,4,0.22208633644618223
480,1,0,2,556.7915621706791
486,1,0,8,601.3285732684461
511,1,0,7,186.40655381782827
513,1,0,6,595.6971760912808
523,1,0,9,565.3192578160598
534,1,0,9,385.7378163719746
535,1,0,4,0.22208633644618223
539,1,0,9,972.3604351789456
546,1,0,9,989.8993293737057
571,1,0,4,0.22208633644618223
576,1,0,8,437.6753830051968
578,1,0,4,0.22208633644618223
584,0,0,0,0.06710969231921202
587,1,0,6,374.574924889461
604,1,0,5,0.22208633644618223
611,1,0,9,927.4695625812583
618,1,0,9,837.6051702623112
626,1,0,7,183.348565472226
629,1,0,6,460.0384457188581
647,1,0,9,839.9106696205682
649,1,0,10,196.72410646945272
654,1,0,10,285.904644605119
666,0,0,0,0.015223858176840573
693,0,0,0,0.022438394804858812
699,1,0,7,185.67515963309793
704,1,0,8,415.0274207754647
720,1,0,9,518.3853623814678
727,1,0,1,522.437473062741
728,1,0,9,1008.6594448918972
729,1,0,9,986.6728571351324
733,0,0,0,0.030992164786680033
759,1,0,4,0.22208633644618223
773,1,0,4,0.22208633644618223
784,0,0,0,0.021873852583891223
788,1,0,4,0.22208633644618223
789,1,0,8,378.7517327567859
791,1,0,8,614.6418715557585
806,1,0,9,838.3556000958683
815,1,0,5,0.22208633644618223
826,1,0,5,0.22208633644618223
833,1,0,9,775.1922045383499
854,1,0,1,426.5521379544597
865,1,0,2,390.50149661963013
867,1,0,5,0.22208633644618223
879,1,0,6,200.95398786849506
887,1,0,4,0.22208633644618223
925,1,0,8,862.7058947218749
930,1,0,4,0.22208633644618223
942,1,0,8,858.2460046095204
964,1,0,8,663.1465620635569
988,1,0,6,639.789074778691
1001,1,0,4,0.22208633644618223
1016,1,0,4,0.22208633644618223
1024,1,0,6,802.4687590475144
1043,1,0,4,0.22208633644618223
1074,1,0,4,0.22208633644618223
1079,1,0,6,729.2564319997347
1088,1,0,4,0.22208633644618223
1120,1,0,1,994.0902012172376
1121,1,0,10,100.26849778460951
1129,1,0,6,614.566681851841
1154,1,0,9,380.27782379785685
1159,1,0,9,307.7285283770826
1167,1,0,1,306.23303540937593
1206,1,0,5,0.22208633644618223
1224,1,0,5,0.22208633644618223
1228,1,0,6,350.6243410478896
1233,1,0,9,659.2590045817066
1249,1,0,4,0.22208633644618223
1258,1,0,7,174.37594201827238
1265,1,0,6,539.3544672281089
1277,1,0,10,589.6575549501855
1278,1,0,10,269.50573266335186
1283,1,0,4,0.22208633644618223
1284,1,0,7,162.74879554156277
1298,0,0,0,0.028045544252031575
1300,1,0,4,0.22208633644618223
1311,1,0,1,597.3052447861655
1312,1,0,7,175.035699156974
1318,1,0,9,799.2747978098439
1319,1,0,9,892.2628243577441
1337,1,0,7,181.31085250005302
1375,1,0,4,0.22208633644618223
1387,1,0,9,995.2892780679105
1405,1,0,1,878.4325540861342
1423,1,0,4,0.22208633644618223
1425,1,0,9,511.86726930792133
1428,1,0,8,791.1211544044558
1437,1,0,3,71.7162392531736
1438,1,0,5,0.22208633644618223
1462,1,0,7,81.87874334401937
1463,1,0,5,0.22208633644618223
1466,1,0,5,0.22208633644618223
1476,1,0,1,347.0845315609509
