Indice,Maligno,Dispositivo,TipologiaAttacco,RMSE:
1,1,0,4,0.1929490508792621
11,1,0,9,691.7931696433743
12,1,0,9,949.1733028039209
14,1,0,9,1121.8506020334173
28,1,0,6,456.01790606035706
30,1,0,4,0.1929490508792621
40,1,0,6,904.0060420604374
50,1,0,10,576.5639602734025
55,1,0,7,185.95398114753687
60,1,0,8,967.0038888900357
63,1,0,9,1186.8183192710646
65,1,0,1,972.910564501486
86,1,0,9,862.2068748100662
100,1,0,4,0.1929490508792621
109,1,0,1,627.4120985597102
116,1,0,8,818.1811158126218
118,1,0,4,0.1929490508792621
120,1,0,7,239.17784316578638
128,1,0,9,495.07115141500674
136,1,0,1,758.1120464775759
149,1,0,8,1122.298582580965
197,1,0,7,247.895393624572
209,1,0,4,0.1929490508792621
217,1,0,9,650.6397729272444
221,1,0,7,96.83799322330749
238,1,0,5,0.1929490508792621
245,1,0,4,0.1929490508792621
251,1,0,8,1095.7974244759234
258,1,0,7,248.9324687592422
270,1,0,2,151.51872491444357
274,1,0,8,1010.0018640753884
287,1,0,9,1281.4329144232693
288,1,0,4,0.1929490508792621
298,1,0,8,562.1213498898828
300,1,0,10,389.56100195276866
301,1,0,2,33.2087122396299
304,1,0,10,901.2489537114849
309,1,0,6,571.9156883226796
312,1,0,7,151.3604124641121
324,1,0,10,1009.2241113610035
368,1,0,8,390.5885733364033
378,0,0,0,0.027364738067838745
379,1,0,10,437.84015531810985
398,1,0,10,135.8205283451588
405,1,0,10,642.233228341703
415,1,0,10,1034.5544241181512
422,1,0,9,872.5030700716115
423,1,0,6,650.7319084360195
424,1,0,10,357.7781366780191
441,1,0,1,914.6965373497525
445,1,0,2,592.510919518421
456,1,0,10,209.99651539464412
481,1,0,9,983.8321593361006
482,1,0,10,401.02667089037845
493,1,0,9,523.423963054521
515,1,0,3,86.21726920899927
524,1,0,10,853.6358477248808
534,1,0,9,398.4363080385796
535,1,0,6,947.7218819017352
536,1,0,10,174.21429846105553
541,1,0,1,151.4197872690498
543,1,0,7,216.92759364306423
561,1,0,1,706.3176721334584
586,1,0,7,180.16234827385
591,1,0,7,176.8131001545829
637,1,0,1,510.34985010009
649,1,0,8,1130.4518083042922
658,1,0,4,0.1929490508792621
665,1,0,6,913.5142027964013
683,1,0,6,405.19555568067904
716,1,0,7,107.12903489445097
724,1,0,8,152.81638345089178
732,0,0,0,0.0166778183950385
738,1,0,9,1220.9456264776254
768,1,0,2,153.02833373480587
776,1,0,9,417.3753051103478
780,1,0,8,1222.2824271512839
781,1,0,9,414.2370740933321
794,1,0,6,1051.4264657371582
796,1,0,8,1178.985377345248
805,1,0,9,660.1843280709124
816,1,0,6,844.5930429173894
827,1,0,4,0.1929490508792621
828,1,0,9,184.73810351283336
837,1,0,8,365.66193018438906
838,1,0,8,952.7467035664996
848,1,0,10,999.4925320333139
861,1,0,2,715.1562353482437
881,1,0,8,586.2163769098499
882,1,0,9,477.21435162707047
930,1,0,1,1124.916702403494
942,1,0,7,169.82562162269986
943,1,0,5,0.1929490508792621
946,1,0,5,0.1929490508792621
955,1,0,9,1055.3740700986914
971,1,0,7,141.16344429977377
979,1,0,10,143.65053724982494
991,1,0,6,501.1552506641701
1004,1,0,5,0.1929490508792621
1008,1,0,5,0.1929490508792621
1013,1,0,7,233.67047994581117
1024,1,0,6,489.83824441068174
1027,1,0,9,1188.0475669283726
1042,1,0,9,632.3955161456006
1045,1,0,8,1147.931555207022
1046,1,0,7,201.0050792712294
1056,1,0,5,0.1929490508792621
1058,0,0,0,0.024727810171217193
1065,1,0,5,0.1929490508792621
1067,1,0,7,248.6773787403535
1075,1,0,9,1286.7708143554557
1085,1,0,9,1288.0600591346476
1088,1,0,6,544.6117697213875
1091,1,0,3,92.00611869585026
1100,1,0,9,839.0972621049024
1114,1,0,5,0.1929490508792621
1118,1,0,6,344.8538849795843
1120,1,0,9,511.7582223871777
1131,1,0,9,533.8962616251105
1140,1,0,9,774.6838948234862
1152,1,0,9,682.4678594723644
1194,1,0,7,249.22165587157005
1199,1,0,10,423.8206027493702
1214,1,0,4,0.1929490508792621
1236,1,0,5,0.1929490508792621
1258,1,0,10,467.63701780250955
1263,1,0,4,0.19294904119982287
1267,1,0,7,105.93501067037053
1284,1,0,9,412.0333539715412
1285,1,0,9,1236.195055846436
1289,1,0,9,310.3148248208117
1298,1,0,6,397.2317560677955
1309,1,0,8,270.1346134492482
1312,1,0,7,244.91542049772806
1317,1,0,5,0.1929490508792621
1336,1,0,10,864.514868520544
1339,1,0,6,241.79469117820204
