Indice,Maligno,Dispositivo,TipologiaAttacco,RMSE:
8,1,0,9,1011.8460227622148
14,1,0,1,921.2487724666125
34,1,0,8,1083.2672041766316
41,1,0,6,481.7540674623557
71,1,0,8,242.90193286011367
96,1,0,9,1161.4755497632832
113,0,0,0,0.05304458300885342
132,1,0,9,312.3203088736114
143,1,0,4,0.21771755585438649
146,1,0,7,66.55998740827961
158,1,0,5,0.21771755585438649
172,1,0,3,51.784169434757516
182,1,0,5,0.21771755585438649
187,0,0,0,0.08813630580388596
217,1,0,6,688.8859782050785
232,1,0,9,595.0949053851994
240,1,0,7,110.59422400289075
248,1,0,1,397.4222524015537
253,1,0,10,519.0947362889805
260,1,0,6,270.28136887169717
264,1,0,7,134.1475469883761
275,1,0,5,0.21771755585438649
279,1,0,9,373.76650139410856
280,1,0,9,390.78506487912665
303,1,0,9,814.9778466218137
320,1,0,8,339.55947776709525
336,1,0,9,313.29474936475197
338,1,0,6,917.8253571768051
350,1,0,9,957.8249092739312
367,1,0,6,776.1207349141666
392,1,0,9,1126.4456888691373
409,1,0,9,181.45929875342276
425,1,0,9,1079.3667979002814
434,1,0,6,993.3439892195995
451,1,0,10,961.25988836377
466,1,0,7,141.06060911122006
481,1,0,9,216.5463132010333
485,1,0,8,272.65383228634084
503,1,0,10,259.0942640418484
527,1,0,6,1046.9271303420398
533,1,0,6,753.1800375838907
565,1,0,4,0.21771755585438649
583,1,0,9,234.72433336107702
588,1,0,5,0.21771755585438649
589,1,0,5,0.21771755585438649
631,1,0,6,799.8288822860306
654,1,0,5,0.21771755585438649
658,1,0,4,0.21771755585438649
666,1,0,4,0.21771755585438649
673,1,0,9,115.71222915988609
684,1,0,9,314.00352625847927
697,1,0,9,274.60591847901384
699,1,0,9,1178.6248739643927
701,1,0,9,342.68183163017966
703,1,0,8,313.36614867338955
723,1,0,1,777.7310714865013
761,1,0,9,642.796630693033
767,0,0,0,0.06476326408016289
769,1,0,5,0.21771755585438649
772,1,0,7,67.81502822907822
777,1,0,10,652.196155166352
780,1,0,9,1233.9014933869955
798,1,0,4,0.21771755008354665
820,1,0,5,0.21771755008354665
843,1,0,10,204.04768070317502
844,1,0,8,788.1244072372727
860,1,0,10,1000.048357624828
862,1,0,5,0.21771755585438649
864,1,0,9,909.4463151678556
879,1,0,1,1213.5616311963718
880,1,0,5,0.21771755585438649
886,1,0,5,0.21771755585438649
893,1,0,2,212.41734313083376
895,0,0,0,0.03535802549864662
899,1,0,5,0.21771755585438649
903,0,0,0,0.03827884097748067
906,1,0,4,0.21771755585438649
915,1,0,9,1052.5030320688516
916,1,0,1,1061.592501170721
924,1,0,8,304.9065889973798
926,1,0,9,1083.6172726010664
937,1,0,6,302.7885316370165
955,1,0,3,53.149064872043034
968,1,0,9,280.59448220942215
972,1,0,10,203.73799126690005
982,1,0,9,1001.954848516862
983,1,0,5,0.21771755585438649
987,1,0,9,359.15004140990783
988,1,0,6,802.1964522548723
1019,1,0,10,199.26377252782834
1025,1,0,8,1086.535131463957
1033,1,0,9,746.6916591804987
1037,1,0,1,81.39486000885088
1056,1,0,5,0.21771755585438649
1072,1,0,5,0.21771755008354665
1077,1,0,10,815.9068412515109
1084,1,0,8,253.8200272994928
1088,1,0,9,383.51509296801623
1095,1,0,9,1229.9597536819128
1098,1,0,8,1113.8220278411973
1119,1,0,8,197.2832605766137
1128,1,0,9,1172.9398346643284
1135,1,0,10,422.0039921373874
1143,1,0,7,82.63473233694799
1166,1,0,7,140.88100795817087
1170,1,0,9,732.6250235418566
1187,1,0,8,249.38127886106608
1225,1,0,7,98.04667073013874
1226,1,0,3,25.670894802035985
1227,1,0,9,1222.7734728073362
1228,1,0,5,0.21771755585438649
1234,1,0,1,961.5325428578234
1239,1,0,8,156.23458238325318
1240,1,0,7,132.96731510788752
1251,1,0,7,141.99731728022502
1254,1,0,4,0.21771755585438649
1262,1,0,7,135.39743257295189
1272,1,0,9,370.5549233494624
1282,1,0,9,386.8614509602405
1285,1,0,9,267.1834761926109
