Indice,Maligno,Dispositivo,TipologiaAttacco,RMSE:
9,1,1,5,0.4521020800439243
11,1,1,10,234.87218907301727
17,1,1,9,654.7704738400541
23,1,1,1,659.0965380811182
38,1,1,2,316.7832487836715
41,1,1,1,508.36652888598405
46,1,1,9,757.6666689898519
63,1,1,4,0.45210210894848624
87,1,1,8,457.5607044197718
131,1,1,4,0.45210210894848624
134,1,1,1,217.72695416313132
146,1,1,8,526.8761173882106
160,1,1,4,0.45210210894848624
163,1,1,8,746.3820412125118
169,1,1,1,625.9975387175118
176,1,1,5,0.4521020800439243
187,1,1,6,405.5471218293803
200,1,1,3,73.29180605492076
203,1,1,4,0.45210210894848624
204,1,1,9,377.3004425429209
205,1,1,8,355.16788602175666
208,1,1,8,477.35220741078746
226,1,1,9,527.3771144634843
228,1,1,9,280.2387049876519
238,1,1,5,0.4521020800439243
245,1,1,4,0.45210210894848624
253,1,1,6,704.1335667925393
254,1,1,9,250.3169577309695
263,1,1,5,0.4521020800439243
281,1,1,5,0.4521020800439243
288,1,1,4,0.4521020910616167
306,1,1,9,802.2363141265434
321,1,1,8,384.6369007300834
344,1,1,3,50.64077863607605
361,1,1,5,0.4521020800439243
367,1,1,9,510.36015949941077
369,1,1,3,50.4106092692837
372,1,1,6,455.84382306276126
382,0,1,0,0.22733292042454165
425,1,1,5,0.4521020800439243
430,1,1,8,576.1543317762586
433,1,1,1,314.0483620657564
434,1,1,5,0.4521020800439243
452,1,1,3,48.74474427582587
454,1,1,8,416.68270503754337
464,1,1,4,0.45210210894848624
465,1,1,2,284.601139792856
467,1,1,5,0.4521020800439243
495,1,1,5,0.4521020800439243
501,1,1,10,593.1721624575407
513,1,1,5,0.4521020800439243
544,1,1,7,147.33007598810164
553,1,1,10,328.40152581816795
561,1,1,4,0.45210210894848624
563,1,1,6,161.90296866911456
575,1,1,5,0.4521020800439243
576,1,1,8,806.2293187817468
582,1,1,5,0.4521020800439243
590,1,1,9,746.1299696537782
595,1,1,9,802.3182372224024
600,1,1,10,375.9428974616431
602,1,1,10,159.86697565249145
628,1,1,8,170.3638574638923
632,1,1,2,339.9422461137561
637,1,1,2,192.0946510203532
645,1,1,1,407.02814532178195
664,1,1,9,452.0983773918004
671,1,1,5,0.4521020800439243
677,1,1,8,826.3637479772049
688,1,1,6,160.07336352596928
692,1,1,1,414.0165158766499
693,1,1,6,269.3802721331193
696,1,1,5,0.4521020800439243
697,1,1,1,418.52583686695345
701,1,1,4,0.45210210894848624
709,1,1,6,170.88092937054793
711,1,1,8,793.2974952887582
713,1,1,9,486.99413746304975
717,1,1,1,553.3432507159235
727,1,1,6,289.7824564793008
739,1,1,3,43.34596775431428
755,1,1,6,301.1410133090911
766,1,1,8,266.7067137396643
784,1,1,7,77.25457028526323
800,1,1,2,356.2198217174609
810,1,1,7,51.52496397468259
815,1,1,8,185.18336419486778
828,1,1,8,477.7900342769435
859,1,1,7,145.71131347328802
869,1,1,5,0.4521020800439243
879,1,1,9,286.7402266339526
883,1,1,10,606.9307902495143
907,1,1,10,614.8661814692001
915,1,1,7,108.9725234822989
917,1,1,8,667.984910766305
923,1,1,6,380.05756217155533
927,1,1,4,0.45210210894848624
935,1,1,2,189.00946734809014
973,1,1,8,128.2682286325014
980,1,1,1,409.5102711645291
984,1,1,10,154.18049857500733
994,1,1,9,380.2907831230826
999,1,1,9,640.71625947496
1000,1,1,4,0.45210210894848624
1007,1,1,6,387.3893584764798
1019,1,1,9,292.5914027193116
1025,1,1,9,363.72259398529843
1026,1,1,8,575.9230328051456
1045,1,1,8,598.1690121590102
1046,1,1,5,0.4521020800439243
1059,1,1,6,657.1258688272736
1061,1,1,6,466.4426225862889
1105,1,1,8,437.00816559193555
1114,1,1,4,0.45210210894848624
1118,1,1,1,578.6751604308256
1128,1,1,9,758.4416047856912
1142,1,1,5,0.4521020800439243
1157,1,1,9,288.2065538276993
1176,1,1,8,245.36174372007144
