Indice,Maligno,Dispositivo,TipologiaAttacco,RMSE:
25,1,1,5,0.26749219120088946
32,1,1,6,348.91326157856713
47,1,1,9,429.9217283473068
51,1,1,6,258.09551265919737
59,1,1,2,176.8914733963703
64,1,1,6,413.5662416617206
65,1,1,5,0.26749219120088946
88,1,1,9,214.5291312563019
91,1,1,2,216.742611290651
98,1,1,9,175.86718933539052
101,1,1,4,0.26749220661376
111,1,1,5,0.26749219120088946
130,1,1,2,214.62515679038248
134,1,1,5,0.26749219120088946
142,1,1,1,414.90166352490775
158,1,1,1,156.08345063526224
167,1,1,5,0.26749219120088946
168,1,1,8,289.4510943382306
174,1,1,5,0.26749219120088946
176,1,1,1,281.80993220592796
197,1,1,9,461.1128756446574
207,1,1,8,248.47347383121908
213,1,1,9,408.92214082998754
234,1,1,10,86.949808780334
238,1,1,8,308.24433788727333
242,1,1,5,0.26749219120088946
244,1,1,8,224.11399322161392
247,1,1,9,377.2497170800221
270,1,1,7,92.45908563140429
278,1,1,6,219.5455974996052
279,1,1,6,383.61955461030976
287,1,1,1,174.70081343683222
290,1,1,6,234.58620378399053
292,1,1,10,245.14278195701618
297,1,1,4,0.26749220661376
309,1,1,9,295.29998866509544
342,1,1,6,362.9882611029987
363,1,1,8,231.59955674719134
372,1,1,9,181.67523070912247
379,1,1,8,343.0217313405407
381,1,1,9,319.7353229912507
387,1,1,1,373.7910042427545
389,1,1,3,46.36917817789273
392,1,1,9,381.22743280387266
429,1,1,5,0.26749219120088946
431,1,1,9,154.2679164377364
436,1,1,9,162.46425663624734
455,1,1,8,132.0155702793518
486,1,1,1,255.84108968063103
490,1,1,4,0.26749220661376
499,1,1,1,394.7691919256362
514,1,1,7,88.38583767976516
537,1,1,6,351.9656490317008
553,1,1,10,373.50126690767996
564,1,1,7,78.08063125796593
568,1,1,10,287.13913827930014
569,1,1,9,393.7267295558724
570,1,1,8,216.1767353706548
573,1,1,9,230.28891661538165
579,1,1,4,0.26749220661376
584,1,1,4,0.26749220661376
598,1,1,6,265.81801933753184
604,1,1,4,0.26749222621100943
610,1,1,5,0.2674921890068184
653,1,1,9,397.8602062283836
666,1,1,8,214.63371098381776
699,1,1,7,55.7508377766395
716,1,1,8,426.25681176384654
732,1,1,8,331.2555606420868
757,1,1,9,303.48985629993746
768,1,1,5,0.26749219120088946
779,1,1,2,98.31556742209037
781,1,1,8,455.204940877481
799,1,1,8,125.84667769304532
812,1,1,4,0.26749220661376
814,1,1,9,193.0313730312513
816,1,1,6,420.0240653293376
818,1,1,4,0.26749220661376
820,1,1,6,404.65457953821
821,1,1,5,0.26749219120088946
822,1,1,9,97.88517010839327
833,1,1,9,379.5639952919904
846,1,1,6,104.98141352102284
848,1,1,3,45.21634444662193
867,1,1,4,0.26749220661376
871,1,1,4,0.26749220661376
889,1,1,5,0.26749219120088946
892,1,1,10,376.6582972245651
902,1,1,9,433.1707637508558
915,1,1,5,0.26749219120088946
930,1,1,10,110.36662797844288
931,1,1,5,0.26749219120088946
939,1,1,8,390.39644910383544
944,1,1,1,381.1748054593897
948,1,1,4,0.26749222621100943
955,1,1,9,238.28924546498283
959,1,1,8,336.0545359399001
962,1,1,1,168.35547205974564
972,1,1,8,354.64595553989767
977,1,1,9,190.0281844457273
979,1,1,9,79.57999626040767
986,1,1,8,444.8381259885138
1015,1,1,5,0.26749219120088946
1018,1,1,5,0.26749219120088946
1026,1,1,9,373.7373241786217
1028,1,1,4,0.26749220661376
1034,1,1,2,282.1499483631319
1050,1,1,9,294.5917737406302
1054,1,1,9,264.9205803774001
1065,1,1,4,0.26749220661376
1068,1,1,10,199.15457077689135
1082,1,1,10,221.77093869591044
1108,1,1,6,321.1115304247238
1114,1,1,4,0.26749220661376
1117,1,1,5,0.26749219120088946
1118,1,1,4,0.26749220661376
1124,1,1,4,0.26749220661376
1126,1,1,9,288.9240805084529
1132,1,1,6,409.23942093919254
1154,1,1,9,149.98316708788735
1164,1,1,9,277.71912518128255
1193,1,1,7,60.64372581772048
1211,1,1,1,269.20369968938434
1222,1,1,2,223.7663643886074
1224,1,1,8,244.72812236220923
1230,1,1,4,0.26749220661376
1241,1,1,6,401.4462622585194
1246,1,1,2,296.37499348275844
1267,1,1,10,291.15567545928207
1277,1,1,8,107.19202202297946
1293,1,1,1,408.62634470728494
1294,1,1,3,50.453411631564315
1296,1,1,3,46.70111000859516
1314,1,1,7,31.19934006757319
1315,1,1,5,0.26749219120088946
1316,1,1,5,0.26749219120088946
1327,1,1,9,435.9925222881764
1360,1,1,8,389.01198107679187
1364,1,1,9,137.8127002076345
1366,1,1,4,0.26749220661376
1368,1,1,8,285.5616011224749
1382,1,1,10,312.07811381843885
1397,1,1,6,290.8350207621417
1398,1,1,9,73.74286532717876
1408,1,1,2,196.76191539509358
1424,1,1,9,453.096783608144
1439,1,1,6,288.87874205521285
1446,1,1,8,355.1303100816703
1449,1,1,8,120.49072598395841
1458,1,1,2,191.97000237876918
1466,1,1,4,0.26749220661376
1470,1,1,6,283.7027126164678
1480,1,1,6,362.51964779411406
1508,1,1,5,0.26749219120088946
1518,1,1,6,277.392572547089
1535,1,1,10,343.1689060223929
1568,1,1,9,267.2775382310383
1570,1,1,6,181.59620285185383
1575,1,1,1,320.21675528197665
1579,1,1,9,163.1517694220739
1593,1,1,5,0.26749219120088946
1604,1,1,8,483.2559785419794
1605,1,1,2,202.02995300911846
1611,1,1,2,219.39022848974378
1620,1,1,5,0.26749219120088946
1626,1,1,5,0.26749219120088946
1645,1,1,5,0.26749219120088946
1673,1,1,10,171.2374001052158
1679,1,1,9,468.2165644164253
1681,1,1,8,471.24530428359617
1693,1,1,8,310.7618232458734
1696,1,1,8,414.11132510201645
1709,1,1,9,459.1449568533517
1738,1,1,5,0.26749219120088946
1754,1,1,6,230.61035453090713
1769,1,1,5,0.26749219120088946
1775,1,1,5,0.26749219120088946
1777,1,1,3,47.68192408096434
1789,1,1,7,60.805208158998255
1792,1,1,6,312.57621643844186
1799,1,1,6,171.31727231586598
1800,1,1,6,402.24620572053624
1806,1,1,9,431.03846724233375
1811,1,1,8,251.41627073484185
1821,1,1,7,68.97862463713005
1822,1,1,5,0.26749219120088946
1823,1,1,6,136.17718517809303
1828,1,1,9,320.89455664915096
1832,1,1,7,83.61205858222883
1854,1,1,5,0.26749219120088946
1856,1,1,1,393.0026576564148
1858,1,1,5,0.2674921890068184
1859,1,1,9,115.93563183261055
1866,1,1,9,220.48978821391302
1867,1,1,8,481.35804872305687
1872,1,1,10,223.29849013167853
1873,1,1,7,27.715665606896252
1883,1,1,8,162.17664694583874
1887,1,1,4,0.26749220661376
1889,1,1,9,182.9435377729547
1892,1,1,4,0.26749220661376
1897,1,1,5,0.26749219120088946
1909,1,1,4,0.26749220661376
1911,1,1,6,200.24531825040643
1929,1,1,10,305.15574941398853
1932,1,1,3,46.14832847022628
1936,1,1,2,269.9076597524545
1954,1,1,1,304.56685197941425
1957,1,1,4,0.26749220661376
1967,1,1,5,0.26749219120088946
1971,1,1,6,262.59494185127085
1980,1,1,4,0.26749220661376
1985,1,1,5,0.26749219120088946
2024,1,1,3,32.34316021066951
2029,1,1,7,78.65358383284268
2061,1,1,4,0.26749220661376
2077,1,1,9,276.73113487452787
2088,1,1,8,482.56837736791806
2099,1,1,6,331.3498346360184
2101,1,1,4,0.26749220661376
2105,1,1,5,0.26749219120088946
2110,1,1,7,83.0407756230627
2117,1,1,9,35.86379458020436
2123,1,1,7,85.42420047223202
2133,1,1,8,144.6299056086583
2145,1,1,4,0.26749220661376
2150,1,1,8,357.1410805035309
2151,1,1,10,278.56538262322607
2166,1,1,8,440.9143908831451
2167,1,1,9,408.1473316528015
2171,1,1,1,346.78379175872715
2179,1,1,8,369.5657240019082
2184,1,1,6,409.85788793618946
2189,1,1,8,418.0509500744047
2190,1,1,8,365.3781380499102
2201,1,1,9,172.77638390243015
2209,1,1,9,134.78244541553286
2218,1,1,6,320.7188856515415
2220,1,1,8,355.45746255854067
2243,1,1,6,235.65389567322651
2248,1,1,1,255.62055328722622
2255,1,1,5,0.26749219120088946
2262,1,1,9,139.5664159430373
2264,1,1,4,0.26749220661376
2281,1,1,6,229.7931496366955
2282,1,1,3,46.27820804311195
2296,1,1,9,445.30110996526406
2310,1,1,8,235.3673710391671
2318,1,1,5,0.26749219120088946
2325,1,1,2,281.232181638221
2338,1,1,6,283.0325949234185
2356,1,1,10,275.0088890727048
2376,1,1,4,0.26749220661376
2377,1,1,8,158.83338177978243
2383,1,1,6,257.6223026709221
2391,1,1,6,311.0428407587625
2392,1,1,2,238.02392726054356
2401,1,1,5,0.26749219120088946
2402,1,1,3,45.74062856263211
2441,1,1,4,0.26749220661376
2446,1,1,1,252.4555629261383
2448,1,1,8,368.5038802117432
2453,1,1,4,0.26749220661376
2476,1,1,9,445.75631064783613
2482,1,1,6,424.9221217984351
2484,1,1,9,260.13862853460216
2500,1,1,5,0.26749219120088946
2503,1,1,9,325.9057101486289
2506,1,1,9,271.48757769384684
2512,0,1,0,0.11573908330849324
2520,1,1,4,0.26749220661376
2527,1,1,8,258.640746273746
2552,1,1,1,343.75832877385255
2600,1,1,3,32.21160296780684
2602,1,1,9,105.45305503175163
2611,1,1,5,0.26749219120088946
2617,1,1,6,350.9678318773305
2635,1,1,5,0.26749219120088946
2662,1,1,5,0.26749219120088946
2665,1,1,6,354.69276937606656
2666,1,1,6,285.047173301925
2679,1,1,9,322.6435858930009
2684,1,1,4,0.26749220661376
2689,1,1,4,0.26749220661376
2704,1,1,5,0.26749219120088946
2707,1,1,9,403.31606680150446
2744,1,1,4,0.26749222621100943
2747,1,1,9,317.4919081505387
2755,1,1,6,264.8911941071703
2758,1,1,3,42.2063549065099
2772,1,1,6,356.2362312945945
2782,1,1,6,363.43145815343445
2796,1,1,8,367.28099549139364
2800,1,1,10,271.5289144245722
2803,1,1,4,0.26749220661376
2813,1,1,9,316.7408185947127
2828,1,1,10,359.10657847488386
2832,1,1,5,0.26749219120088946
2843,1,1,1,209.14160504401443
2853,1,1,9,261.0986002561254
2862,1,1,7,45.41653789649635
2881,1,1,4,0.26749220661376
2885,1,1,1,219.18160468558946
2892,1,1,7,81.86860909895708
2896,1,1,3,48.044338045309395
2897,1,1,6,366.0133186414083
2899,1,1,8,356.19007967206545
2906,1,1,2,221.4350286285589
2909,1,1,6,289.6617130677812
2910,1,1,8,257.2756784076651
2918,1,1,8,316.8714508882048
2922,1,1,5,0.26749219120088946
2949,1,1,6,408.45797307165105
2956,1,1,10,353.1745253743873
2961,1,1,4,0.26749220661376
2964,1,1,5,0.26749219120088946
2967,1,1,5,0.26749219120088946
2977,1,1,5,0.26749219120088946
2983,1,1,10,376.57024115051576
2986,1,1,10,231.330377831007
2995,1,1,6,219.795573413553
3002,1,1,10,369.86590198487534
3014,1,1,5,0.26749219120088946
3025,1,1,5,0.26749219120088946
3028,1,1,5,0.26749219120088946
3032,1,1,9,377.31569315305615
3036,1,1,8,243.52162377257932
3039,1,1,6,393.9586957792611
3042,1,1,8,455.37633412119465
3043,1,1,9,381.8346041444962
3045,1,1,9,433.79901546856894
3054,1,1,6,349.03427557230896
3059,1,1,10,171.89944470483567
3063,1,1,8,324.91239455374125
3072,1,1,1,308.13169428180987
3083,1,1,5,0.26749219120088946
3103,1,1,5,0.26749219120088946
3128,1,1,9,369.5778439826506
3134,1,1,8,495.88182064079615
3138,1,1,4,0.26749220661376
3139,1,1,8,464.0970355211044
3151,1,1,5,0.26749219120088946
3169,1,1,1,354.58053911906995
3171,1,1,9,132.38543420389536
3192,1,1,5,0.26749219120088946
3206,1,1,5,0.26749219120088946
3211,1,1,4,0.26749220661376
3219,1,1,6,384.826045328559
3221,1,1,9,464.8023918824904
3230,1,1,9,179.23420704488987
3236,1,1,9,370.4201518862361
3242,1,1,8,332.7732759079792
3247,1,1,2,162.17906458539022
3250,1,1,5,0.26749219120088946
3255,1,1,3,50.51812342125798
3259,1,1,4,0.26749220661376
3275,1,1,6,259.5942315901175
3277,1,1,10,330.79658284146046
3280,1,1,4,0.26749220661376
3281,1,1,7,41.56629704395574
3287,1,1,9,336.20567882501075
3293,1,1,8,271.3625942110075
3295,1,1,9,397.8092182293543
3298,1,1,8,411.91800650095547
3306,1,1,4,0.26749220661376
3314,1,1,8,319.1662419624478
3319,1,1,4,0.26749220661376
3323,1,1,4,0.26749220661376
3332,1,1,10,376.9989783071509
3362,1,1,9,343.60701386566626
3365,1,1,8,260.11759955637905
