Indice,Maligno,Dispositivo,TipologiaAttacco,RMSE:
3,1,1,9,485.7938349051643
63,1,1,9,545.1643850038298
75,1,1,9,496.000954976928
102,1,1,8,665.4384823394439
125,1,1,9,614.0374901942608
128,1,1,8,439.77817644203793
154,1,1,8,398.6114863771628
160,1,1,8,207.34805073796758
208,1,1,5,0.3219332329071693
224,1,1,6,107.67989103280028
258,1,1,4,0.3219332764787567
268,1,1,8,533.6444918244991
270,1,1,9,658.8628775310405
277,1,1,9,211.5368976366689
279,1,1,2,381.5529289063497
286,1,1,3,73.43043847666911
293,0,1,0,0.15001867227466367
301,1,1,2,255.6784335608383
303,1,1,5,0.3219332329071693
315,1,1,9,377.3616755033497
323,1,1,4,0.3219332764787567
325,1,1,10,592.402162606908
333,1,1,5,0.3219332329071693
355,1,1,5,0.3219332329071693
356,1,1,7,132.47528217548373
368,1,1,2,156.66031620113333
373,1,1,6,574.2594559611164
374,1,1,6,389.05533192017947
382,1,1,9,743.7220778886542
419,1,1,6,442.3290020657326
430,1,1,8,424.52365569625886
445,1,1,6,163.61058927088195
456,1,1,8,642.3393707455809
465,1,1,9,746.1040832944103
483,1,1,6,521.3699354330981
508,1,1,5,0.3219332329071693
539,1,1,6,679.174993667146
561,0,1,0,0.23449930523694307
576,1,1,9,503.5893208759321
588,1,1,6,273.4177601872428
592,1,1,5,0.3219332329071693
598,1,1,8,655.2944596530225
616,1,1,8,314.162394656258
632,1,1,5,0.3219332329071693
634,1,1,6,86.41328773490741
644,1,1,4,0.3219332764787567
650,1,1,9,482.42473514828106
651,1,1,6,596.4751648199925
653,1,1,9,714.0662057252189
659,1,1,1,225.46444907191267
685,1,1,10,402.6006869712212
688,1,1,1,641.2698485762702
704,1,1,9,490.86752891473634
727,1,1,6,651.1363228760125
740,1,1,4,0.3219332764787567
741,1,1,8,776.9601665592755
747,1,1,1,287.24514615850836
748,1,1,6,245.23408271161375
754,1,1,5,0.3219332329071693
755,1,1,7,138.80834592178934
766,1,1,6,566.1888583949411
767,1,1,8,423.61240388216777
785,1,1,9,434.6886680801283
793,1,1,8,445.02540415121314
809,1,1,8,164.52870517579478
847,1,1,4,0.3219332764787567
848,1,1,1,554.7697413948886
879,1,1,1,489.77053984821293
907,1,1,9,249.1739711807083
916,1,1,1,242.15717606635377
926,1,1,6,395.00582732779407
931,1,1,10,302.9753372535872
955,1,1,3,70.90523631100878
959,1,1,1,569.8607266258197
970,1,1,4,0.3219332764787567
997,1,1,3,64.38301532014103
1000,1,1,2,327.92868890854777
1004,1,1,9,407.254614476474
1005,0,1,0,0.19693131443271775
1017,1,1,8,565.7027189857549
1045,1,1,1,402.8501522479612
1066,0,1,0,0.1709346590870605
