Indice,Maligno,Dispositivo,TipologiaAttacco,RMSE:
1,1,1,4,0.22077321251355184
2,1,1,8,654.82791184162
4,1,1,8,688.0211594532759
10,1,1,10,508.4589637796368
15,1,1,8,181.13995265206165
17,1,1,1,442.43203934151796
26,1,1,9,556.029333130872
30,1,1,5,0.22077321251355184
37,1,1,10,96.86140218686764
49,1,1,5,0.22077321251355184
52,1,1,9,372.4609396019699
60,1,1,2,343.3556256380909
82,1,1,4,0.22077323259957804
87,1,1,6,181.73769827174476
99,1,1,10,521.4073621894966
112,1,1,3,41.112072687205895
116,1,1,6,418.63393686723197
120,1,1,6,243.55838356666126
127,1,1,5,0.22077321251355184
137,1,1,8,324.6990373545093
141,1,1,9,620.8656970544637
147,1,1,4,0.22077323259957804
159,1,1,6,239.53679527961313
188,1,1,4,0.22077323259957804
193,1,1,9,555.0728306183852
232,1,1,10,70.28424824240007
243,1,1,6,560.4467378912345
251,1,1,10,154.88399072834457
255,1,1,10,125.24746240092222
289,1,1,6,553.8923025362443
291,1,1,2,270.0241265484999
305,1,1,8,373.7035655710257
325,1,1,5,0.22077321251355184
343,1,1,4,0.22077323259957804
353,1,1,6,454.2535810199285
359,1,1,10,220.3864244152742
377,1,1,9,120.62024933229968
383,1,1,9,219.04061814997797
388,1,1,6,225.2527097261727
393,1,1,5,0.22077321251355184
402,1,1,6,547.964571797567
410,1,1,9,571.7899618283237
423,1,1,8,301.7925440139652
427,1,1,9,353.90473591953446
428,1,1,9,631.1723954690292
433,1,1,9,341.2867434590087
435,1,1,8,172.52277331537414
448,1,1,8,402.01366900861547
460,1,1,4,0.22077323259957804
472,1,1,1,370.7974428832584
479,1,1,2,365.067247374469
491,1,1,10,219.50636865838737
509,1,1,3,38.916157637673926
511,1,1,8,643.8604455690377
520,1,1,9,352.12442026297094
526,1,1,8,262.6171968031184
545,1,1,3,32.18191001357137
548,1,1,6,100.25871343517902
552,1,1,10,536.4188805249522
560,1,1,5,0.22077321251355184
567,1,1,6,572.6712284838877
578,1,1,9,617.2323750745172
586,1,1,8,491.63508222948616
590,1,1,1,229.2745340078916
594,1,1,2,200.55888591424187
602,1,1,7,72.12469495923533
603,1,1,5,0.22077321251355184
605,1,1,4,0.22077323259957804
624,1,1,7,56.229523367078286
626,1,1,5,0.22077321251355184
632,1,1,2,127.46700202782647
644,1,1,1,546.6791955167149
650,1,1,8,665.4211119557197
660,1,1,5,0.22077321251355184
662,1,1,2,216.639959753911
664,1,1,9,348.6891335709682
685,1,1,4,0.22077323259957804
686,1,1,8,343.29788291728437
688,1,1,4,0.22077323259957804
695,1,1,2,45.645419657219065
700,1,1,8,480.2473183439023
715,1,1,9,266.33151187040687
721,1,1,9,234.98474153101836
733,1,1,7,77.4850473891653
742,1,1,6,560.2336074985604
767,1,1,10,458.6329377466818
776,1,1,1,468.5791082421144
793,1,1,8,681.6996377005693
801,1,1,5,0.22077321251355184
808,1,1,9,274.9377714038048
823,1,1,10,156.00315666748574
832,1,1,2,163.58624377409217
849,1,1,10,479.6249674507673
860,1,1,10,542.9753493815401
866,1,1,8,308.91019216195053
879,1,1,5,0.22077320962112112
887,1,1,9,491.238876577131
896,1,1,9,156.53694682615415
899,1,1,4,0.22077323259957804
913,1,1,10,122.51071117504061
917,1,1,4,0.22077323259957804
950,1,1,9,169.61068960371202
968,1,1,8,184.68053318860507
1000,1,1,2,272.50046847110536
1003,1,1,3,40.24264434096098
1006,1,1,4,0.22077323259957804
1009,1,1,9,271.29428980604376
1010,1,1,9,589.7176819073023
1030,1,1,8,128.58777749588344
1039,1,1,10,301.0512108369443
1081,1,1,5,0.22077321251355184
1088,1,1,10,140.84108836273214
1099,1,1,9,496.8230716456015
1112,1,1,9,644.1912168091123
1123,1,1,8,392.5967653063273
1127,1,1,8,191.36063299234658
1137,1,1,2,179.05585422682114
1146,1,1,5,0.22077321251355184
1150,1,1,10,476.7477931067116
1161,1,1,2,49.40571233452418
1172,1,1,10,296.23538040464206
1183,1,1,5,0.22077321251355184
1190,1,1,8,623.9856181761286
1201,1,1,1,470.96373750457013
1202,1,1,4,0.22077323259957804
1247,1,1,6,314.77841538331586
1263,1,1,10,129.35737899383793
1268,1,1,4,0.22077322970714755
1270,1,1,4,0.22077323259957804
1312,1,1,3,40.89189535458448
1313,0,1,0,0.10970172603965493
1337,1,1,7,4.978073096388493
1340,1,1,4,0.22077323259957804
1348,1,1,9,615.2798277531141
1355,1,1,5,0.22077321251355184
1372,1,1,5,0.22077321251355184
1379,1,1,2,296.81124798998763
1384,1,1,5,0.22077321251355184
1386,1,1,9,98.39967555021983
1399,1,1,7,37.63700024407315
1403,1,1,9,262.11357095280636
1406,1,1,6,531.8835285210083
1415,1,1,5,0.22077321251355184
1421,1,1,7,40.55465562179293
1438,1,1,4,0.22077323259957804
1450,1,1,10,538.9598273037151
1457,0,1,0,0.10911253031638538
1481,1,1,1,573.5781278261128
1487,1,1,10,475.4964189492972
1492,1,1,8,643.8289985880207
1496,1,1,8,410.9551377859035
1505,1,1,8,214.30020639870747
1513,1,1,5,0.22077321251355184
1523,1,1,4,0.22077323259957804
