Indice,Maligno,Dispositivo,TipologiaAttacco,RMSE:
1,1,2,5,0.05811648493441117
7,1,2,4,0.05811648493441117
12,1,2,1,211.4393393272397
14,1,2,5,0.05811648493441117
22,1,2,1,85.26778862538852
32,1,2,5,0.05811648493441117
38,1,2,5,0.05811648493441117
46,1,2,5,0.05811648493441117
61,1,2,4,0.05811648493441117
65,1,2,1,166.66268539657602
68,1,2,1,207.62883530838064
70,1,2,1,195.058397422191
73,1,2,5,0.05811648493441117
92,1,2,4,0.05811648493441117
93,1,2,4,0.05811648493441117
113,1,2,5,0.05811648493441117
155,1,2,1,48.13670925449277
158,0,2,0,0.07816691263312384
176,1,2,1,53.69202755244551
191,1,2,1,68.70368821692463
217,1,2,2,88.70038049314986
230,1,2,5,0.05811648493441117
246,1,2,4,0.05811648493441117
268,1,2,1,244.38548256344677
276,1,2,5,0.05811648493441117
289,1,2,1,203.6344569106297
290,1,2,4,0.05811648493441117
320,1,2,1,210.41609114580658
321,1,2,5,0.05811648493441117
328,1,2,3,34.417667781588776
332,1,2,3,37.38974767004727
348,1,2,3,40.435395304097774
352,1,2,4,0.05811648493441117
355,1,2,2,26.411042143301106
369,1,2,2,156.61299469280115
371,1,2,5,0.05811648493441117
375,1,2,5,0.05811648493441117
444,1,2,3,29.840592722255384
454,1,2,4,0.05811648493441117
455,1,2,5,0.05811648493441117
493,1,2,2,162.06611837258322
520,1,2,4,0.05811648493441117
528,1,2,4,0.05811648493441117
545,1,2,5,0.05811648493441117
549,1,2,2,115.15781942653437
563,1,2,4,0.05811648493441117
568,1,2,5,0.05811648493441117
577,1,2,5,0.05811648493441117
588,1,2,5,0.05811648493441117
595,0,2,0,0.054525995141420786
614,1,2,5,0.05811648493441117
615,0,2,0,0.04785060103254488
624,1,2,5,0.05811648493441117
630,1,2,5,0.05811648493441117
646,1,2,4,0.05811648493441117
652,1,2,5,0.05811648493441117
660,1,2,5,0.05811648493441117
661,1,2,4,0.05811648493441117
662,1,2,3,40.80869555357369
668,1,2,2,63.469517642954216
674,0,2,0,0.0681720281453704
693,1,2,4,0.05811648493441117
711,1,2,4,0.058116484169354464
724,1,2,5,0.05811650645481133
726,1,2,2,53.52896763320684
728,1,2,2,60.55186757630609
751,1,2,4,0.05811648493441117
752,0,2,0,0.0787322629447937
759,1,2,2,108.09297273725146
769,0,2,0,0.05892365547010745
770,1,2,4,0.05811648493441117
772,1,2,5,0.05811648493441117
776,1,2,5,0.05811648493441117
779,1,2,4,0.05811648493441117
784,1,2,1,136.49939056217775
787,1,2,4,0.05811648493441117
805,1,2,5,0.05811648493441117
808,1,2,4,0.05811648493441117
820,1,2,5,0.05811648493441117
827,1,2,1,135.48652163860004
854,1,2,4,0.05811648493441117
865,1,2,5,0.05811648493441117
866,1,2,1,130.26164337069028
880,1,2,2,132.69182227176816
882,1,2,5,0.05811648493441117
904,1,2,1,148.05211249344853
911,0,2,0,0.07342338719594912
912,1,2,1,210.62316892224905
919,1,2,5,0.05811648493441117
941,0,2,0,0.04184896163353553
953,1,2,2,31.938130517589407
958,1,2,1,175.16942244997625
960,1,2,5,0.05811648493441117
974,1,2,4,0.05811648493441117
997,1,2,5,0.05811650645481133
1042,1,2,4,0.058116484169354464
1045,1,2,3,42.03931463218001
1047,1,2,4,0.05811648493441117
1053,1,2,1,143.15425664041496
1060,1,2,5,0.05811648493441117
1067,1,2,1,117.53235421449422
1086,0,2,0,0.06728123392413315
1089,1,2,5,0.05811648493441117
1105,1,2,1,245.33080851601986
1109,1,2,1,244.33974090931824
1113,1,2,4,0.05811648493441117
1123,1,2,2,163.904197448916
1126,1,2,4,0.05811648493441117
1138,1,2,5,0.05811648493441117
1148,1,2,5,0.05811648493441117
1154,1,2,5,0.05811648493441117
1159,1,2,2,106.46916326493854
1163,1,2,4,0.05811648493441117
1165,1,2,5,0.05811648493441117
1192,1,2,5,0.05811648493441117
1194,1,2,2,156.33943383979658
1196,0,2,0,0.06789697743634526
1204,1,2,4,0.05811648493441117
1209,1,2,5,0.05811648493441117
1213,1,2,4,0.05811648493441117
1214,1,2,5,0.05811648493441117
1218,1,2,4,0.05811648493441117
1221,1,2,1,228.07701517941697
1228,1,2,5,0.05811648493441117
1240,1,2,5,0.05811648493441117
1243,1,2,5,0.05811648493441117
1254,1,2,2,96.58485069932247
1257,1,2,1,192.72751088051365
1258,1,2,2,106.6104708894504
1262,0,2,0,0.05112754485143298
1264,1,2,4,0.05811648493441117
1269,0,2,0,0.058333272770644456
1270,1,2,5,0.05811648493441117
1272,1,2,5,0.05811648493441117
1274,1,2,1,108.41999220981192
1277,1,2,4,0.05811648493441117
1320,1,2,3,17.900253213974302
1330,1,2,5,0.05811648493441117
1333,1,2,5,0.05811648493441117
1344,1,2,5,0.05811648493441117
1361,1,2,5,0.05811648493441117
1364,1,2,4,0.05811648493441117
1367,1,2,4,0.05811648493441117
1372,0,2,0,0.05772050770923504
1374,1,2,5,0.05811648493441117
1376,1,2,1,218.99727187490626
1382,1,2,5,0.05811648493441117
1398,0,2,0,0.06404389257372481
1402,1,2,4,0.05811648493441117
1421,0,2,0,0.04991026442201417
1427,1,2,3,16.061947124829288
1432,1,2,5,0.05811648493441117
1439,0,2,0,0.04985259839979767
1449,1,2,5,0.05811648493441117
1500,0,2,0,0.05754484765037385
1509,0,2,0,0.10632919316945556
1525,1,2,4,0.05811648493441117
1552,0,2,0,0.0606634257403125
1555,1,2,5,0.05811650645481133
1558,1,2,1,220.85800755162745
1565,0,2,0,0.17043824125868076
1566,1,2,2,69.37387588056123
1576,1,2,5,0.05811648493441117
1579,1,2,3,37.6504906390821
1589,1,2,4,0.05811648493441117
1593,1,2,4,0.05811648493441117
1599,1,2,5,0.05811648493441117
1609,1,2,5,0.05811648493441117
1611,1,2,2,96.71768920048122
1654,1,2,4,0.05811648493441117
1684,1,2,1,209.43513067656926
1702,1,2,4,0.05811648493441117
1708,0,2,0,0.07815757025075727
1731,0,2,0,0.07018500448508225
1742,1,2,5,0.05811648493441117
1743,1,2,5,0.05811648493441117
1746,1,2,1,255.01537027580642
1768,1,2,2,65.14348781656548
1771,1,2,5,0.05811648493441117
1775,1,2,5,0.05811648493441117
1777,1,2,3,14.880183037131527
1790,1,2,4,0.05811648493441117
1794,1,2,5,0.05811648493441117
1799,1,2,4,0.05811648493441117
1818,1,2,4,0.05811648493441117
1836,1,2,5,0.05811648493441117
1837,1,2,1,43.657697197665435
1840,1,2,1,121.49361772009973
1843,1,2,4,0.05811648493441117
1863,1,2,4,0.05811648493441117
1866,1,2,5,0.05811650645481133
1880,1,2,3,9.742380099588189
1881,1,2,2,160.65942288492496
1892,1,2,5,0.05811648493441117
1920,0,2,0,0.06026813843277621
1930,1,2,4,0.05811648493441117
1935,1,2,1,103.1883533507554
1936,1,2,5,0.05811648493441117
1940,1,2,5,0.05811648493441117
1944,1,2,3,41.95952132976757
1945,1,2,4,0.05811648493441117
1954,1,2,3,23.915216891233307
