Indice,Maligno,Dispositivo,TipologiaAttacco,RMSE:
15,1,2,4,0.05658222673572699
28,1,2,1,270.11554716492327
39,1,2,5,0.056582225067127095
44,1,2,3,14.874228583941171
54,1,2,5,0.056582225067127095
62,1,2,4,0.05658222673572699
75,0,2,0,0.15424033571834628
86,1,2,5,0.056582225067127095
89,1,2,5,0.056582225067127095
95,1,2,5,0.056582225067127095
99,1,2,4,0.05658222673572699
103,1,2,4,0.05658222673572699
107,1,2,3,32.64764256545812
125,0,2,0,0.07141644168290981
143,1,2,5,0.056582225067127095
145,1,2,5,0.056582225067127095
146,1,2,5,0.056582225067127095
173,1,2,2,31.87951572783494
177,1,2,5,0.056582225067127095
195,1,2,1,130.04620050540595
200,1,2,1,225.1204694102083
204,1,2,3,32.08126507346851
205,1,2,5,0.056582225067127095
247,1,2,3,32.88894482667016
264,1,2,4,0.05658222673572699
272,1,2,5,0.056582225067127095
273,0,2,0,0.07707324744392266
282,1,2,5,0.056582225067127095
285,1,2,1,283.09800816762663
287,1,2,2,182.89639325385352
292,1,2,2,28.53579379872738
307,1,2,4,0.05658222673572699
309,1,2,2,54.488869865188185
317,1,2,2,107.9059722373696
331,1,2,5,0.056582225067127095
359,1,2,5,0.056582225067127095
396,1,2,2,173.9621296764589
400,1,2,5,0.056582225067127095
424,0,2,0,0.06654469958599535
430,0,2,0,0.06341700160871823
437,1,2,5,0.056582225067127095
444,1,2,1,252.59061585174783
448,1,2,4,0.05658222673572699
453,1,2,5,0.056582225067127095
456,1,2,5,0.056582225067127095
476,1,2,2,173.44855721182174
477,1,2,4,0.05658222673572699
489,1,2,1,122.95470195618879
498,1,2,3,13.869865301317608
512,0,2,0,0.13646878337828888
534,1,2,4,0.05658222673572699
545,1,2,5,0.056582225067127095
553,1,2,4,0.05658222673572699
565,1,2,4,0.05658222673572699
572,1,2,1,255.54561138651204
585,1,2,1,132.8143885584337
588,1,2,4,0.05658222673572699
627,1,2,2,28.758762705519313
636,1,2,3,32.249619951024684
664,1,2,5,0.056582225067127095
669,1,2,1,232.35394139661022
681,1,2,4,0.05658222673572699
692,1,2,2,149.25880566512834
704,1,2,4,0.05658222673572699
722,1,2,4,0.05658222673572699
725,0,2,0,0.047036072291368775
740,1,2,5,0.056582225067127095
764,1,2,2,122.57877922008818
772,1,2,5,0.056582225067127095
774,1,2,3,31.086653095215645
786,1,2,2,97.45586288491945
791,1,2,4,0.05658222673572699
796,1,2,5,0.056582225067127095
798,0,2,0,0.4014130742975992
807,1,2,5,0.056582225067127095
812,0,2,0,0.041281117994043826
821,1,2,5,0.056582225067127095
825,1,2,4,0.05658222673572699
831,1,2,5,0.056582225067127095
841,1,2,2,92.61514183977677
842,1,2,4,0.05658222673572699
847,1,2,5,0.056582225067127095
901,1,2,4,0.05658222673572699
923,1,2,4,0.05658222673572699
929,1,2,2,142.3288950180487
933,1,2,3,32.392492079496314
940,1,2,1,119.16721670954401
949,1,2,4,0.05658222673572699
950,0,2,0,0.038404397171707606
953,1,2,5,0.056582225067127095
962,1,2,1,278.5418386400662
978,1,2,1,283.10640707786547
990,1,2,3,27.861269930132927
1002,1,2,1,66.54600040571547
1019,0,2,0,0.04228247605342525
1021,1,2,1,278.6108691703753
1036,1,2,5,0.056582225067127095
1050,1,2,5,0.056582225067127095
1056,1,2,1,248.2001306231464
1063,1,2,3,32.72558211400811
1064,1,2,4,0.05658222673572699
1066,1,2,3,32.115529051630595
1068,1,2,5,0.056582225067127095
1082,1,2,3,31.034180167527268
1144,1,2,1,157.00345217812125
1149,1,2,4,0.056582225067127095
1154,1,2,1,66.63998777752143
1157,1,2,4,0.05658222673572699
1185,1,2,5,0.056582225067127095
1193,1,2,5,0.056582225067127095
1207,1,2,5,0.056582225067127095
1209,1,2,5,0.056582225067127095
1226,0,2,0,0.05675250894591327
1231,1,2,5,0.056582225067127095
1242,1,2,4,0.05658222673572699
1245,1,2,5,0.056582225067127095
1256,1,2,5,0.056582225067127095
1257,1,2,5,0.056582225067127095
1265,1,2,3,25.83771338466975
1275,0,2,0,0.07116472863849811
1278,1,2,5,0.056582225067127095
1285,0,2,0,0.15520023025064114
1287,1,2,2,175.1455744071836
1291,1,2,5,0.056582225067127095
1294,1,2,5,0.056582225067127095
1344,1,2,3,32.26697551813994
1354,1,2,2,36.35029057615274
1367,1,2,4,0.05658222673572699
1369,1,2,5,0.056582225067127095
1384,1,2,2,81.34743938465546
1386,1,2,1,70.57726448368807
1390,1,2,5,0.056582225067127095
1399,1,2,4,0.05658222673572699
1412,1,2,5,0.056582225067127095
1424,1,2,4,0.05658222673572699
1425,1,2,5,0.056582225067127095
1427,1,2,4,0.05658222673572699
1449,1,2,4,0.05658222673572699
1477,1,2,5,0.056582225067127095
1480,1,2,3,28.20237855489711
1491,0,2,0,0.033454549261562626
1492,1,2,4,0.05658222673572699
1496,1,2,4,0.05658222673572699
1502,1,2,2,159.2657367525145
1503,1,2,1,276.4801611783088
1524,1,2,4,0.05658222673572699
1527,1,2,3,32.835500869547474
1541,1,2,5,0.056582225067127095
1544,1,2,4,0.05658222673572699
1546,1,2,5,0.056582225067127095
1547,1,2,1,52.81799794541394
1578,1,2,4,0.05658222673572699
1586,1,2,1,130.73161137631575
1589,0,2,0,0.050767949624583565
1603,1,2,4,0.05658222673572699
1610,0,2,0,0.04844188745345028
1614,1,2,2,81.41827237197705
1615,1,2,1,230.24284972228693
1618,0,2,0,0.15985001985163205
1632,1,2,1,217.59617760832373
1649,1,2,4,0.05658222673572699
1651,1,2,5,0.056582225067127095
1666,1,2,2,43.48193106121031
1671,1,2,1,282.9039830972503
1673,1,2,2,108.36560412697511
1708,1,2,4,0.05658222673572699
1713,1,2,5,0.056582225067127095
1715,1,2,1,249.9971511974314
1744,0,2,0,0.09989638320589747
1751,0,2,0,0.028214172511134686
1755,1,2,1,202.56215671074764
1756,1,2,5,0.056582225067127095
1758,1,2,5,0.056582225067127095
1759,0,2,0,0.11359866665896055
1766,1,2,5,0.056582225067127095
1801,1,2,5,0.056582225067127095
1804,1,2,4,0.05658222673572699
1805,1,2,1,151.06913914306108
1815,1,2,3,32.05036503052439
1837,1,2,3,28.830350737634337
1842,1,2,3,32.975360443692686
1843,1,2,2,86.22224379915235
1850,1,2,4,0.05658222673572699
1855,1,2,3,11.791506353395103
1859,1,2,4,0.05658222673572699
1863,1,2,1,166.71447027102255
1871,1,2,4,0.05658222673572699
1875,1,2,5,0.056582225067127095
1880,1,2,5,0.056582225067127095
1889,1,2,4,0.05658222673572699
1901,0,2,0,0.07243436474230874
1906,1,2,5,0.056582225067127095
1916,0,2,0,0.06356762192292739
1920,1,2,4,0.05658222673572699
1921,1,2,4,0.05658222673572699
1926,1,2,4,0.05658222673572699
1945,1,2,1,120.14919791274832
1959,1,2,3,29.211202782856663
1970,1,2,4,0.05658222673572699
1974,1,2,5,0.056582225067127095
1977,1,2,5,0.056582225067127095
1978,1,2,2,77.13686484603105
1987,0,2,0,0.06992080243019885
1990,1,2,4,0.05658222673572699
1992,1,2,5,0.056582225067127095
2000,0,2,0,0.6054760449594814
2016,1,2,5,0.056582225067127095
2017,0,2,0,0.0984442016271914
2042,1,2,4,0.05658222673572699
2061,1,2,4,0.05658222673572699
2073,1,2,5,0.056582225067127095
2075,1,2,5,0.056582225067127095
2088,1,2,4,0.05658222673572699
2095,1,2,1,164.6514244026624
2110,1,2,5,0.056582225067127095
2114,1,2,2,49.5442148061543
2130,1,2,5,0.056582225067127095
2135,1,2,5,0.056582225067127095
2136,1,2,5,0.056582225067127095
2138,1,2,3,31.558308334015734
2169,1,2,4,0.05658222673572699
2171,0,2,0,0.040783878454129154
2184,1,2,4,0.05658222673572699
2185,1,2,2,168.4453683666451
2189,1,2,4,0.05658222673572699
2190,1,2,2,48.180053429178656
2191,1,2,5,0.056582225067127095
2192,1,2,5,0.056582225067127095
2195,1,2,5,0.056582225067127095
2199,1,2,3,16.395310941293065
2208,1,2,1,283.987780953935
2217,1,2,4,0.05658222673572699
2218,1,2,1,220.90733631904604
2228,1,2,3,24.23214260876179
2234,1,2,5,0.056582225067127095
2236,0,2,0,0.055755623046213044
2237,1,2,3,27.763032066238175
2249,1,2,5,0.056582225067127095
2250,1,2,1,211.89807145560226
2255,1,2,4,0.05658222673572699
2263,1,2,3,19.130248628323546
2277,1,2,4,0.05658222673572699
2278,1,2,1,195.22568026001073
2284,1,2,5,0.056582225067127095
2320,1,2,5,0.056582225067127095
2332,0,2,0,0.05235794728164757
2344,1,2,5,0.056582225067127095
2348,1,2,5,0.056582225067127095
2365,1,2,5,0.056582225067127095
2380,1,2,1,230.65107337695636
2382,1,2,3,29.046441979277343
2383,1,2,5,0.056582225067127095
2386,1,2,5,0.056582225067127095
2392,1,2,3,32.06281908650067
2402,0,2,0,0.07066153990714422
2418,1,2,2,109.83029816578424
2463,1,2,1,257.6254837954953
2468,1,2,5,0.056582225067127095
2471,1,2,5,0.056582225067127095
2490,1,2,5,0.056582225067127095
2524,1,2,4,0.05658222673572699
