Indice,Maligno,Dispositivo,TipologiaAttacco,RMSE:
3,1,1,6,70.7165926210896
6,1,1,8,58.26398041376305
8,1,1,9,68.29065496758133
20,1,1,10,53.980834762414666
37,1,1,4,0.23275242202167823
58,1,1,6,62.7674821002218
68,1,1,10,58.09409580897323
83,1,1,3,7.497390934700163
92,0,1,0,0.022293325361613086
93,1,1,10,31.93234223623578
100,1,1,6,44.13209168024423
102,1,1,8,50.50769771059889
105,1,1,10,38.37862620271414
121,1,6,5,0.23275241776167005
131,1,6,3,4.116396380402014
169,1,1,10,54.70065505048855
181,1,1,10,61.514253384394614
189,1,1,9,70.11460423234855
245,1,6,1,20.7723556189733
251,1,1,9,37.011523650479646
252,1,1,5,0.23275241776167005
269,1,1,9,54.87542758172944
280,1,6,5,0.23275241776167005
286,1,1,3,6.2594892782561065
304,1,1,9,28.88288208679596
310,1,1,9,51.70431009602073
326,1,1,7,9.934710464123242
360,1,1,9,71.02650151655617
410,1,6,5,0.23275241776167005
446,1,1,9,50.96171655046302
456,1,6,2,72.95132660380888
469,1,6,4,0.2327524258012473
483,1,1,9,18.22895088104707
489,1,1,1,77.7642762869458
493,1,1,9,53.49951197378009
501,1,1,8,52.94049531021557
513,1,1,6,34.24540259332908
516,1,1,9,70.6055752099383
517,1,1,4,0.23275242202167823
522,1,1,5,0.23275241776167005
525,1,1,1,51.857972466933475
527,0,6,0,0.021846775047900554
544,1,1,10,31.96005411019608
550,1,1,5,0.23275241776167005
597,1,1,3,6.307164482161895
611,1,1,5,0.23275241776167005
616,1,1,6,62.000026051762944
622,1,1,9,46.75442685657392
629,1,1,9,37.63754793494411
634,1,6,5,0.23275241776167005
635,1,1,7,14.574575979622027
638,1,6,4,0.23275242202167823
640,1,1,10,34.0979528535748
680,1,6,4,0.23275242202167823
687,1,6,5,0.23275241776167005
695,1,6,3,5.48910114925016
698,1,6,5,0.23275241776167005
721,1,1,8,71.40890815411716
731,1,1,4,0.23275242202167823
745,1,1,6,46.71287809854789
747,1,1,4,0.23275242202167823
756,1,1,6,50.84107317623693
764,1,1,9,72.53555438242354
767,0,6,0,0.04151424415899608
769,1,6,5,0.23275241776167005
806,1,6,4,0.23275242202167823
809,1,1,1,79.26997031731925
810,1,1,5,0.23275241776167005
820,1,1,9,53.92300497132992
830,1,1,4,0.23275242202167823
838,1,1,8,53.69785620586065
851,1,1,6,42.40715673339992
861,1,1,10,57.60385839681791
882,1,1,9,7.787309964943129
884,1,1,8,54.12651900310557
889,1,1,8,63.363616367811666
914,1,1,6,63.70534696012545
919,1,1,6,57.86488079296174
927,1,1,3,7.088108775740289
938,1,1,5,0.23275241776167005
979,1,1,7,13.567661218737094
982,1,1,5,0.23275241776167005
988,1,6,3,6.2653463324183445
997,1,1,8,66.06556239755811
1005,1,1,8,43.88967790498389
1017,1,1,7,14.573967289777324
1021,1,6,5,0.23275241776167005
1024,1,1,4,0.23275242202167823
1025,1,1,1,71.8133375328905
1033,1,6,5,0.23275241776167005
1040,1,1,8,49.93840310463313
1041,1,1,6,70.57722721287735
1063,1,1,9,44.83715658372751
1087,1,1,9,36.81794199097438
1093,1,1,7,14.521570835481608
1094,1,6,5,0.23275241117894363
1107,1,1,9,71.89513741500578
1115,1,1,10,23.368456092537897
1122,1,1,9,74.04614294988946
1124,1,1,6,63.082848222931666
1142,1,1,9,51.13207106589729
1144,1,1,9,76.23430174633148
1147,1,1,4,0.23275242202167823
1162,1,6,5,0.23275241776167005
1181,1,1,5,0.23275241776167005
1182,1,6,3,5.639076240619423
1197,1,1,2,70.57067336592206
1209,1,6,4,0.23275242202167823
1216,1,6,5,0.23275241776167005
1227,1,1,3,7.152676378008824
1243,1,1,2,71.047464409404
1248,1,6,5,0.23275241776167005
1250,1,6,2,66.02629922903465
1291,1,1,6,43.303123915374705
1292,1,6,4,0.23275242202167823
1293,1,1,8,73.21740706783804
1329,1,1,4,0.23275242202167823
1331,1,6,4,0.23275242202167823
1335,1,1,8,49.721380244181226
1345,1,1,9,62.987793987682934
1346,1,1,10,38.33220033157947
1347,1,1,8,43.43580795929837
1348,1,1,5,0.23275241776167005
1355,1,1,8,59.43269164425705
1366,1,1,8,38.185214012838244
1368,1,1,6,33.9707298371398
1372,1,1,9,55.76139781668381
1374,1,1,9,55.46140472847143
1381,1,1,9,72.80625657977718
1383,1,6,2,64.69408286644183
1384,1,1,9,26.983688634772065
1388,1,1,1,78.3134684169659
1393,1,6,1,78.38475640355624
1405,1,1,8,95.00028168006256
1406,1,1,8,61.68813962557884
1411,1,1,9,76.48058247783878
1415,1,6,5,0.23275241776167005
1420,0,6,0,0.024252200137523085
1424,1,6,5,0.23275241776167005
1425,0,6,0,0.058222921047206604
1429,1,1,3,4.425264761796792
1440,1,1,4,0.23275242202167823
1448,1,1,6,71.44394756452559
1457,1,1,1,77.69722581822444
1467,1,1,10,52.90876228195711
1479,1,1,8,61.136927713172724
1485,1,6,3,5.770823832501857
1492,1,1,6,62.855249631059706
1508,1,1,1,72.36821621927105
1542,1,1,6,46.83487723916594
1554,1,6,1,78.59086469011744
1559,1,6,5,0.23275241776167005
1567,1,1,5,0.23275241776167005
1579,1,1,6,71.90552368755219
1595,1,6,5,0.23275241776167005
1599,1,1,7,11.991723057629127
1605,1,1,8,53.252351845987725
1617,1,1,8,61.142653467658135
1619,1,1,8,57.40695385019921
1621,1,1,9,59.46811472415281
1623,1,1,5,0.23275241776167005
1635,1,1,1,78.0575796754463
1642,1,1,8,42.90806046863227
1644,1,1,10,39.78829079097807
1682,1,1,10,32.558698978848696
1712,1,1,8,80.14388767826365
1721,1,1,4,0.23275242202167823
1722,1,1,9,47.19982491790547
1733,1,1,3,7.080838445817763
1737,1,1,5,0.23275241776167005
1743,1,6,4,0.23275242202167823
1755,1,1,1,85.02147587314545
1758,1,1,1,51.46059819779488
1759,1,6,3,8.719280210005785
1774,1,1,6,30.42193785362655
1775,1,1,9,73.54737003078169
1784,1,1,4,0.23275242202167823
1803,1,1,10,60.85228718123486
1810,1,1,5,0.23275241776167005
1818,1,1,9,20.481034188335165
1829,1,6,2,62.354995223116845
1830,1,1,6,73.34538659119335
1836,1,1,6,62.45576936222887
1837,0,1,0,0.060771992119706957
1841,1,1,9,73.41882276160285
1847,1,1,5,0.23275241776167005
1849,1,1,5,0.23275241776167005
1860,1,1,6,67.81147900742657
1865,1,6,4,0.23275242202167823
1868,1,1,9,73.24555469922693
1886,1,1,6,56.56291301095393
1891,1,1,9,73.16041829846027
1892,1,1,8,61.29974973750562
1915,1,1,3,7.205145007799644
1917,1,1,8,59.13218235100702
1925,1,6,5,0.23275241776167005
1931,1,1,1,78.38594778074152
1937,1,1,4,0.23275242202167823
1958,0,6,0,0.4633682671994528
1963,1,1,4,0.23275242202167823
1965,1,1,8,56.580134104319825
1978,1,1,4,0.23275242202167823
1988,1,6,3,6.5229849812969105
2022,1,1,4,0.23275242202167823
2028,1,1,6,66.82065391182537
2030,1,1,4,0.23275242202167823
2032,1,6,5,0.23275241776167005
2033,1,6,1,79.06469531642168
2047,1,1,10,52.85389411228472
2080,1,1,6,64.90289394429237
2081,1,1,10,35.507579624546786
2083,1,1,4,0.23275242202167823
2114,1,6,5,0.23275241776167005
2115,1,6,5,0.23275241776167005
2129,1,6,4,0.23275242202167823
2133,1,6,4,0.23275242202167823
2146,1,6,4,0.23275242202167823
2152,1,1,6,67.89697753394908
2153,1,1,9,36.542474224564536
2156,1,1,8,35.094687046346024
2161,1,1,9,22.174350249916767
2184,1,1,6,62.88865544491879
2189,1,1,3,7.811034625037851
2192,1,1,10,63.60579655573422
2197,1,1,8,94.91959863564558
2200,1,1,2,67.32851566902788
2207,1,1,1,81.9096115205753
2237,1,6,5,0.23275241776167005
2240,1,6,5,0.23275241776167005
2256,1,6,4,0.23275242202167823
2306,1,1,5,0.23275241776167005
2316,1,6,5,0.23275241776167005
2322,1,6,1,87.64859872523807
2332,1,1,8,65.75564229540741
2347,1,6,3,8.326381943453997
2350,1,1,10,38.5484574306476
2373,1,1,9,52.78330637391768
2404,1,1,9,56.62665874439019
2407,1,1,4,0.23275242202167823
2408,1,1,3,8.093550845527693
2412,1,1,8,53.32367833581803
2415,1,6,5,0.23275241776167005
2416,1,1,6,68.48437972732258
2417,1,1,10,39.48210414494372
2428,1,1,1,80.59726501367928
2429,1,6,5,0.23275241776167005
2433,1,1,6,47.87822467379148
2440,1,1,1,62.84344369425069
2443,1,1,8,37.02786470047731
2459,1,1,5,0.23275241776167005
2463,1,1,4,0.23275242202167823
2475,1,1,6,72.85440060282296
2479,1,1,3,7.552623389473389
2482,1,1,9,71.0334097853393
2483,1,1,8,82.2365941569633
2492,1,6,3,5.440275256002489
2493,1,1,8,42.476415874261725
2498,1,1,3,7.690269871136319
2507,1,1,5,0.23275241776167005
2516,1,6,5,0.23275241776167005
2518,1,1,1,64.4792261573961
2522,1,6,4,0.23275242202167823
2543,1,1,6,73.31944309507185
2545,1,1,1,87.1857707061569
2550,1,6,1,80.6579882580457
2551,1,6,5,0.23275241776167005
2573,1,1,10,20.450275588459576
2593,1,1,8,65.4932394532734
2612,1,6,5,0.23275241776167005
2619,1,1,9,64.48608123219033
2621,1,1,9,72.3218338059799
2622,1,6,4,0.23275242202167823
2628,0,6,0,0.02536977735374185
2665,1,1,4,0.23275242202167823
2677,1,6,4,0.23275242202167823
2704,1,6,5,0.23275241776167005
2720,1,6,5,0.23275241776167005
2723,1,1,8,65.7614251176602
2730,1,6,1,78.44179290534785
2738,1,1,7,14.480534109417622
2742,0,6,0,0.01718024094701627
2749,1,1,8,60.94930421487092
2754,1,1,4,0.23275242202167823
2760,1,1,9,59.71156111406367
2767,1,1,4,0.23275242202167823
2770,1,6,1,76.89301360958609
2771,1,1,9,74.07713556669945
2794,1,1,1,75.738837718633
2820,1,1,8,70.8760889158685
2821,1,6,5,0.23275241776167005
2825,0,6,0,0.08342947419563902
2832,1,6,3,5.754046218503935
2847,1,1,3,7.604548547241279
2864,1,6,4,0.23275242202167823
2866,1,6,1,77.32953627815654
2895,1,1,9,76.40735137072663
2909,1,1,8,92.73714185185277
2924,0,1,0,0.03350726383703237
2933,1,6,4,0.23275242202167823
2940,1,1,5,0.23275241776167005
2944,1,1,6,63.273920616436925
2955,1,6,5,0.23275241776167005
2957,1,6,4,0.23275242202167823
2960,1,1,8,41.93746713146275
2961,1,1,9,74.03432892110813
2966,1,1,5,0.23275241776167005
2969,1,1,8,65.7407325460651
2970,0,6,0,0.04156490462309794
2975,1,1,4,0.23275242202167823
3003,1,1,7,14.460284030873225
3030,1,1,8,61.70855550047946
3035,1,1,6,48.4233410105786
3043,1,1,8,43.80044419881258
3067,1,1,5,0.23275241776167005
3075,1,1,6,71.37609776561385
3080,1,6,4,0.23275242202167823
3090,1,1,3,6.814447149887554
3092,1,6,3,7.214933618415357
3097,1,1,7,13.092752799746272
3113,1,1,6,58.40855225682725
