Indice,Maligno,Dispositivo,TipologiaAttacco,RMSE:
31,1,7,7,4.147315946022014
34,1,7,4,0.35403269478760835
35,1,7,7,3.2483640697351492
46,1,7,4,0.35403269478760835
51,1,7,10,14.717494000538197
60,1,7,3,2.3757030090819833
87,1,7,8,35.569830532289416
95,1,7,9,25.35001315745402
106,1,7,6,8.931199499054046
110,1,7,9,29.102445348281233
113,1,7,2,13.49468191060126
115,1,7,6,24.446630750166808
116,1,7,9,28.549470109794306
127,1,7,6,40.084256020110885
129,1,7,5,0.35403268087430845
138,1,7,9,13.110825821606804
140,1,7,6,9.443996360519193
166,1,7,9,9.679219165344888
195,1,7,5,0.35403268087430845
225,1,7,4,0.35403269478760835
230,1,7,9,40.79212422267249
231,1,7,9,43.838352194838606
246,1,7,9,24.20050943999392
289,1,7,9,31.69782980797181
295,1,7,1,20.080000736327246
309,1,7,9,17.681986716559848
367,0,7,0,0.0334425200157065
369,1,7,1,12.102835439361819
376,1,7,8,25.72656963085933
381,1,7,9,43.609475404267336
383,1,7,10,23.772356446513456
384,1,7,9,44.15676785094961
385,1,7,4,0.35403269478760835
388,1,7,9,24.15982022102257
389,1,7,2,1.548408827253342
396,1,7,8,12.945290192480861
399,1,7,9,43.35291524688118
407,1,7,5,0.35403268087430845
408,1,7,10,23.60050644583361
413,1,7,5,0.35403268087430845
427,1,7,6,39.10823937447802
429,1,7,5,0.35403268087430845
440,1,7,8,13.232227721319129
449,1,7,4,0.35403269478760835
450,1,7,8,31.87943129907531
477,1,7,9,8.062459693417413
481,1,7,9,32.55106353795708
491,1,7,6,32.53073504547808
513,1,7,10,33.67291739337155
517,1,7,5,0.35403268087430845
554,1,7,5,0.35403268087430845
563,1,7,5,0.35403268087430845
580,1,7,8,35.835934004806866
581,1,7,9,31.057603093474587
583,1,7,4,0.35403269478760835
613,1,7,1,36.52064974169528
620,1,7,9,26.21214783229856
629,0,7,0,0.031680955529216744
648,1,7,8,43.85634150000382
675,1,7,8,37.79967556917917
677,1,7,2,14.485206057170288
678,1,7,4,0.35403269478760835
685,1,7,8,2.722514650233235
688,1,7,9,43.43832229487181
693,1,7,8,32.10945185694401
696,1,7,4,0.35403269478760835
703,1,7,10,18.694522502376277
709,1,7,7,2.3331483808447318
716,0,7,0,0.046530516603416304
759,1,7,9,19.780266157749324
760,1,7,10,22.65533559908506
772,1,7,8,25.427379209870494
773,1,7,1,24.66628466074015
782,0,7,0,0.04808741832439624
786,1,7,3,4.473983062381911
794,1,7,8,20.360246692269303
797,1,7,9,18.342253177595733
803,1,7,6,24.365208075821503
822,1,7,4,0.35403269478760835
830,1,7,9,29.271309507128947
839,1,7,10,27.804738721935117
840,0,7,0,0.03639689568249962
845,1,7,5,0.35403268087430845
851,1,7,7,8.891655447415191
854,1,7,9,19.077353741146613
855,1,7,5,0.35403268087430845
887,1,7,1,34.6530275875227
900,1,7,9,43.60908324880949
903,1,7,8,26.571303132918274
909,1,7,5,0.35403268087430845
923,1,7,8,25.516133255666755
949,1,7,8,12.358077495415271
956,0,7,0,0.035449244590377994
965,1,7,6,29.53910485491532
975,1,7,8,32.88451371995278
978,1,7,4,0.35403266402479777
989,1,7,8,40.80359225613316
999,0,7,0,0.04766503799150187
1024,1,7,9,18.122522679435203
1045,1,7,3,4.39054205037045
1047,1,7,8,40.56260202843867
1052,1,7,2,17.82427300910695
1068,1,7,8,38.91304759419699
1091,1,7,8,18.50941361833069
1108,1,7,7,7.871283310936513
1109,1,7,9,28.396139615108844
1111,1,7,6,38.57769724135224
1131,0,7,0,0.0422406362359491
1132,1,7,4,0.35403269478760835
1136,1,7,4,0.35403269478760835
1146,1,7,1,36.08521586757159
1168,1,7,9,8.276030958487045
1169,1,7,8,43.02162349896379
1170,1,7,10,20.004813873260524
1191,1,7,2,11.515293440466241
1212,1,7,10,17.388226852976693
1225,1,7,1,32.720399580320006
1227,0,7,0,0.05924601439422544
1229,1,7,5,0.35403268087430845
1231,1,7,1,18.4559289837017
1270,1,7,9,33.00602900448812
1276,1,7,2,10.558917207084342
1277,1,7,8,23.17783396346721
1280,1,7,7,8.644730916835782
1281,1,7,8,32.690110502407165
1290,1,7,8,35.018351609078444
1294,1,7,4,0.35403266402479777
1316,1,7,4,0.35403266402479777
1327,1,7,7,8.8090273057194
1330,1,7,8,26.487758247313483
1347,1,7,5,0.35403268087430845
1379,1,7,2,9.218455338146097
1388,1,7,7,8.313988881046324
1391,1,7,1,8.149861378478725
1418,1,7,9,38.32857188920147
1424,1,7,10,17.813490159586586
1452,1,7,4,0.35403269478760835
1478,1,7,7,7.844369078584672
1512,1,7,5,0.35403268087430845
1516,1,7,5,0.35403268087430845
1517,1,7,5,0.35403268087430845
1527,1,7,6,23.136435052702755
1530,1,7,8,6.91609982925069
1549,1,7,8,38.33586232566166
1551,1,7,5,0.35403268087430845
1552,0,7,0,0.04310268028514725
1555,1,7,9,15.495075131458716
1560,1,7,1,27.665879965008994
1566,1,7,2,21.36534770514376
1573,1,7,10,24.76940397683424
1583,1,7,5,0.35403268087430845
1589,1,7,1,9.124628345692477
1599,1,7,6,30.763667387584423
1603,1,7,9,14.702782923397978
1640,1,7,10,34.401161864533606
1658,1,7,4,0.35403269478760835
1671,1,7,1,28.342182829562102
1672,1,7,2,18.547417575540102
1677,1,7,6,14.214478439703587
1693,1,7,9,37.38967288628471
1726,1,7,3,4.120918407093258
1729,1,7,9,41.94035808491718
1735,1,7,8,39.24520966120614
1739,1,7,8,42.4920274343314
1742,0,7,0,0.24060752553204054
