Indice,Maligno,Dispositivo,TipologiaAttacco,RMSE:
2,1,6,4,0.19362714737497702
9,1,6,5,0.19362714118665453
18,1,6,5,0.19362714118665453
22,1,4,9,45.09550224343701
30,1,6,4,0.19362714737497702
31,1,6,5,0.19362714118665453
39,1,4,5,0.19362714118665453
58,0,4,0,0.07463294449785485
61,1,4,4,0.19362714737497702
62,1,4,4,0.19362714737497702
83,1,6,1,29.207654295335626
91,1,4,6,32.54490736572586
105,1,4,3,7.937537373015255
109,1,4,1,43.53154684887409
111,1,4,1,49.15579658504504
116,1,6,5,0.19362714118665453
120,1,6,1,55.440512694194396
128,1,6,3,2.803956717049916
136,1,4,8,37.81214765735252
151,1,4,9,40.39897577974991
153,1,4,5,0.19362714118665453
155,1,6,5,0.19362714118665453
156,1,4,6,34.26471915052853
157,1,4,7,20.024875836746798
171,1,6,5,0.19362714118665453
188,1,4,2,16.2706793918002
222,1,6,1,52.392052519993946
239,1,4,7,19.925800987370195
242,1,4,2,16.953877060943203
246,1,4,6,11.532539192372662
250,1,4,5,0.1936271351462958
251,1,4,6,33.89391129620971
256,0,6,0,0.0423897358786924
266,1,6,5,0.19362714118665453
268,1,4,7,16.52210908087021
295,1,6,5,0.19362714118665453
307,1,6,1,57.26210008652774
309,1,4,7,18.563598003349348
320,1,6,4,0.19362714737497702
333,1,6,2,45.82767272420544
352,1,4,9,43.09827578923006
355,1,4,4,0.19362714118665453
364,1,4,8,26.13304273282489
365,1,4,8,26.701291992538028
393,1,6,5,0.19362714118665453
400,1,6,4,0.19362714737497702
412,0,4,0,0.016212214921399834
423,1,4,8,27.69606017801935
424,1,4,3,8.302697307452403
428,1,4,5,0.19362714118665453
440,0,6,0,0.015960382671581994
443,1,4,5,0.19362714118665453
460,0,4,0,0.03614191703673689
473,1,4,7,19.8373292181907
474,1,4,4,0.19362714737497702
485,1,4,1,70.70956140010658
508,1,4,7,19.99444014844177
520,1,4,7,16.529355854105123
523,1,6,4,0.19362714737497702
529,1,6,1,59.384948938867176
542,1,4,4,0.19362714737497702
572,1,6,5,0.19362714118665453
576,1,4,9,32.061300486249735
579,1,4,9,27.27572327376061
591,1,4,4,0.19362714737497702
596,1,6,5,0.19362714118665453
599,1,4,5,0.19362714118665453
600,1,6,4,0.19362714737497702
601,1,4,8,13.987056174875173
606,1,4,8,19.256733281927207
611,1,4,4,0.19362714737497702
622,1,4,5,0.19362714118665453
631,1,6,4,0.19362714737497702
647,1,6,4,0.19362714737497702
664,1,4,9,37.6447791457706
676,1,6,4,0.19362714737497702
679,1,4,3,4.8278464530596406
681,1,4,7,18.142130862593785
686,0,4,0,0.046365215288433057
692,1,4,3,8.339608080313653
695,1,4,5,0.19362714118665453
725,0,4,0,0.016503600059617048
737,1,4,8,32.26024183692589
761,1,4,1,65.12385671335771
775,1,4,9,29.805934579677245
781,1,4,5,0.19362714118665453
783,1,6,4,0.19362714737497702
787,1,4,4,0.19362714737497702
789,0,6,0,0.039367410358731925
809,1,6,2,18.462554661413996
810,1,4,5,0.19362714118665453
826,1,6,5,0.19362714118665453
845,0,4,0,0.022572810902829137
854,1,6,2,44.39456423040861
889,1,4,1,32.718820838726764
891,1,4,9,45.38921591902233
895,1,4,7,14.84637191105599
904,1,4,9,45.135635242290334
908,1,4,6,21.061266452271926
914,1,6,5,0.19362714118665453
940,1,4,4,0.19362714118665453
944,1,6,2,38.36942749962945
949,1,4,9,45.15184485638913
962,1,6,1,12.047960249852915
970,1,6,3,4.191485160028141
974,1,4,9,45.606520887136064
977,1,4,5,0.19362714118665453
979,1,4,9,39.900264982123666
998,1,4,9,16.964061855811124
1013,1,4,4,0.19362714737497702
1070,1,4,6,32.14585776980763
1078,1,6,5,0.19362714118665453
1084,1,4,8,31.80125022873099
1088,1,4,7,20.150620436390927
1090,1,6,1,50.66338873639244
1102,1,6,5,0.19362714118665453
1104,1,4,7,18.45368689828788
1108,1,4,3,3.8080927021251054
1116,1,4,6,8.295111679220323
1133,1,4,9,35.819504466859584
1141,0,4,0,0.020972817150855014
1145,1,6,4,0.19362714737497702
1149,1,4,6,16.57495458997599
1181,1,6,5,0.19362714118665453
1190,1,4,5,0.19362714118665453
1215,1,4,8,27.446746367249162
1222,1,6,2,45.8423325308168
1229,1,4,9,45.561184261525405
1246,1,4,5,0.19362714118665453
1264,1,6,5,0.19362714118665453
1299,1,4,8,23.05457790996359
1309,1,6,5,0.19362714118665453
1330,1,4,8,35.6483804828972
1332,0,6,0,0.011431647412381292
1347,1,6,4,0.19362714737497702
1349,1,6,1,59.782262894741464
1362,1,4,6,33.09133006062181
1368,1,4,6,18.869030243182987
1371,1,6,4,0.19362714737497702
1376,1,6,5,0.19362714118665453
1383,1,4,4,0.19362714737497702
1387,1,4,6,14.050270023193399
1393,1,4,6,21.83506594579618
1394,1,4,4,0.19362714737497702
1414,1,4,9,43.957808657714345
1426,1,4,8,27.777477152707192
1447,1,4,2,11.357977705949208
1457,1,6,4,0.19362714737497702
1468,1,4,9,38.22580798965991
1472,1,4,9,38.09275518506286
1476,1,4,9,38.33312545039312
1483,1,4,9,38.22631445303844
1505,1,4,7,18.323757850394816
1509,1,4,4,0.19362714737497702
1511,1,4,4,0.19362714737497702
1517,1,6,2,38.310544333281584
1524,1,6,4,0.19362714737497702
1528,1,4,5,0.19362714118665453
1529,1,4,10,31.602214890094764
1532,1,4,9,34.54456347389475
1540,1,4,5,0.19362714118665453
1544,1,4,9,46.37239975260748
1562,1,4,4,0.19362714737497702
1563,1,4,4,0.19362714737497702
1576,1,4,9,38.4272865843647
1579,1,6,4,0.19362714737497702
1594,1,6,4,0.19362714737497702
1599,1,4,7,20.17557909478146
1602,1,6,1,59.186615620405064
1619,0,6,0,0.023635342461891005
1646,1,4,5,0.19362714118665453
1656,1,4,7,17.525183001184033
1662,1,4,5,0.19362714118665453
1665,0,4,0,0.012188912132579652
1675,1,6,5,0.19362714118665453
1698,1,6,4,0.19362714737497702
1760,1,6,5,0.19362714118665453
1763,0,4,0,0.013726435702425216
1767,1,4,4,0.19362714737497702
1773,1,4,10,33.46653660140361
1804,1,4,5,0.19362714118665453
1808,1,4,2,35.67403084386332
1813,1,4,7,16.084046904517397
1818,1,6,4,0.19362714737497702
1851,0,4,0,0.02142398756983778
1854,1,6,5,0.19362714118665453
1855,1,6,4,0.19362714737497702
1861,1,6,5,0.19362714118665453
1866,1,4,9,16.157385447923925
1870,1,6,4,0.19362714737497702
1886,1,4,10,22.375063383962562
1905,1,4,9,44.53125132738696
1925,1,6,1,47.17273320433675
1928,1,6,2,34.04844881582249
1957,0,6,0,0.042853390550169415
1972,1,6,1,46.2119912391848
1979,1,4,8,24.359018010354877
1985,1,4,8,27.48218253512866
1998,1,4,9,38.82757235119997
1999,1,6,5,0.19362714118665453
2017,1,4,10,23.753886304218717
2062,1,4,1,22.670079479689182
2075,1,6,5,0.19362714118665453
2078,1,4,5,0.19362714118665453
2095,1,4,9,45.3022319305484
2104,1,6,5,0.19362714118665453
2107,1,4,9,19.335148148810568
2108,1,4,8,16.43698337412336
2117,1,4,5,0.19362714118665453
2121,1,6,3,3.501434861349176
2124,1,4,4,0.19362714737497702
2143,1,4,4,0.19362714737497702
2144,1,4,4,0.19362714737497702
2158,1,4,5,0.19362714118665453
2163,1,4,4,0.19362714737497702
2196,1,4,10,25.25480293621676
2211,1,4,4,0.19362714737497702
2213,1,4,2,23.49544237835327
2233,1,4,9,45.76584200781938
2257,1,4,1,60.758560852568
2264,1,6,5,0.19362714118665453
2274,1,6,5,0.19362714118665453
2298,1,4,4,0.19362714940982395
2302,1,4,5,0.1936271351462958
2306,1,4,7,13.250646404634606
2326,1,4,9,43.46858610484243
2328,1,4,3,6.77374348729814
2335,1,6,1,64.01579974412154
2347,1,6,5,0.19362714118665453
2349,1,6,4,0.19362714737497702
2360,1,6,5,0.19362714118665453
2364,1,6,3,8.220118890511358
2365,1,4,9,38.16964103108587
2393,1,4,9,45.82260026246862
2411,1,4,8,8.264484543541473
2414,0,6,0,0.014510992224856063
2421,1,4,4,0.19362714737497702
2425,1,4,6,34.417028007622235
2426,1,4,4,0.19362714737497702
2439,1,4,7,16.647776056515657
2440,1,4,4,0.19362714737497702
2441,1,4,10,28.632298039281945
2455,1,4,4,0.19362714737497702
2464,1,4,4,0.19362714737497702
2474,1,6,3,3.358136400794664
2479,1,6,1,59.59183283758795
2481,1,4,6,7.131706991558212
2506,1,4,5,0.19362714118665453
2507,1,6,2,53.23697351376533
2514,1,6,3,8.548018530725024
2515,1,4,5,0.19362714118665453
2519,1,4,1,49.59559920737901
2530,1,4,10,10.351533596509732
2538,1,4,9,44.460693194313535
2546,1,4,2,50.278711222652504
2548,1,6,3,7.066233084604859
2558,1,4,1,71.84161036991087
2561,1,4,1,31.114710621397194
2567,1,4,9,42.38592819419467
2571,1,4,10,26.649572889053648
2572,0,4,0,0.05847928289634853
2575,1,4,9,16.690834807858927
2586,1,4,1,63.370075699202474
2588,1,4,3,8.727302335045383
2607,0,4,0,0.015860880662928577
2616,1,4,7,10.913428302084306
2623,1,6,2,32.25492660899298
2629,1,6,5,0.19362714118665453
2631,1,6,5,0.19362714118665453
2635,1,4,5,0.19362714118665453
2637,1,4,2,51.582211137769505
2644,1,4,8,16.357720913225716
2655,1,6,5,0.19362714118665453
2677,1,4,4,0.19362714737497702
2713,1,4,7,19.435655420269033
2717,1,4,7,16.563994412367617
2743,1,6,1,62.12213457840847
2751,1,4,6,22.12304469193315
2760,1,4,6,27.283507031034386
2770,1,4,5,0.19362714118665453
2772,1,4,6,16.549312580758052
2776,1,4,10,27.225972458881188
2799,1,4,8,31.33319872586227
2800,1,4,5,0.19362714118665453
2802,1,6,4,0.19362714737497702
2804,1,6,5,0.19362714118665453
2827,1,4,4,0.19362714940982395
2833,1,4,5,0.1936271351462958
2834,1,6,5,0.19362714118665453
2839,1,6,2,41.20597340997662
2872,1,4,4,0.19362714737497702
2876,1,4,7,16.635589859385338
2886,1,6,4,0.19362714737497702
2902,1,4,9,38.3859728890255
2909,1,4,2,41.04879696749952
2918,1,4,4,0.19362714737497702
2926,1,6,5,0.19362714118665453
2928,1,4,8,27.614531998128793
2958,1,6,2,48.84430345047467
2968,1,6,4,0.19362714737497702
2969,1,6,1,51.493559487198574
2997,1,4,8,34.8481752245864
3004,1,4,8,28.342145592562865
3008,1,4,4,0.19362714737497702
3012,1,4,8,35.61819568488796
