Indice,Maligno,Dispositivo,TipologiaAttacco,RMSE:
1,0,3,0,0.011634434637288532
21,0,3,0,0.011887960420986061
24,1,3,10,62.891222829360096
34,1,3,9,76.23141214559077
38,1,3,9,115.27431588823671
47,1,3,8,89.65086128349328
57,1,3,4,0.21474873639495706
58,1,3,6,185.38323902793516
65,1,3,5,0.2147487269189141
77,1,3,4,0.21474873639495706
84,0,3,0,0.014226948188525497
94,1,3,5,0.2147487269189141
109,1,3,5,0.2147487269189141
112,1,3,9,239.32225575508673
117,0,3,0,0.013095040426604618
123,1,3,6,134.62213921902085
128,1,3,5,0.2147487269189141
144,1,3,9,107.56061135270676
151,1,3,6,108.60015018059805
163,0,3,0,0.014076523604842529
169,1,3,4,0.21474873639495706
179,0,3,0,0.011823436355012667
199,0,3,0,0.007599691011931987
206,1,3,8,188.67866312434177
207,1,3,9,121.6881223315742
219,1,3,9,121.5043059654932
221,1,3,7,36.970223700735005
222,1,3,4,0.21474873639495706
223,1,3,9,142.67811006565967
225,0,3,0,0.044764264851649554
242,1,3,8,115.46766793499879
262,1,3,4,0.21474874191451054
263,1,3,9,107.88046354935742
271,1,3,7,46.210196709054784
287,0,3,0,0.01082284872951841
303,1,3,1,203.70582124084828
315,1,3,5,0.2147487269189141
327,1,3,4,0.21474873639495706
346,0,3,0,0.010711376506772587
371,1,3,6,111.84262879530054
374,1,3,9,232.02820371882922
377,1,3,10,248.31187264569837
378,0,3,0,0.014208203593174666
383,1,3,9,167.33317462005897
397,1,3,9,142.7569068565305
400,1,3,9,205.86589994728655
402,1,3,9,239.55973189982495
408,1,3,9,131.16283676213106
428,1,3,3,5.512193649909241
456,1,3,9,110.79251195309568
460,0,3,0,0.013682026561416797
465,1,3,6,82.34270209149594
470,1,3,6,73.11437456714643
474,1,3,5,0.2147487269189141
493,1,3,8,90.17007551042886
494,1,3,9,194.0431338203383
495,1,3,9,235.84030594659427
500,1,3,4,0.21474873639495706
506,1,3,9,133.28229410902935
513,1,3,6,102.30280000386833
521,1,3,7,27.98060606956313
525,1,3,8,228.20611363997222
528,1,3,4,0.21474874191451054
543,1,3,7,19.583056895038315
562,1,3,9,128.23765641596486
589,1,3,6,106.12730573994101
596,1,3,4,0.21474873639495706
597,1,3,10,184.00662369184113
604,1,3,8,196.61602043954483
605,1,3,6,115.25258703002011
606,0,3,0,0.0389809495940762
612,1,3,8,234.29240256217795
640,1,3,1,237.91375338223415
646,1,3,5,0.2147487269189141
649,1,3,4,0.21474873639495706
654,1,3,9,132.9061980936698
664,1,3,8,115.42377241531999
672,1,3,6,72.28186159748017
675,1,3,8,75.57469273570429
676,1,3,4,0.21474873639495706
695,1,3,8,101.74569346656757
728,1,3,8,87.77105727877822
752,1,3,9,235.08505168912203
766,1,3,5,0.2147487269189141
768,1,3,4,0.21474873639495706
786,0,3,0,0.011164392011252855
798,1,3,6,155.431597810752
807,1,3,9,149.25246162042
830,0,3,0,0.013923220684776869
834,1,3,4,0.21474873639495706
838,1,3,8,74.21340051869679
843,1,3,7,47.63072926184483
854,1,3,4,0.21474873639495706
859,1,3,5,0.2147487269189141
867,1,3,9,205.48462312286907
881,1,3,7,47.57406091409233
927,1,3,9,114.43407235861582
939,1,3,1,171.0462302446549
946,1,3,8,139.5336210452484
947,0,3,0,0.02038837067412733
952,1,3,8,82.7701398736076
956,1,3,8,152.5991061028444
961,0,3,0,0.014088208465519314
987,1,3,4,0.21474873639495706
990,1,3,3,16.942340851660894
998,1,3,8,102.72091737186493
1006,1,3,7,47.00078172077203
1008,0,3,0,0.01242862573038753
1030,1,3,4,0.21474873639495706
1047,1,3,7,41.30564338223541
1052,1,3,9,209.58825643983147
1058,1,3,5,0.2147487269189141
1059,1,3,2,120.97657446271229
1068,1,3,6,190.14692208895187
1098,1,3,10,192.11821633219444
1115,1,3,1,203.58535325281136
1119,1,3,3,17.09237644478143
1124,1,3,4,0.21474873639495706
1136,1,3,6,173.68484293927023
1160,1,3,9,93.82334642366727
1163,1,3,8,180.8375956564059
1164,1,3,3,17.790945207788475
1178,1,3,5,0.2147487269189141
1193,1,3,1,109.71565676931303
1198,1,3,9,116.85993570783644
1201,0,3,0,0.006926066571732897
1232,1,3,10,77.12459900481127
1253,1,3,10,37.60355734882037
1254,1,3,9,217.54106193627274
1263,1,3,9,196.54032181076477
1265,1,3,8,152.68586810163302
1275,1,3,8,86.88721485938518
1276,0,3,0,0.017733492536992874
1285,1,3,9,58.03317573477693
1288,1,3,9,213.22463771324954
1327,1,3,3,11.921883099367017
1354,1,3,4,0.21474873639495706
1357,1,3,9,112.98143673648943
1363,1,3,6,151.78070245041488
1391,1,3,4,0.21474873639495706
1402,1,3,9,239.62493108110448
1409,1,3,9,141.89608761382584
1418,1,3,5,0.2147487269189141
1430,1,3,7,42.964679247196514
1436,1,3,8,116.54030913701986
1437,1,3,7,20.449150644696562
1556,1,3,7,41.19466702742399
1561,1,3,5,0.2147487269189141
1569,1,3,10,205.89043689954863
1570,1,3,9,131.82846508325758
1580,1,3,9,108.82690512331845
1585,1,3,5,0.2147487269189141
1594,0,3,0,0.016887665257365608
1623,1,3,8,191.09971351840656
1630,1,3,6,60.57876893370472
1633,1,3,5,0.2147487269189141
1696,1,3,9,121.39491970640314
1712,0,3,0,0.013111460196353682
1729,1,3,1,186.29249587531766
1757,0,3,0,0.010843601159357764
1766,1,3,5,0.2147487269189141
