Indice,Maligno,Dispositivo,TipologiaAttacco,RMSE:
7,1,3,6,199.0527671760608
20,0,3,0,0.023807598008794645
24,1,3,9,122.93020827175556
36,1,3,7,55.89838535407191
40,1,3,9,145.75469559466057
46,1,3,8,119.47045214969202
53,1,3,3,20.076562801969278
58,1,3,7,25.585280949726485
66,1,3,3,21.038281193163606
68,1,3,6,148.85047678869046
73,0,3,0,0.027127762916388302
80,1,3,6,77.18099641148866
81,1,3,5,0.10551121025571583
83,1,3,8,118.81100048128562
91,1,3,8,134.24255395869662
92,0,3,0,0.013162599876468485
134,1,3,10,286.27831440950655
135,1,3,6,99.03730065037692
138,1,3,5,0.10551121025571583
141,1,3,5,0.10551121025571583
143,1,3,1,159.91936378706333
173,1,3,9,225.13538130002846
184,1,3,8,84.71253990141655
191,1,3,4,0.10551123428612923
194,1,3,5,0.10551121025571583
220,1,3,4,0.10551123428612923
222,1,3,4,0.10551123428612923
226,1,3,6,69.21543147122337
241,0,3,0,0.006809488516865035
251,1,3,9,212.9007168703738
253,1,3,9,78.75125548318196
263,1,3,5,0.10551118846875122
265,1,3,9,135.84676804035283
269,1,3,6,193.91387975991452
270,0,3,0,0.022600684850982135
274,1,3,9,243.85376983687866
283,1,3,9,230.4073845281816
284,1,3,8,134.2289943923664
300,1,3,9,200.37001800871468
303,1,3,4,0.10551123428612923
310,1,3,10,99.41350096487696
333,1,3,9,242.83749450419052
360,1,3,6,125.1881879082495
376,1,3,4,0.10551123428612923
377,1,3,8,105.24906774948717
381,0,3,0,0.028078002244218928
385,1,3,9,124.74022540947482
393,1,3,6,106.12603577373271
403,1,3,5,0.10551121025571583
406,1,3,5,0.10551121025571583
409,1,3,6,63.50579732010644
417,1,3,9,155.2099116250863
425,1,3,6,125.39872904360608
427,1,3,4,0.10551123428612923
431,1,3,9,199.39628827722106
437,1,3,9,154.43417720286897
440,1,3,10,274.7449886961834
446,1,3,9,155.5446196564305
452,1,3,9,80.14291130969788
461,1,3,9,151.95380140167006
491,1,3,9,231.35366575091595
504,0,3,0,0.0158241581019942
507,0,3,0,0.0035411265416569
539,1,3,5,0.10551118846875122
555,0,3,0,0.010443582018538079
559,1,3,7,53.20084538141587
561,1,3,9,209.70956409814738
562,1,3,4,0.10551123428612923
568,1,3,5,0.10551121025571583
573,1,3,10,101.98427242755433
584,0,3,0,0.0262479022703318
585,1,3,3,10.062331929809396
598,1,3,8,217.56870797807986
600,1,3,9,129.10101574354658
606,1,3,4,0.10551123428612923
614,1,3,8,73.26383380564994
654,1,3,8,83.70437608169249
656,1,3,1,140.13485878435742
664,1,3,5,0.10551121025571583
665,1,3,7,34.85430216988391
678,1,3,8,194.90367896411405
697,1,3,4,0.10551123428612923
708,1,3,1,77.80309190853663
709,0,3,0,0.01608948754735632
719,1,3,9,245.14099596775068
729,1,3,9,205.22514157981283
740,1,3,3,19.1179252234414
748,1,3,6,103.99400434747382
753,0,3,0,0.01269778417139732
755,1,3,4,0.10551123428612923
778,1,3,5,0.10551121025571583
781,1,3,4,0.10551123428612923
794,1,3,9,245.76588200008965
800,1,3,3,19.984955402878292
842,1,3,9,79.52643249711392
864,1,3,2,121.73530466878627
877,0,3,0,0.013376643919409214
883,1,3,1,142.68888753930577
892,0,3,0,0.015333414999490497
936,1,3,4,0.10551123428612923
964,0,3,0,0.01142778953017528
975,1,3,8,137.69181330618306
1004,1,3,7,49.13833908512537
1005,1,3,7,49.8074946761837
1010,1,3,9,242.54705866980555
1012,1,3,5,0.10551121025571583
1014,1,3,9,245.84953081594563
1021,1,3,1,218.54773867438874
1022,1,3,1,193.750036339667
1050,1,3,6,111.54602568681149
1063,1,3,5,0.10551121025571583
1073,1,3,10,249.76551775319697
1093,1,3,4,0.10551123428612923
1098,1,3,6,72.38555898927684
1107,0,3,0,0.012858984752433838
1117,1,3,5,0.10551121025571583
1132,1,3,6,119.21013161594281
1136,1,3,5,0.10551121025571583
1143,1,3,8,170.98291990302897
1160,1,3,2,144.13579744576177
1165,0,3,0,0.01797848651534092
1179,1,3,8,211.82200370169724
1183,1,3,3,20.804249284728282
1186,0,3,0,0.014823660053275933
1201,1,3,5,0.10551121025571583
1206,0,3,0,0.02997751448268956
1227,1,3,8,198.0818229552634
1237,1,3,9,91.86688405624463
1259,1,3,1,169.97199227918276
1263,1,3,9,238.73634593200276
1266,1,3,7,55.50851319799237
1272,1,3,4,0.10551123428612923
1281,1,3,9,105.53176172743984
1284,1,3,8,194.9452994579246
1295,1,3,9,146.12912731747753
1307,0,3,0,0.015079251083694227
1324,1,3,7,55.36080533856274
1332,0,3,0,0.013820029712083955
1353,1,3,6,177.98090146972626
1358,1,3,3,9.810479298489746
1384,1,3,9,106.32996861742924
1385,1,3,9,153.1027036767111
1388,1,3,6,119.54994396116004
1406,1,3,9,154.64230525525923
1413,0,3,0,0.012087186448116571
1415,1,3,8,215.90236436366607
1417,0,3,0,0.008226363415469671
1419,1,3,7,49.26084609572351
1421,0,3,0,0.01014270685566402
1423,1,3,8,216.89325085372565
1426,0,3,0,0.011497669661526946
1456,1,3,3,20.390791669355934
1470,1,3,9,155.2909645606367
1474,1,3,9,147.98079324288602
1475,1,3,6,185.39442462772544
1481,1,3,9,149.9253904164744
1508,1,3,6,98.09270678594616
1511,1,3,7,48.01823442662519
1512,1,3,4,0.10551128180488858
1517,1,3,1,62.208795367370314
1520,1,3,9,213.84927167275973
1528,1,3,5,0.10551121025571583
1536,1,3,4,0.10551123428612923
1542,1,3,8,225.25911072826185
1550,1,3,9,239.8853465208886
1551,1,3,9,215.56083134520514
1573,0,3,0,0.014071027248844023
1576,1,3,6,109.82867666224678
1585,1,3,1,140.6364650969183
1591,1,3,4,0.10551123428612923
1599,1,3,1,116.9409340805224
1617,1,3,1,209.66640795688588
1625,1,3,9,116.74948397156842
1642,1,3,5,0.10551121025571583
1647,1,3,7,55.45072229888828
1667,1,3,5,0.10551121025571583
1689,1,3,5,0.10551121025571583
1704,1,3,6,86.63242940487619
1706,1,3,8,90.38014083538435
1709,0,3,0,0.011763075240535133
1738,1,3,7,41.58664408283351
1748,1,3,7,55.560601184540296
1751,1,3,4,0.10551123428612923
1755,1,3,8,114.19186810347546
1801,1,3,9,232.35888706553314
1808,1,3,10,92.89487327568241
1811,1,3,6,108.3587368726068
1826,1,3,4,0.10551123428612923
1834,1,3,7,52.227499826692465
1840,1,3,3,20.458789419978153
1842,1,3,6,173.3769428297731
1843,0,3,0,0.008373170308921188
1844,1,3,5,0.10551121025571583
1869,0,3,0,0.017191069837961315
1879,0,3,0,0.013078663407200614
1890,1,3,6,165.82774576350607
1891,1,3,5,0.10551121025571583
1903,1,3,9,210.05302216026809
1909,0,3,0,0.013705502242158435
1938,1,3,1,49.61605233902597
1953,1,3,9,152.98258191312024
1955,1,3,9,88.18878989520019
1981,1,3,8,124.7775057456598
1994,1,3,5,0.10551121025571583
2005,1,3,5,0.10551121025571583
2007,1,3,6,90.80833262512702
2008,1,3,9,211.01584830939527
2014,0,3,0,0.013409221458779059
2017,1,3,7,54.010388882914555
2055,1,3,9,237.0099144803364
2066,1,3,6,189.0006724907356
2067,1,3,4,0.10551123428612923
2070,1,3,9,243.15635595636104
2095,1,3,9,211.55374190345648
2101,1,3,7,49.157168738153594
2104,1,3,9,118.17291961091381
2112,1,3,5,0.10551121025571583
2126,1,3,9,168.7158865217716
2136,0,3,0,0.014754532509592999
2142,1,3,8,234.6828105236854
2146,1,3,9,245.21179568358966
2155,1,3,1,103.23855918901624
2192,0,3,0,0.008436750636005338
2207,1,3,8,73.08554460445475
2225,1,3,9,134.62967614574856
2226,0,3,0,0.01146932700898629
2232,1,3,6,192.79753237254636
2242,1,3,4,0.10551123428612923
2267,1,3,5,0.10551121025571583
2275,1,3,8,81.78993603577517
2276,0,3,0,0.01748470635044871
2284,1,3,9,243.35164288728097
2300,1,3,8,138.104486128815
2308,1,3,8,84.3210091555702
2322,1,3,5,0.10551121025571583
2340,1,3,7,54.653630329361164
2347,1,3,2,49.333233393903015
2371,0,3,0,0.010792165613689477
2373,1,3,8,83.38968578692572
2376,1,3,1,224.98357061581729
2383,1,3,6,155.06990063121572
2386,1,3,4,0.10551123428612923
2406,1,3,1,143.17462130105986
2467,1,3,9,245.01060791626352
2471,1,3,9,77.80761523920955
2477,0,3,0,0.010872150299977663
2490,1,3,2,84.72572999661682
2496,1,3,9,159.0218123858727
2504,1,3,10,272.1816806001757
2505,1,3,7,53.56976876914083
2513,1,3,9,234.07715158134098
2547,1,3,8,112.07674196182745
2550,1,3,9,244.35620190836147
2557,1,3,9,147.7650781409181
2569,1,3,5,0.10551118846875122
2571,1,3,9,232.50132498428755
2575,1,3,1,194.39944075390824
2610,1,3,8,110.60451100934728
2622,1,3,8,65.67627308599192
2629,1,3,6,135.4155461408125
2644,0,3,0,0.050846263388007566
2647,1,3,4,0.10551123428612923
2650,1,3,2,125.76804263043982
2665,1,3,9,126.50767548875324
2678,0,3,0,0.010968974690452011
2689,0,3,0,0.016593610057752305
2714,0,3,0,0.01635525726337935
2715,1,3,1,55.682623671900515
2724,1,3,1,156.5510687721586
2748,1,3,4,0.10551123428612923
2758,1,3,7,52.4617936189962
2759,0,3,0,0.04407715680461855
2767,0,3,0,0.012453824938989897
2779,0,3,0,0.011439656273831087
2783,1,3,3,8.269716459865654
2793,1,3,7,55.10257454876818
2801,0,3,0,0.014391441049007385
2807,1,3,4,0.10551123428612923
2824,1,3,3,17.604676431761913
2836,0,3,0,0.005571437498699612
2853,0,3,0,0.011159475812579905
2857,0,3,0,0.015891393678357527
2874,1,3,9,235.1410801423493
2878,1,3,4,0.10551123428612923
2881,1,3,1,159.78512561032326
2895,1,3,8,192.9026818536822
2909,1,3,3,20.67282576390873
2918,1,3,3,20.45129890454661
2947,0,3,0,0.006891135427997714
2959,1,3,8,183.68211446795385
2963,1,3,10,62.085591723181274
2993,1,3,9,80.51270771572901
2999,1,3,9,245.17593773086028
3011,1,3,2,91.4925529074383
3030,1,3,9,111.18163367480506
3084,1,3,10,91.95664246703943
3137,1,3,9,148.89041732965856
3144,0,3,0,0.015015086315315937
3180,1,3,8,132.20576582140848
3207,1,3,7,53.99567973135082
3212,0,3,0,0.011663291000611002
3214,1,3,5,0.10551121025571583
3215,1,3,5,0.10551121025571583
3229,1,3,8,120.69502867753914
3233,1,3,7,38.297469366738
3235,1,3,9,219.26426425947693
3246,1,3,6,138.95839158520369
3256,1,3,5,0.10551121025571583
3290,1,3,8,76.65506566194057
3321,0,3,0,0.009145022144963454
3322,1,3,9,245.44062339255657
3324,1,3,10,233.54772670514282
3327,0,3,0,0.02609882099844372
3335,1,3,8,208.16636624713598
3337,1,3,9,212.83559888355217
3341,1,3,10,98.50646222810647
3407,1,3,9,235.74153409292705
3422,0,3,0,0.007492785208360999
3437,1,3,7,55.664188514505504
3458,1,3,10,105.06265991543131
3479,0,3,0,0.012923462068885007
3483,1,3,6,106.56047414095785
3521,1,3,5,0.10551121025571583
3539,1,3,9,245.97646555510596
3545,1,3,7,48.39058579404366
3547,0,3,0,0.012140924307127167
3590,1,3,4,0.10551121025571583
3599,0,3,0,0.015643969886789105
3626,1,3,1,116.77288720927645
3638,0,3,0,0.013873234372005251
3645,1,3,10,97.87750514002255
3647,1,3,4,0.10551123428612923
3658,1,3,8,136.32703595471816
3659,1,3,8,96.89497768635167
3661,1,3,9,245.13485160555504
3678,1,3,9,151.32879924514972
3680,1,3,4,0.10551123428612923
3690,0,3,0,0.006502959650780215
3694,1,3,9,223.97436978544195
3698,1,3,6,197.18370617507819
3707,1,3,9,245.02505075684155
3709,1,3,9,78.72714846899305
3721,1,3,5,0.10551121025571583
3725,1,3,5,0.10551121025571583
3727,1,3,10,67.97579993304177
3739,1,3,6,160.99325593859948
3750,1,3,4,0.10551123428612923
3761,1,3,8,205.1548010060283
3763,1,3,8,135.2629978902943
3765,0,3,0,0.01406008460803132
3789,1,3,6,183.3598767600031
3796,1,3,10,232.95348374686455
3804,1,3,9,232.36279226794363
3805,1,3,8,195.31082576390853
3813,1,3,10,94.957526329361
3827,1,3,5,0.10551121025571583
3830,1,3,8,220.72757264627572
3831,1,3,5,0.10551121025571583
3835,1,3,2,77.48797813518586
3855,1,3,4,0.10551123428612923
3865,1,3,1,71.57999764229632
3878,1,3,3,20.972231334678387
3909,1,3,5,0.10551121025571583
3913,0,3,0,0.017160501522846535
3916,1,3,3,11.075064418781688
3922,1,3,9,215.16934975522946
3941,1,3,5,0.10551121025571583
3958,1,3,4,0.10551123428612923
3978,1,3,7,55.21390772901463
3982,1,3,2,70.88644137432038
3987,1,3,7,50.26606147789685
3992,1,3,9,76.32921379422412
4003,1,3,9,151.35608632627765
4010,1,3,9,241.7032587598495
4012,1,3,6,81.68572793328984
4035,1,3,4,0.10551123428612923
4045,1,3,6,152.04051015009344
4068,1,3,10,181.67537756962045
4083,1,3,7,47.49311286982314
4085,1,3,5,0.10551121025571583
4095,1,3,1,200.63480084610612
4107,0,3,0,0.002119975896967848
4119,1,3,5,0.10551118846875122
4131,1,3,5,0.10551118846875122
4132,1,3,7,54.98286186126845
4168,0,3,0,0.007409155363585509
4172,1,3,8,47.92610140405961
4185,1,3,9,138.85537085281803
4186,1,3,9,245.5669207945603
4199,1,3,9,154.32624741950738
4208,1,3,4,0.10551123428612923
4216,1,3,5,0.10551121025571583
4218,0,3,0,0.012975061512164994
4225,1,3,8,191.90650448912297
4231,0,3,0,0.011838703558926918
4246,1,3,2,90.33335917872432
4264,1,3,5,0.10551121025571583
4266,1,3,10,159.2770019577147
4297,0,3,0,0.005302611418218569
4300,1,3,8,95.81768620766947
4312,1,3,3,14.371058289489927
4330,0,3,0,0.030305704445129852
4338,1,3,9,73.65282710022184
4345,1,3,1,144.49311078496422
4364,1,3,9,230.65981435033456
4368,1,3,3,20.881080085075123
4371,1,3,4,0.10551123428612923
4399,1,3,9,155.22489726297792
4413,1,3,4,0.10551123428612923
4430,1,3,6,86.33125818167436
4451,1,3,4,0.10551123428612923
4455,0,3,0,0.0071783472799937615
4471,1,3,8,119.75694115285236
4472,0,3,0,0.006151056109586769
4476,1,3,4,0.10551128180488858
4482,1,3,4,0.10551128180488858
4483,1,3,5,0.10551121025571583
4485,1,3,4,0.10551123428612923
4498,1,3,4,0.10551123428612923
4523,1,3,7,50.22142155757178
4534,1,3,5,0.10551121025571583
4535,1,3,1,61.671748967024
4544,1,3,7,42.9555993265831
4559,1,3,1,138.98157706220394
4572,1,3,9,194.37476894280323
4589,0,3,0,0.010649907237364515
4599,1,3,6,154.554720434916
4613,1,3,6,78.10242214549952
4619,1,3,5,0.10551121025571583
4630,1,3,9,154.94826190973967
4652,0,3,0,0.015145901988819361
4654,1,3,6,202.31658695853955
4664,0,3,0,0.015391995131553055
4665,1,3,8,148.8522078807883
4668,1,3,5,0.10551121025571583
4677,1,3,5,0.10551121025571583
4681,0,3,0,0.011745076870948081
4687,1,3,4,0.10551123428612923
4701,1,3,7,43.2767214332411
4707,1,3,1,222.6940134798625
4709,0,3,0,0.015844435596918057
4710,1,3,8,197.6918922093492
4717,1,3,6,79.67962705988751
4739,1,3,8,118.23018811912834
4753,0,3,0,0.009430689315047926
4757,1,3,8,176.88373595853878
4778,0,3,0,0.016098683538236676
4781,1,3,4,0.10551128180488858
4789,1,3,9,235.95201923260373
4790,1,3,6,152.19761422391161
4805,1,3,5,0.10551121025571583
4833,0,3,0,0.013350900942224155
4836,0,3,0,0.016182214823424898
4842,1,3,4,0.10551123428612923
4845,1,3,5,0.10551121025571583
4867,1,3,1,122.70069161858622
4876,1,3,9,154.96137981436416
4883,1,3,9,133.81394223335974
4885,1,3,9,242.95660591388452
4887,1,3,5,0.10551121025571583
4893,1,3,4,0.10551123428612923
4927,1,3,9,113.57939866731382
4933,1,3,6,112.01310388484528
4938,0,3,0,0.017414223009347165
4945,1,3,7,53.703165676701374
4954,1,3,3,20.420524491184064
4961,1,3,9,142.22235218474106
4985,1,3,8,183.31671284883734
4995,1,3,9,89.49895680535978
4996,1,3,6,144.71759321468082
4997,1,3,4,0.10551123428612923
5008,1,3,8,138.13972156064565
5012,1,3,9,115.26458477055326
5019,1,3,5,0.10551121025571583
5020,1,3,9,118.3410771237538
5023,1,3,5,0.10551121025571583
5027,0,3,0,0.0098141118931174
5036,0,3,0,0.005037782830783662
5086,1,3,5,0.10551118846875122
5093,0,3,0,0.022752630898741157
5109,1,3,8,70.66752312092649
5112,1,3,4,0.10551123428612923
5119,1,3,9,115.02683041308285
5122,1,3,5,0.10551121025571583
5134,1,3,8,202.69729394211876
5144,1,3,8,201.03655982428205
5153,0,3,0,0.01590489196493943
5178,0,3,0,0.016979395303213168
5179,1,3,9,188.44829536310584
5200,1,3,6,153.41270720851222
5215,1,3,7,53.84280912599062
5225,1,3,1,235.80067798904997
5237,1,3,7,47.37295350636737
5246,1,3,9,245.2333544115377
5248,1,3,8,132.4327881418575
5249,0,3,0,0.003780516015121728
5262,1,3,9,153.23651696471097
5276,0,3,0,0.014547477747349503
5282,1,3,7,54.257688224563765
5291,1,3,9,241.09362473576658
5305,1,3,8,87.9209629127798
5310,1,3,9,118.10285039015588
5316,1,3,7,40.679939852997485
5328,1,3,9,133.52454776881117
5335,1,3,4,0.10551123428612923
5389,1,3,9,155.15190624828895
5391,1,3,9,245.5256249525838
5392,1,3,6,123.82160408612185
5413,1,3,4,0.10551123428612923
5421,1,3,8,229.34710311894128
5427,1,3,1,136.39200836378726
5428,0,3,0,0.015191289739682156
5444,1,3,8,126.48725764144024
5474,1,3,9,155.51390045375646
5475,1,3,7,55.219378646972864
5489,0,3,0,0.014545011709462728
5492,1,3,4,0.10551123428612923
5495,1,3,10,47.648488990408595
5500,1,3,10,185.78590806022393
5502,1,3,4,0.10551121025571583
5510,0,3,0,0.01840794679666091
5520,1,3,9,150.58591160341058
5521,1,3,8,115.97128071264697
5533,1,3,8,226.19300284825997
5548,0,3,0,0.012085515758622227
5578,1,3,8,86.55318296827242
5587,1,3,4,0.10551123428612923
5592,1,3,5,0.10551121025571583
5603,1,3,6,115.46624571831636
5604,1,3,1,175.56663095121812
5607,1,3,4,0.10551123428612923
5611,1,3,1,129.24482613376608
5616,1,3,7,22.935351884767517
5633,1,3,6,138.208265248994
5643,1,3,4,0.10551123428612923
5654,0,3,0,0.016744694180968606
5701,0,3,0,0.016487391725341638
5708,1,3,3,15.89904597324921
5710,1,3,9,233.3370569895124
5713,0,3,0,0.01043096567262992
5719,1,3,7,52.439272827659046
5725,1,3,4,0.10551123428612923
5735,1,3,7,52.73775987808934
5741,1,3,4,0.10551128180488858
5749,1,3,4,0.10551123428612923
5760,1,3,9,214.91573110661233
5773,0,3,0,0.026551425346419022
5802,1,3,5,0.10551121025571583
5809,1,3,8,68.9731540958858
5835,1,3,5,0.10551121025571583
5842,1,3,6,127.14289943271955
5860,1,3,7,46.44162668076474
5885,1,3,7,55.8235861328146
5892,1,3,5,0.10551121025571583
5895,1,3,10,78.6242852587485
5902,0,3,0,0.03331269110547538
5908,1,3,5,0.10551121025571583
5913,1,3,4,0.10551123428612923
5929,1,3,6,122.80427735661232
5935,1,3,8,206.43402541636218
5938,1,3,9,135.2830697568053
5939,1,3,9,231.66446599298496
5956,1,3,9,153.45835863987736
5964,1,3,4,0.10551123428612923
5970,0,3,0,0.004046415869020734
5983,1,3,10,78.45356761916334
6013,1,3,2,116.55744382827733
6020,1,3,5,0.10551121025571583
6053,1,3,4,0.10551123428612923
6059,1,3,1,125.30133975474392
6065,1,3,7,53.2572408501297
6068,0,3,0,0.00682236051148675
6075,1,3,9,153.65967155364618
6078,0,3,0,0.01665951957096357
6083,1,3,9,76.17042641714227
6097,1,3,4,0.10551128180488858
6100,1,3,1,220.37081370882106
6108,1,3,4,0.10551123428612923
6113,1,3,3,16.64338441493197
