Indice,Maligno,Dispositivo,TipologiaAttacco,RMSE:
9,1,3,5,0.38900245264125544
13,1,3,10,87.61175870781683
23,1,3,9,70.97986863137075
24,0,3,0,0.013354833220655985
31,1,3,7,33.57013617713537
35,1,3,9,88.7221892230352
36,0,3,0,0.014604206514518145
59,1,3,7,33.8835909038179
62,1,3,10,230.9300932146438
77,1,3,9,140.9692882634523
85,1,3,9,127.81810163440615
122,1,3,4,0.3890025363536248
134,1,3,9,131.19167625781304
137,1,3,6,60.051634289691165
161,0,3,0,0.011226172738774744
164,0,3,0,0.013498513584271872
179,0,3,0,0.004933197682884133
188,1,3,9,145.56060561081662
205,1,3,8,118.11164837568028
218,1,3,8,73.17160441688287
225,1,3,7,34.804134955898704
237,1,3,2,65.61935833168353
271,1,3,5,0.38900245264125544
280,0,3,0,0.004345377678810026
283,1,3,7,34.76830592369486
287,1,3,4,0.3890025363536248
293,1,3,9,77.71128420836672
310,1,3,3,12.46063110842114
319,1,3,9,154.1643852240641
340,1,3,8,132.62232337965392
354,1,3,5,0.38900245047391074
356,1,3,6,92.14501083833557
362,1,3,9,152.80774373066703
366,1,3,4,0.38900245264125544
368,0,3,0,0.012665193822868804
392,0,3,0,0.018700145505199148
400,1,3,9,151.77357651101775
411,1,3,5,0.38900245264125544
416,1,3,4,0.3890025363536248
421,1,3,7,33.821934855477124
432,0,3,0,0.013956308032583263
435,1,3,5,0.38900245264125544
448,0,3,0,0.049217052767968825
449,1,3,7,31.670375294975443
452,1,3,8,87.59292257003192
455,1,3,4,0.3890025363536248
486,1,3,9,96.98035173648552
501,1,3,8,125.62685942752682
510,1,3,10,82.6553358025595
511,1,3,7,17.486554141387163
521,1,3,9,151.87442551108217
530,1,3,9,60.314354221259826
535,1,3,3,12.927250121582428
560,1,3,5,0.38900245264125544
563,1,3,7,33.00968189088714
569,1,3,9,84.74266899435695
571,1,3,8,122.82109248854034
587,1,3,3,12.120991744724686
595,0,3,0,0.009697465230582404
605,1,3,10,51.04019724481659
634,1,3,9,86.74709957515965
636,1,3,7,31.975321078266614
643,1,3,5,0.38900245047391074
673,0,3,0,0.0065506020764305485
675,1,3,9,147.72825365593135
682,1,3,10,103.777396634933
683,1,3,7,34.45751477391155
698,1,3,7,22.452029429022613
700,0,3,0,0.017971708635488352
703,1,3,5,0.38900245264125544
704,0,3,0,0.007816507042415564
716,0,3,0,0.005264935349087694
721,1,3,9,138.15502224218443
728,1,3,4,0.3890025363536248
747,1,3,7,34.762258040000056
753,1,3,9,95.89046853200297
763,1,3,8,85.14045810211846
780,1,3,4,0.3890025363536248
781,1,3,5,0.38900245264125544
786,1,3,10,207.9557610326492
796,0,3,0,0.017365578187490415
799,1,3,5,0.38900245264125544
802,1,3,9,84.49583584849869
