Indice,Maligno,Dispositivo,TipologiaAttacco,RMSE:
3,0,4,0,0.03303482962757152
13,1,4,9,63.10111689901341
15,1,4,9,62.28599436555401
19,1,4,9,15.045245420174782
37,1,4,1,75.60484068244615
42,1,4,5,0.24248107707680147
43,1,4,6,15.51124368904807
45,1,4,6,23.72116477563373
49,1,4,4,0.2424811114032321
53,1,4,2,35.92378804145819
55,1,4,8,10.39450959031937
57,1,4,9,59.665024469924894
60,0,4,0,0.02076245747593586
65,1,4,9,38.67135199334821
69,1,4,9,33.96180964316159
92,1,4,9,57.86294938121722
107,1,4,4,0.2424811114032321
123,1,4,2,30.92108798075809
141,1,4,6,33.554511307957505
164,1,4,9,12.81010049268162
183,1,4,1,10.455456467983767
184,1,4,8,23.772861375890887
185,1,4,10,31.764630622387674
211,1,4,2,15.274247282508535
212,1,4,1,84.14366068802792
220,1,4,1,100.59169357639212
228,1,4,8,39.39240644542996
230,1,4,10,18.926860243817856
238,1,4,5,0.24248107707680147
244,1,4,7,25.19799886287937
258,1,4,5,0.24248107720594034
259,1,4,6,42.51108759780015
269,1,4,2,7.36909847001578
284,1,4,6,7.204675977375484
292,1,4,5,0.24248107707680147
293,1,4,9,46.91928985541101
298,1,4,1,46.85049185163048
302,1,4,7,21.51470273789209
316,1,4,9,64.08460782026832
317,1,4,9,32.74453268924026
324,1,4,5,0.24248107707680147
326,1,4,5,0.24248107707680147
327,1,4,8,21.79193917329823
342,1,4,7,20.004734328009697
343,1,4,7,9.954210922606181
344,1,4,4,0.2424811114032321
354,1,4,10,64.19564964563627
374,1,4,5,0.24248107707680147
409,0,4,0,0.0230231379622929
410,1,4,7,23.748598027587512
418,1,4,6,19.693676534727455
419,1,4,4,0.2424811114032321
421,1,4,8,42.60328418972928
423,1,4,8,28.92578614145859
454,1,4,5,0.24248107707680147
460,1,4,1,101.433620442452
461,1,4,4,0.2424811114032321
469,1,4,4,0.2424811114032321
478,1,4,6,34.73926917495506
505,1,4,9,61.63722905114301
506,1,4,7,24.0680169317612
507,1,4,7,23.921512889187035
513,0,4,0,0.011232118659448195
521,1,4,1,65.72782277516582
523,1,4,7,23.926833684196446
529,1,4,1,12.560244740073582
551,1,4,7,16.667460931132442
568,1,4,9,48.255608643405466
587,1,4,8,28.244094433454194
