Indice,Maligno,Dispositivo,TipologiaAttacco,RMSE:
0,0,4,0,0.03454960624129352
11,1,4,3,12.560630186768272
15,1,4,1,101.39855425535161
19,1,4,1,108.69564749025437
21,1,4,5,0.3269629066856478
22,1,4,5,0.3269629066856478
35,0,4,0,0.02069258972182939
36,1,4,9,122.34711857896
39,0,4,0,0.023385786396257213
45,0,4,0,0.029514294154804898
46,1,4,9,50.9676845734489
53,1,4,8,71.20679770410209
92,1,4,7,39.620726027618936
97,1,4,9,81.82012017382355
120,1,4,2,70.17046234792441
140,1,4,9,92.16285822734675
179,1,4,3,11.401732266412553
187,1,4,4,0.3269629947562071
197,1,4,6,65.30539299956519
215,0,4,0,0.040579715240211235
220,1,4,1,13.399063105255191
231,1,4,2,81.17463240731306
249,1,4,9,66.81698593068455
271,1,4,4,0.3269629947562071
274,1,4,9,91.40040602302983
287,1,4,5,0.3269629066856478
317,1,4,8,12.733766371545709
319,1,4,10,79.91184512806977
321,1,4,4,0.3269629947562071
322,1,4,9,100.7951028380402
349,1,4,6,87.04311448112064
361,1,4,6,58.971904217628364
371,1,4,9,92.4012246309005
379,1,4,4,0.3269629947562071
388,1,4,9,97.78925680099253
400,1,4,10,140.00164341554876
421,1,4,7,41.106836487494206
424,1,4,6,80.1354900467872
427,1,4,5,0.3269629066856478
430,1,4,9,108.47750508370034
431,0,4,0,0.03770436332467978
434,1,4,9,61.91342542153127
435,1,4,8,31.622912003260822
445,1,4,4,0.3269629947562071
447,1,4,9,86.645892770501
466,1,4,10,99.79310291799237
467,1,4,4,0.3269629947562071
476,1,4,2,27.520033837280387
482,1,4,5,0.3269629066856478
501,1,4,7,55.382187298341556
519,1,4,4,0.3269629947562071
540,1,4,4,0.3269629947562071
542,1,4,7,56.524762183982915
543,1,4,9,97.98319848476292
557,1,4,5,0.3269629066856478
573,1,4,6,42.976882566451025
581,1,4,8,71.7756766854046
593,1,4,7,56.009360360709394
612,1,4,1,49.7088554414035
622,1,4,9,120.94447821513121
624,1,4,1,111.13442284371862
639,1,4,5,0.3269629066856478
661,1,4,9,106.55148151319815
662,1,4,7,56.01945473544623
678,1,4,2,72.20481960632824
700,1,4,8,96.9001725804067
709,1,4,10,117.47708980713986
714,1,4,7,52.15974256950178
741,1,4,6,17.710023403601923
743,1,4,7,51.24572217050926
781,1,4,10,41.32144214507059
787,1,4,7,55.67437733223423
788,1,4,5,0.3269629066856478
793,1,4,6,53.64882295440231
798,1,4,5,0.3269629066856478
804,1,4,6,62.69673644269919
828,1,4,7,51.72887768971229
839,1,4,9,12.598833436402217
851,1,4,8,53.32342116642242
858,1,4,3,24.41648605280096
866,1,4,9,120.6262172478909
877,0,4,0,0.06786018604328388
885,1,4,9,75.75667920086258
890,0,4,0,0.06047234621766401
897,1,4,9,78.77308884783314
910,1,4,4,0.3269629947562071
922,1,4,9,47.30574597978161
930,1,4,5,0.3269629066856478
938,1,4,7,36.98654907133907
940,1,4,7,46.167130242945504
949,1,4,4,0.3269629947562071
963,1,4,1,99.90324947045953
973,1,4,5,0.3269629066856478
1015,1,4,2,45.510149809498614
1025,1,4,10,63.88470605128053
1038,1,4,6,42.90745328333476
1057,1,4,5,0.3269629066856478
1060,1,4,5,0.3269629066856478
1106,1,4,8,55.07822797359491
1107,1,4,4,0.3269629947562071
1116,1,4,7,50.76380822841557
1127,1,4,8,59.593322699311244
1137,1,4,2,42.403882517086934
1148,1,4,3,14.64658885469606
1153,1,4,6,35.35417092999648
1155,0,4,0,0.036921163159900613
1157,1,4,7,56.95298876709372
1159,1,4,5,0.3269629066856478
1172,1,4,5,0.3269629066856478
1184,1,4,8,20.515318916934223
1185,1,4,8,34.49025090098627
1198,1,4,4,0.3269629947562071
1201,1,4,9,91.56274510494937
1203,1,4,10,49.33042484499078
1208,1,4,7,51.87728315938592
1231,1,4,8,47.385027303770975
1232,1,4,4,0.3269629947562071
1237,1,4,10,45.779015683382276
1239,1,4,8,21.1652805795039
1240,1,4,4,0.3269629947562071
1253,1,4,7,56.59866126757422
1256,1,4,5,0.3269629066856478
1262,1,4,7,36.5921268607425
1272,1,4,8,70.41823466120876
1273,0,4,0,0.03173513985737194
1278,1,4,5,0.3269629066856478
1280,1,4,9,107.90698773654938
1283,1,4,4,0.32696297547088915
1294,1,4,1,51.48079873053745
1317,1,4,10,74.0252932622482
1319,1,4,1,40.02127365050864
1321,1,4,4,0.3269629947562071
1336,1,4,7,53.40532330612629
1343,1,4,6,79.0258111346249
1347,1,4,7,56.124353625149745
1348,0,4,0,0.041284755346887234
1358,1,4,5,0.3269629066856478
1360,1,4,4,0.3269629066856478
1364,1,4,4,0.3269629947562071
1374,1,4,8,51.4746558693877
1420,1,4,7,56.81003198949425
1435,1,4,9,107.6693915526425
1436,1,4,9,93.33691233159921
1448,1,4,8,49.24816360409261
1450,1,4,10,140.14652916885683
1455,0,4,0,0.02183628448129663
1462,1,4,6,43.59729030359499
1479,1,4,8,74.7038862063481
1480,1,4,3,22.594848621245863
1486,1,4,9,103.11904388834792
1501,1,4,7,55.54551595082794
1512,1,4,5,0.3269629066856478
1514,1,4,10,32.60473812110182
1538,1,4,5,0.3269629066856478
1539,1,4,5,0.3269629066856478
1547,1,4,1,128.3592086585744
1552,0,4,0,0.02181688771623559
1568,1,4,6,85.03099909398695
1580,1,4,8,88.92952648729832
1609,1,4,9,84.03219847002798
1624,1,4,7,36.620344134732115
1659,1,4,10,31.458453356168086
1670,1,4,5,0.3269629066856478
1694,1,4,5,0.3269629066856478
1702,1,4,8,32.59080831084185
1708,1,4,1,97.22438593442108
1710,0,4,0,0.020418166450364587
1715,1,4,4,0.3269629947562071
1732,1,4,9,56.52087803124352
1733,1,4,7,49.664973117244884
1740,1,4,4,0.3269629947562071
1743,1,4,10,103.39695394960579
1745,1,4,7,47.62499061295796
1752,1,4,1,10.335396029554662
1755,1,4,8,78.04198485678945
1760,1,4,5,0.3269629066856478
1765,1,4,1,107.10455624049474
1766,1,4,5,0.3269629066856478
1774,1,4,9,47.65686410891603
1779,1,4,3,15.064049522256122
1796,1,4,9,62.35245219091876
1805,1,4,5,0.3269629066856478
1815,1,4,4,0.3269629947562071
1833,1,4,5,0.3269629066856478
1854,1,4,5,0.3269629066856478
1864,1,4,4,0.3269629066856478
1878,1,4,3,23.660710950470637
1884,0,4,0,0.1299794960530477
1904,1,4,10,103.36142525955563
1917,1,4,4,0.3269629947562071
1921,1,4,4,0.32696297547088915
1925,1,4,4,0.32696297547088915
1942,1,4,5,0.3269629066856478
1952,1,4,7,55.83016249705376
1979,1,4,3,19.469231780153223
2000,1,4,6,51.781003299928
2005,1,4,5,0.3269629066856478
2007,1,4,6,65.09724848612942
2012,1,4,4,0.3269629947562071
2013,1,4,10,31.43433539558062
2036,1,4,7,51.65674430006003
2063,1,4,6,50.67736484810287
2066,1,4,5,0.3269629066856478
2077,1,4,1,15.306591703400738
2081,1,4,4,0.3269629947562071
2092,0,4,0,0.02357259604616175
2101,1,4,4,0.3269629947562071
2119,1,4,9,91.9392515847403
2134,1,4,1,46.44064616128324
2136,1,4,9,108.00160713519429
2140,1,4,1,21.40642956398377
2145,1,4,10,60.73271846831566
2152,0,4,0,0.05813490840588325
2155,1,4,5,0.3269629066856478
2166,1,4,10,44.63666477795401
2175,1,4,4,0.3269629947562071
2184,1,4,1,118.12878143265809
2186,1,4,7,29.063110120969636
2192,1,4,7,54.554139466054934
2198,1,4,9,123.10235683577683
2200,1,4,8,87.94305250586476
2217,1,4,7,51.756438186497604
2218,1,4,8,32.29988860949546
2232,1,4,9,98.24387960687996
2235,1,4,4,0.3269629947562071
2238,1,4,3,7.419766968350181
2260,1,4,3,23.747338400927312
2261,1,4,8,35.40617929119462
2266,1,4,4,0.3269629947562071
2267,1,4,7,45.03903742429556
2275,1,4,3,23.605690859434056
2281,1,4,9,83.13753157320025
2306,1,4,5,0.3269629066856478
2307,1,4,9,88.27144103456997
2314,1,4,1,132.2697225199042
2317,0,4,0,0.019812277418584188
2324,1,4,9,92.19501148323555
2328,1,4,9,55.047439235699535
2340,1,4,7,42.705727356171145
2353,1,4,9,108.0075688893416
2358,1,4,2,31.70879142934034
2360,1,4,5,0.3269629066856478
2364,0,4,0,0.04162146725171174
2374,1,4,8,35.98084563146174
2380,1,4,4,0.3269629066856478
2396,1,4,4,0.3269629947562071
2401,1,4,4,0.3269629947562071
2406,1,4,9,116.51602371067952
2426,1,4,2,18.339227948406194
2427,1,4,8,80.78613329055511
2430,1,4,6,90.6621094087269
2440,1,4,4,0.3269629066856478
2452,1,4,5,0.3269629066856478
2486,1,4,6,44.483970096506845
2491,1,4,3,17.82318204313267
2494,1,4,10,60.277572393227835
2495,1,4,9,123.54533011923574
2507,0,4,0,0.026524122498111802
2510,1,4,4,0.3269629947562071
2515,1,4,5,0.3269629066856478
2537,1,4,6,15.54085316765532
2552,1,4,8,84.23573984568172
2565,1,4,1,33.34951206243914
2582,1,4,9,76.34758374368167
2594,1,4,1,87.70525500376665
2599,1,4,9,97.2208242188452
2600,0,4,0,0.020408825310717724
2612,1,4,5,0.3269629066856478
2617,1,4,7,52.84197100092961
2619,1,4,3,9.264827127413865
2621,1,4,1,130.50022146656104
2624,1,4,10,16.449233488097224
2628,1,4,10,106.16306544848567
2637,0,4,0,0.017490442527208726
2639,1,4,4,0.3269629947562071
2658,1,4,4,0.3269629947562071
2662,1,4,1,146.58430504191853
2684,1,4,4,0.3269629947562071
2696,1,4,9,72.36472099129846
2702,1,4,1,28.8872087410872
2732,1,4,10,67.35932335129644
2740,1,4,5,0.3269629066856478
2747,1,4,8,28.118638493358777
2748,1,4,10,9.369862092458382
2759,1,4,5,0.3269629066856478
2778,1,4,4,0.3269629947562071
2781,1,4,9,87.86047222281505
2794,1,4,4,0.32696297547088915
2800,1,4,9,66.2323012200665
2801,1,4,2,54.40690363489034
2807,1,4,8,96.64454001530227
2824,1,4,4,0.3269629947562071
2862,1,4,2,35.901849601902185
2869,1,4,5,0.3269629066856478
2873,1,4,7,56.112965190212726
2877,1,4,1,164.48386936598123
2881,1,4,10,29.81153579290146
2886,1,4,9,26.8257138271553
2891,1,4,8,70.96905494809107
2923,0,4,0,0.03886692752726824
2943,1,4,8,72.43363116580801
2944,0,4,0,0.03435203767326989
2951,1,4,4,0.3269629947562071
2986,1,4,9,38.45028549133684
2990,1,4,3,18.80050745957954
2999,1,4,8,53.22346292579871
3001,1,4,6,79.6113624023712
3010,1,4,7,55.06021641545869
3036,1,4,4,0.3269629947562071
3040,1,4,2,23.738817077611586
3049,1,4,7,46.621075290281425
3056,1,4,8,84.34370393281799
3057,1,4,4,0.3269629947562071
3058,1,4,5,0.3269629066856478
3078,1,4,10,71.00935091470595
3084,1,4,3,15.132536430829607
3102,0,4,0,0.01952478601905987
3105,1,4,4,0.3269629947562071
3109,1,4,8,85.53128092212181
3125,1,4,8,55.23406622482541
3127,1,4,7,52.158851220206024
3134,1,4,10,126.48610750106307
3159,0,4,0,0.06936625860750298
3162,1,4,7,56.160199892442286
3168,1,4,2,101.99324443048357
3171,0,4,0,0.01437305590049482
3178,1,4,9,98.02849108950416
3180,1,4,10,106.04699917646143
3221,1,4,9,97.6356847561746
3234,1,4,9,81.03006975604984
3245,1,4,9,69.32307134562896
3270,1,4,4,0.3269629947562071
3272,1,4,5,0.3269629066856478
3273,1,4,8,74.93977005990766
3275,1,4,8,26.747250070299746
3278,1,4,9,30.98170955554079
3284,1,4,4,0.3269629947562071
3291,1,4,8,20.53449713996869
3294,1,4,8,49.14562944313876
3298,1,4,9,70.91406420605396
3343,1,4,2,13.534923967146268
3355,1,4,6,34.97550433898918
3370,1,4,5,0.3269629066856478
3380,1,4,9,119.57444057339006
3381,1,4,1,156.94019460408632
3389,1,4,6,79.91815778052344
3395,1,4,1,169.29064936221485
3415,1,4,8,96.94028032840966
3423,1,4,9,122.77852914483961
3430,1,4,6,27.387961299836952
3434,1,4,4,0.3269628946533436
3439,1,4,6,65.50477412020403
3444,1,4,8,74.64207023570087
3459,1,4,6,27.70397098044628
3461,1,4,2,33.29673318379009
3476,1,4,5,0.3269629066856478
3483,1,4,9,93.1726647550876
3492,1,4,8,46.33318031762248
3530,1,4,8,36.33297910382084
3540,1,4,1,155.99127724339846
3543,1,4,5,0.3269629066856478
3555,1,4,7,55.9804142811102
