Indice,Maligno,Dispositivo,TipologiaAttacco,RMSE:
10,1,4,4,0.12780081378714445
12,1,4,7,52.4051842322077
22,1,4,10,52.99197163464579
37,1,4,3,23.63476836212965
41,1,4,7,51.0351235810803
44,1,4,4,0.12780081378714445
52,1,4,7,21.077801500123122
54,1,4,6,67.83402215411068
61,1,4,9,99.44145083504576
62,1,4,9,104.36575300562406
65,1,4,4,0.12780081378714445
75,1,4,4,0.12780080483315456
81,1,4,7,54.26079813116319
88,1,4,6,76.07581321731256
102,1,4,8,56.30888610253026
107,1,4,4,0.12780081378714445
109,0,4,0,0.03661406249834261
113,1,4,9,104.60635292398702
123,1,4,5,0.12780080483315456
133,1,4,4,0.12780081378714445
159,1,4,9,33.436266342527766
164,1,4,9,110.93333589595849
178,1,4,8,47.24572084531387
183,1,4,7,30.52462223489047
185,1,4,4,0.12780081378714445
224,1,4,8,71.10592483574386
227,1,4,8,79.68015609164745
228,0,4,0,0.05568845943710157
235,1,4,3,21.62079046568887
244,1,4,6,81.93169294733491
252,0,4,0,0.09456564067578259
266,1,4,9,103.94778665497142
271,1,4,5,0.12780080483315456
279,1,4,5,0.12780080483315456
286,1,4,7,46.2292719414689
312,1,4,7,29.5501667786734
314,1,4,7,33.9350575303188
316,1,4,2,72.10787901936921
327,1,4,9,99.09677844845056
363,1,4,1,34.07365799521517
364,1,4,3,14.301380226783412
381,1,4,6,81.38207129996998
387,1,4,4,0.12780081378714445
392,1,4,9,24.599005340914736
400,1,4,2,21.919054925925057
407,1,4,8,60.85225424881743
413,1,4,8,69.38965660774127
426,1,4,7,55.046750561564735
427,1,4,9,89.59884566908477
445,1,4,5,0.12780080483315456
474,1,4,9,97.29967294360881
485,1,4,7,40.99133049832114
488,1,4,9,103.8246164971521
497,1,4,1,64.3354117560093
514,1,4,10,46.1388156170751
515,1,4,8,81.20546720130339
517,1,4,8,47.20435827498815
523,1,4,7,53.88404409982806
526,1,4,5,0.12780080483315456
527,1,4,9,90.62475314294608
528,1,4,5,0.12780080483315456
534,1,4,6,44.24384314134056
543,1,4,6,61.01220898077163
545,1,4,8,65.74548405787333
567,1,4,8,26.269834294477935
569,1,4,7,54.5623700359441
571,1,4,7,54.31376636342909
619,1,4,5,0.12780080483315456
641,1,4,7,38.18164780121341
643,1,4,7,48.8380987559665
647,1,4,6,58.19544211052306
670,1,4,7,51.905869555040546
686,1,4,7,54.106784728328584
698,1,4,10,50.92381712015023
701,1,4,9,84.92659450489427
714,1,4,7,52.817976755082306
715,1,4,5,0.12780080483315456
736,1,4,7,52.849998813023674
739,0,4,0,0.1442415880927993
759,1,4,6,75.8359483581491
765,1,4,3,16.564522531346498
774,1,4,4,0.12780081378714445
788,0,4,0,0.027700309372224587
795,0,4,0,0.021961233756748473
813,1,4,1,95.0093015308767
820,1,4,6,81.77925937356552
830,1,4,1,103.80472933786243
846,1,4,1,63.34886580484908
854,1,4,7,49.38307369966971
860,1,4,8,48.194503406909995
861,1,4,9,102.44092665474072
870,1,4,7,45.47939442550386
872,1,4,7,49.399365526822635
876,1,4,1,133.87853582126215
908,1,4,6,72.39147384693261
929,1,4,9,77.56646825407627
930,1,4,1,103.92171218864303
936,1,4,6,22.86703780706116
940,1,4,4,0.12780081378714445
941,1,4,9,74.60540325555299
950,1,4,8,78.22467250997732
960,1,4,6,51.26365527800595
983,1,4,4,0.12780081378714445
984,1,4,9,104.69872770693584
985,1,4,7,52.943912894430824
986,0,4,0,0.0301368312272906
994,1,4,7,54.17204034242426
1008,1,4,7,54.55343372445802
1020,1,4,9,81.49554981602223
1039,1,4,1,57.41822386892606
1043,1,4,4,0.12780081378714445
1073,1,4,1,110.18384008764261
1089,1,4,9,103.07113603240872
1091,1,4,8,83.39442193676334
1114,1,4,9,104.01569312977861
1123,1,4,4,0.12780081378714445
1129,0,4,0,0.01945381136201299
1135,1,4,4,0.12780080483315456
1139,1,4,3,23.38818452294364
1159,1,4,9,104.24484384851122
1171,1,4,5,0.12780080483315456
1173,1,4,7,53.69463690646707
1194,0,4,0,0.018452618193296064
1203,1,4,9,103.73350661881608
1216,1,4,6,20.593703088475824
1226,1,4,1,94.81647045642467
1248,1,4,7,54.19046441225086
1257,1,4,7,29.00498919491627
1262,1,4,5,0.12780080483315456
1270,1,4,5,0.12780080483315456
1278,0,4,0,0.019240201884735065
1286,1,4,9,108.53854987008437
1287,1,4,7,49.979571952479304
1296,1,4,7,50.56923856890244
1327,1,4,9,42.513452650600684
1361,1,4,8,81.79957812471334
1362,0,4,0,0.03693806866342957
1371,1,4,9,110.62266907645508
1380,1,4,5,0.12780080483315456
1393,1,4,9,91.60619815763604
1416,1,4,10,23.17661234945844
1419,1,4,7,29.005144678431524
1429,1,4,8,81.74985892846755
1430,1,4,10,62.618696093620045
1436,1,4,6,52.66920605877574
1477,0,4,0,0.05835074930941771
1478,0,4,0,0.18451751554790874
1491,1,4,3,23.449597940071804
1498,1,4,5,0.12780080483315456
1509,1,4,9,21.37341276416557
1515,1,4,9,88.34493110101329
1526,1,4,2,31.995717941002678
1543,1,4,6,53.468022806593964
1554,1,4,9,74.41332052027663
1559,1,4,2,82.24673493026927
1567,1,4,10,72.7094489965619
1577,1,4,6,19.306765861659866
1582,1,4,9,41.13200331238437
1585,1,4,1,133.30619723960436
1610,1,4,7,54.73404606404938
1611,1,4,5,0.12780080483315456
1623,1,4,4,0.12780081378714445
1627,1,4,4,0.12780081378714445
1632,1,4,10,63.39602811150355
1642,1,4,5,0.12780080483315456
1649,1,4,6,22.713177185527716
1653,1,4,4,0.12780081378714445
1667,1,4,9,104.36503931612378
1669,1,4,8,83.20583045803176
1682,1,4,4,0.12780081378714445
1688,1,4,7,48.91326033285062
1690,0,4,0,0.020087085530694573
1707,1,4,1,129.29692070959183
1709,1,4,5,0.12780080483315456
1714,1,4,5,0.12780080483315456
1718,1,4,6,40.21032889076467
1749,1,4,9,97.07146197906471
1765,1,4,5,0.12780080483315456
1781,1,4,9,15.233589543970679
1789,0,4,0,0.1077504007087006
1791,1,4,9,40.77776037572741
1799,1,4,9,67.16522073215309
1814,1,4,4,0.12780081378714445
1822,1,4,1,125.4199349651644
1829,1,4,7,44.744275896901364
1834,1,4,4,0.12780081378714445
1867,1,4,5,0.12780080483315456
1882,1,4,8,72.46113741196557
1885,1,4,9,104.41175857217884
1890,1,4,10,51.44991864552492
1921,1,4,5,0.12780081466922655
1931,1,4,6,49.02596575960821
1934,1,4,5,0.12780080483315456
1952,1,4,6,60.04668904632533
1966,1,4,9,103.67421881224145
1973,1,4,5,0.12780080483315456
1992,1,4,1,29.206728055442344
2004,1,4,6,51.94576587325541
2006,0,4,0,0.05423954747651383
2013,1,4,5,0.12780080483315456
2052,1,4,9,111.63261089890221
2057,1,4,6,75.45947580150164
2076,1,4,10,63.207859451408844
2077,1,4,10,52.330252003043064
2082,1,4,6,70.64459639931869
2091,1,4,5,0.12780080483315456
2108,1,4,9,112.40022907999655
2115,1,4,8,78.18185857311758
2128,1,4,3,9.952954105752255
2135,1,4,9,88.0326217235584
2149,1,4,4,0.12780081378714445
2150,1,4,7,50.97093151233104
2175,1,4,3,22.82426093976548
2185,1,4,6,67.34749516216947
2201,1,4,5,0.12780080483315456
2204,1,4,9,89.17837648524696
2219,1,4,5,0.12780080483315456
2229,1,4,1,66.47797976859499
2230,1,4,5,0.12780080483315456
2232,1,4,5,0.12780080483315456
2246,1,4,9,25.728033882458522
2248,1,4,7,55.03667155487354
2253,1,4,6,44.57889040238305
2266,1,4,8,83.41136911610214
2275,1,4,9,98.41202656127884
2296,1,4,9,43.62235409552515
2305,1,4,4,0.12780080483315456
2310,1,4,5,0.12780080483315456
2330,1,4,5,0.12780080483315456
2337,1,4,4,0.12780080483315456
2338,1,4,8,22.48437079151088
2341,1,4,4,0.12780081378714445
2349,1,4,7,38.26036948685669
2365,1,4,5,0.12780080483315456
2366,1,4,9,99.27839504561966
2374,0,4,0,0.021037709695330885
2375,1,4,5,0.12780080483315456
2382,1,4,8,77.36192992087611
2386,1,4,7,54.85860506827817
2388,1,4,9,103.09509336360857
2405,1,4,7,51.1474299528489
2410,0,4,0,0.020153654719087515
2418,1,4,1,126.66157021002749
2425,1,4,1,123.58168474883098
2441,1,4,9,111.5832311483626
2468,1,4,8,55.82443588359015
2470,1,4,9,103.99828016525426
2481,1,4,9,51.53967787644768
2495,1,4,7,52.44612115584798
2501,1,4,5,0.12780080483315456
2515,1,4,9,111.60264796793571
2520,1,4,6,8.802241109586928
2524,1,4,1,57.736554777837426
2544,0,4,0,0.059751063615613956
2564,0,4,0,0.02118482699114244
2577,1,4,9,79.98324382768456
2578,1,4,5,0.12780080483315456
2579,1,4,4,0.12780081378714445
2597,1,4,7,52.97067954298367
2613,1,4,3,23.220577135240937
2617,1,4,6,64.05881626449005
2622,1,4,5,0.12780080483315456
2636,1,4,5,0.12780080483315456
2641,1,4,8,47.61311441208089
2658,1,4,7,44.34205446764042
2677,1,4,5,0.12780080483315456
2707,1,4,9,31.101499756876645
2722,1,4,1,74.21085736911606
2761,1,4,7,33.869104077228805
2769,1,4,4,0.12780081378714445
2785,1,4,7,48.45430169533583
2791,1,4,9,95.42053183785772
2794,1,4,9,110.25195407121385
2803,1,4,5,0.12780080483315456
2814,1,4,4,0.12780081378714445
2818,1,4,7,54.26120505991526
2824,1,4,7,43.99608690622038
2835,1,4,9,107.285526724658
2862,1,4,10,63.93305484698905
2880,1,4,9,111.05420600210395
2883,1,4,8,18.8567033585602
2895,1,4,1,68.05065045081234
2903,1,4,8,34.89655181824647
2926,1,4,4,0.12780081378714445
2944,1,4,7,40.36501415748006
2947,1,4,6,37.58840788291792
2952,1,4,4,0.1278008494637906
2957,0,4,0,0.028523943909040218
2961,1,4,3,21.17504769514869
2962,0,4,0,0.021231471440708232
2981,1,4,1,15.391500391601015
2987,1,4,1,36.192814927641244
2993,1,4,7,54.294602300173224
2997,1,4,9,12.067650852384263
3031,1,4,9,112.19272189489912
3032,1,4,9,98.26103367450457
3099,1,4,3,18.66659940619825
3109,1,4,6,9.637552610690458
3121,1,4,5,0.12780080483315456
3124,1,4,6,75.83392396999163
3128,1,4,2,79.74410858172598
3135,1,4,4,0.12780081378714445
3169,1,4,10,61.48108463603338
3179,1,4,1,29.820364213337452
3198,0,4,0,0.02087742705329516
3199,1,4,5,0.12780080483315456
3204,1,4,6,71.70643026330129
3205,1,4,10,68.54586193557847
3208,1,4,2,70.34365053863446
3255,1,4,8,22.371973781937708
3259,0,4,0,0.018554045759449963
3263,1,4,3,22.942769325614314
3283,1,4,6,44.403867183808735
3315,1,4,1,81.81573614356229
3331,1,4,2,2.6599310691407925
3333,1,4,5,0.12780080483315456
3358,1,4,9,111.72646849984916
3361,1,4,9,43.50376101061714
3362,1,4,1,102.25362736518609
3364,1,4,5,0.12780081466922655
3370,1,4,10,64.55834413522574
