Indice,Maligno,Dispositivo,TipologiaAttacco,RMSE:
42,1,4,7,26.827743209857847
45,1,4,6,17.876852940145536
51,1,4,9,50.79700802145982
55,1,4,6,12.244107001595808
69,1,4,6,36.47970971809427
77,1,4,4,0.06966142417746142
96,1,4,1,59.09277209432516
97,1,4,1,67.08286162536649
100,0,4,0,0.02368949318853277
109,0,4,0,0.023574475685149733
111,1,4,2,47.09430510919042
118,1,4,10,106.83961523197283
124,1,4,9,59.7825484313583
130,1,4,7,15.11860276373733
136,1,4,3,11.49541402321718
141,1,4,9,45.0467617239051
144,1,4,7,26.56002808854081
146,1,4,4,0.06966142417746142
160,1,4,10,107.13436775133917
162,1,4,4,0.06966142417746142
164,1,4,4,0.06966142417746142
166,1,4,2,32.36816268932923
167,1,4,9,37.33715373844182
171,1,4,3,5.349080775047012
175,1,4,6,27.439335851883918
207,0,4,0,0.021948337877038062
208,1,4,5,0.06966141268765824
213,0,4,0,0.02642907733782496
214,1,4,9,67.79663104162066
218,1,4,10,28.784053934388876
225,1,4,1,45.695458857124386
262,1,4,1,68.15781916110663
270,1,4,5,0.06966141268765824
272,1,4,9,52.027990638188356
283,1,4,4,0.06966142417746142
290,1,4,5,0.06966141268765824
311,1,4,9,68.77150069004799
324,1,4,2,35.4698465612625
332,1,4,7,16.223129977239548
333,1,4,9,50.31709787104197
351,1,4,1,42.22381629774734
354,1,4,7,25.664798928159218
357,1,4,5,0.06966141268765824
363,1,4,6,36.738007217628095
371,1,4,7,23.9598775847616
384,1,4,4,0.06966142417746142
391,1,4,2,47.306566894470784
404,1,4,2,5.827987905853419
423,1,4,9,41.147933290583104
428,1,4,3,9.317566666199813
436,1,4,3,11.655437927601529
470,1,4,9,68.95125699253218
497,1,4,1,76.13995680941687
498,1,4,9,55.51040083510075
501,1,4,4,0.06966142417746142
506,1,4,3,5.40238895783622
529,1,4,1,7.606010553760754
543,1,4,9,42.59841337128506
545,1,4,4,0.06966142417746142
547,1,4,7,26.186418220809646
550,0,4,0,0.02497195142549306
555,1,4,7,26.837944242507383
571,1,4,7,24.208102706325022
586,1,4,8,46.760935780329056
588,1,4,10,37.16565477180122
596,1,4,10,27.37765738568959
607,1,4,4,0.06966142417746142
638,1,4,9,68.10591227174656
645,1,4,7,26.306767382343814
653,1,4,9,45.121088683991225
655,1,4,7,26.391286007274093
663,1,4,10,92.1620729061926
678,1,4,2,10.990742124109017
679,1,4,7,17.96448081368469
687,1,4,4,0.06966142417746142
712,1,4,9,54.644391280271044
713,1,4,6,49.647566600723714
738,1,4,9,36.42392808821465
761,1,4,9,37.49024597980948
764,1,4,10,19.658598827174366
778,1,4,3,7.336809887806803
782,1,4,9,67.67674043878722
783,1,4,6,23.21705433771995
788,1,4,7,24.118170688034887
798,1,4,4,0.06966142417746142
802,1,4,4,0.06966142417746142
803,1,4,5,0.06966141268765824
806,1,4,7,26.68689752853525
812,1,4,8,46.4453413041751
815,1,4,7,26.282601915346714
833,1,4,5,0.06966141268765824
838,1,4,10,91.02895826891638
862,1,4,1,84.40708584242614
863,1,4,6,23.90900082128968
869,1,4,7,26.537122992132275
876,0,4,0,0.02274554130824224
882,1,4,7,26.49803674386737
886,1,4,4,0.06966142417746142
899,1,4,1,56.191870859480765
906,1,4,6,31.908117301936688
924,1,4,8,38.522635990751226
942,1,4,7,25.307771644524433
949,1,4,1,85.75666843026436
950,1,4,4,0.06966142417746142
961,1,4,3,11.313101604051422
962,0,4,0,0.02331301783151008
964,1,4,6,49.46090798071644
980,1,4,5,0.06966141268765824
987,1,4,10,48.2057606964418
1005,1,4,5,0.06966141268765824
1011,1,4,3,10.338203760780416
1013,1,4,3,8.472086908626572
1033,1,4,5,0.06966141268765824
1051,1,4,1,100.23896615154405
1065,1,4,9,33.744589501649706
1069,1,4,9,51.02170709859636
1077,0,4,0,0.02612105658134004
1079,1,4,7,15.141826637276376
1092,1,4,4,0.06966142417746142
1094,1,4,5,0.06966141268765824
1103,1,4,10,48.6300943644386
1104,1,4,2,60.73705120693037
1110,1,4,5,0.06966141268765824
1117,1,4,4,0.06966141268765824
1131,1,4,8,35.81569739147092
1136,1,4,7,25.40930084466106
1140,1,4,6,16.61662234611417
1146,1,4,7,19.474667377459586
1154,1,4,5,0.06966141268765824
1162,1,4,9,51.01210230613603
1165,1,4,9,50.50531467010386
1176,1,4,10,20.344677249416772
1205,1,4,1,83.47091667398122
1206,1,4,10,100.22577444040498
1213,1,4,9,46.97092233478499
1231,1,4,4,0.06966142417746142
1251,1,4,10,87.5044818994072
1255,1,4,8,38.2000708234623
1268,1,4,9,42.71288327658282
1280,1,4,1,89.13324599952934
1324,1,4,8,33.35965858225228
1337,1,4,5,0.06966141268765824
1357,0,4,0,0.027778242147277553
1361,1,4,1,7.3236270890113415
1363,1,4,9,68.70997625416491
1368,1,4,7,10.488531082030148
1374,1,4,4,0.06966142417746142
1376,1,4,10,14.94940173308135
1417,0,4,0,0.02157825473744534
1421,1,4,5,0.06966141268765824
1425,1,4,2,29.910327564995008
1447,1,4,7,26.48532972840508
1451,0,4,0,0.028391418143109165
1464,1,4,7,16.346410143189306
1465,1,4,9,23.862607671320546
1480,1,4,3,11.716105777819385
1482,1,4,9,45.237908424124754
1496,1,4,8,33.624364360145364
1511,0,4,0,0.03595638089602647
1529,1,4,10,86.2478909327534
1536,1,4,1,97.37048034382963
1537,1,4,3,8.071496530589664
1538,1,4,1,89.28735362934705
1545,1,4,5,0.06966141268765824
1585,1,4,3,3.4240488925607924
1610,1,4,5,0.06966141268765824
1611,1,4,7,22.60858762833496
1629,1,4,8,11.062162494166854
1633,1,4,9,51.01788171106452
1644,1,4,1,78.22406695136569
1656,1,4,7,22.095489877752016
1667,1,4,9,66.8919403233511
1693,1,4,9,67.81039175870428
1696,1,4,6,11.667377724889047
1699,1,4,9,58.2754800841415
1706,1,4,5,0.06966141268765824
1711,1,4,4,0.06966142417746142
1728,1,4,9,46.77300915957076
1731,0,4,0,0.021731750795780283
1738,1,4,4,0.06966142417746142
1739,1,4,6,47.89484821985794
1747,1,4,3,8.044055437629456
1759,1,4,4,0.06966142417746142
1798,1,4,4,0.06966142417746142
1810,1,4,1,42.78803735538619
1811,1,4,1,57.805930589637185
1828,1,4,9,51.91107427993643
1839,0,4,0,0.02226521249668617
1885,1,4,4,0.06966142417746142
1892,1,4,6,45.48631512430927
1928,1,4,7,25.197481835545787
1929,1,4,7,22.474552972089857
1949,1,4,9,6.801375775130332
1971,1,4,8,13.398458064036134
1972,1,4,9,24.590844831848113
1989,1,4,6,32.19039515204105
1993,1,4,10,106.26608239628409
1996,1,4,4,0.06966142417746142
2003,0,4,0,0.022387003049494505
2009,1,4,8,41.19551634295106
2021,1,4,2,61.742207224946135
2028,0,4,0,0.0124779960824846
2056,1,4,7,22.17264551429632
2067,1,4,10,33.33099610991332
2084,1,4,10,31.446387735014497
2091,1,4,9,20.279879773089583
2092,0,4,0,0.02289644046890928
2110,0,4,0,0.02472635809559026
2114,1,4,8,35.142292130380625
2126,1,4,7,26.578222291411485
2132,1,4,9,35.05217195753498
2134,1,4,10,13.72672888915759
2155,1,4,9,38.999829864345095
2156,1,4,5,0.06966141268765824
2180,1,4,10,15.99071117998869
2187,1,4,5,0.06966141268765824
2193,1,4,1,103.13268298843526
2199,1,4,9,34.324600840446415
2204,1,4,9,49.05834819150111
2206,1,4,9,49.29184088358764
2208,0,4,0,0.02178953476877737
2210,1,4,1,104.40474244430904
2220,1,4,10,31.957873902814594
2265,1,4,5,0.06966141259847888
2278,1,4,5,0.06966141268765824
2280,1,4,9,51.79712731973952
2282,1,4,5,0.06966141268765824
2284,1,4,9,31.954713378757777
2313,1,4,9,14.71974277518732
2314,1,4,2,51.985615136513786
2323,1,4,9,14.606999662858719
2333,0,4,0,0.021204974657417774
2342,1,4,10,15.5755150648329
2365,1,4,1,82.27074262874748
2374,1,4,1,100.06689454857579
2382,1,4,6,37.874157258655195
2383,1,4,9,51.69975113549782
2408,1,4,4,0.06966142417746142
2416,1,4,9,67.11950770021839
2422,1,4,5,0.06966141268765824
2423,1,4,5,0.06966141268765824
2436,1,4,8,42.80191937726046
2447,1,4,1,108.34327418288056
2472,1,4,9,67.51741553401284
2474,1,4,5,0.06966141268765824
2476,1,4,1,35.03010409056314
2480,1,4,8,36.23155183404633
2483,1,4,6,10.841961311787793
2508,1,4,4,0.06966141268765824
2509,0,4,0,0.033200713758456006
2516,1,4,7,26.99829172457278
2517,1,4,9,48.69552318325752
2535,1,4,4,0.06966142417746142
