Indice,Maligno,Dispositivo,TipologiaAttacco,RMSE:
25,1,5,10,17.231053993929727
27,1,5,7,25.33042750772285
35,1,5,4,0.1893668984460342
39,1,5,2,32.48059053312454
40,1,5,7,24.626472593975425
63,1,5,5,0.18936687480304037
65,1,5,9,33.53489460006177
86,1,5,4,0.1893668984460342
108,1,5,5,0.18936687480304037
111,1,5,1,42.00689279956819
118,1,5,1,26.650465346855725
120,1,5,8,31.353906880428493
151,0,5,0,0.01669448164435076
156,1,5,7,25.16778521700552
157,1,5,8,38.35092534868888
168,0,5,0,0.017491318917104908
173,1,5,7,21.08499443982169
175,1,5,10,18.05615949299036
178,1,5,7,24.74168537378791
181,1,5,9,53.794766029771566
220,1,5,8,40.07386416576956
250,0,5,0,0.016900880785370966
264,1,5,9,52.75728701143319
283,1,5,5,0.18936687480304037
308,1,5,5,0.18936687480304037
317,1,5,9,47.64917350529317
320,1,5,6,39.71944678448049
330,1,5,10,21.171729676704075
344,1,5,8,36.36250682176144
349,1,5,5,0.18936687480304037
352,1,5,8,38.12963211472984
364,1,5,7,25.348160131499533
368,1,5,10,25.100712818132223
381,1,5,2,42.081008819148
388,1,5,9,21.647263373555806
395,1,5,2,19.493176083258994
406,1,5,1,39.058933664247306
407,1,5,4,0.1893668984460342
424,1,5,10,44.076766097202736
435,1,5,9,20.629650444995338
449,1,5,4,0.1893668984460342
451,1,5,7,25.56554822282113
482,1,5,1,70.82558741546457
485,1,5,5,0.18936687480304037
489,1,5,1,9.761435840572776
493,1,5,2,32.023208524411984
507,0,5,0,0.012475127258530517
509,1,5,9,53.885393354964876
516,1,5,7,23.55120411354308
549,1,5,8,36.05698967778027
554,0,5,0,0.0478036862164081
562,0,5,0,0.009272113962914087
565,1,5,6,17.38329366580672
566,1,5,9,35.09295530559659
577,1,5,4,0.1893668984460342
586,0,5,0,0.023258428175301445
590,0,5,0,0.01807950812480597
594,0,5,0,0.01515163380769435
601,1,5,10,17.415405483949733
602,1,5,8,33.68433501343041
603,1,5,5,0.18936687480304037
615,0,5,0,0.025236078281990735
655,1,5,7,23.743909542464543
664,1,5,6,32.717760129254046
669,1,5,4,0.1893668984460342
691,1,5,8,38.37433200817784
693,1,5,6,20.755875210402333
712,1,5,7,24.34954452725002
714,0,5,0,0.020193893247084073
716,1,5,4,0.1893668984460342
721,1,5,9,33.488203310523794
733,0,5,0,0.013848785988482493
769,0,5,0,0.021434540517822877
787,1,5,1,48.317615024573485
823,1,5,9,38.03964402738137
832,1,5,7,18.255274539888827
839,1,5,7,22.59148848096368
844,1,5,10,42.475919073227814
852,1,5,4,0.1893668984460342
854,1,5,9,13.375633471668321
860,1,5,9,50.679413792567075
862,1,5,2,41.06508869573395
883,1,5,5,0.18936687480304037
897,1,5,7,16.744810518713468
902,1,5,9,51.33947129328004
914,1,5,4,0.1893668984460342
919,1,5,1,58.5774233429872
922,1,5,9,24.010972050228517
930,1,5,7,9.354797932204427
941,1,5,9,54.394315951879456
973,1,5,6,30.760997646103412
977,1,5,2,8.981765677293465
979,1,5,4,0.1893668984460342
982,1,5,9,54.1274380766194
996,1,5,4,0.18936689725364755
1000,1,5,8,42.594388530725574
1002,1,5,4,0.1893668984460342
1009,1,5,9,48.732896595674795
1014,1,5,6,10.711909771344308
1029,1,5,7,25.18802679558142
1062,0,5,0,0.009066753184134484
1066,1,5,10,52.15919688033651
1068,1,5,8,22.837488928321175
1073,0,5,0,0.031015632696194465
1074,1,5,10,51.545315782358344
1078,1,5,4,0.1893668984460342
1085,1,5,9,25.00216338899495
1088,1,5,9,27.592891560098074
1097,1,5,7,6.259725515826816
1105,1,5,7,21.622801497408002
1114,1,5,5,0.18936687480304037
1117,1,5,4,0.1893668984460342
1123,1,5,9,53.40530576950358
1134,0,5,0,0.01127409796064869
1136,0,5,0,0.025798734922464036
1151,1,5,7,22.747609462439414
1167,0,5,0,0.07315846383920943
1169,1,5,6,36.60821290062185
1170,1,5,6,25.164800568625406
1179,1,5,5,0.18936687480304037
1182,1,5,5,0.18936687480304037
1196,1,5,7,20.344776202876663
1234,1,5,5,0.18936687480304037
1247,1,5,2,25.900285797427493
1256,1,5,5,0.18936687480304037
1261,1,5,9,48.75671362923308
1262,1,5,5,0.1893668710443547
1269,1,5,4,0.18936689725364755
1280,1,5,10,14.36613181016749
1320,1,5,8,43.271830007764414
1328,1,5,4,0.1893668984460342
1337,1,5,8,29.0698554223439
1345,1,5,5,0.18936687480304037
1349,1,5,7,15.428820416546715
1352,0,5,0,0.027560278991289044
1354,1,5,7,24.50823289572723
1364,1,5,5,0.18936687480304037
1373,0,5,0,0.014507717510957282
1380,1,5,6,22.155907657482594
1386,1,5,7,13.738994775374026
1412,1,5,7,18.16953639880407
1415,1,5,6,11.727500335799313
1418,1,5,10,12.079500724244463
1422,1,5,6,38.1246983017272
