Indice,Maligno,Dispositivo,TipologiaAttacco,RMSE:
19,1,5,4,0.11760719238291174
20,1,5,9,103.89876561300954
32,1,5,1,92.92949568479004
49,1,5,5,0.11760717599564992
55,1,5,8,23.90961952724641
66,0,5,0,0.03545124710293386
94,1,5,9,48.05072165253423
95,1,5,10,65.20841678284177
104,1,5,2,45.62539596381048
111,1,5,7,42.162163708411214
133,1,5,1,110.56173104934663
135,1,5,5,0.11760717599564992
143,1,5,1,124.14245992750557
176,1,5,7,53.10667019617712
185,1,5,4,0.11760719238291174
195,1,5,9,106.95856160511782
197,1,5,9,106.94136830629645
202,1,5,5,0.11760717599564992
209,1,5,3,21.92801084668165
213,1,5,5,0.11760717599564992
219,1,5,10,42.34984653320172
225,1,5,7,52.937937990846684
243,1,5,7,51.000291571333946
253,1,5,6,50.586293457221146
255,1,5,7,46.99459588267924
261,1,5,7,52.48387651588701
282,0,5,0,0.024816541552293892
307,1,5,4,0.11760719238291174
317,1,5,9,101.70183397344583
326,1,5,1,105.85730846804178
332,1,5,4,0.11760718519284838
347,1,5,9,62.65948862659394
348,0,5,0,0.010972528921148687
359,1,5,8,85.4774313938559
364,0,5,0,0.020114945500857382
368,0,5,0,0.052778523405249196
373,1,5,7,50.719522656939596
379,1,5,4,0.11760719238291174
406,1,5,9,75.56890212856227
414,1,5,10,78.05007066221518
417,1,5,7,48.81239543832133
434,1,5,5,0.11760717599564992
438,1,5,9,68.75163501151695
447,1,5,3,13.271518972660399
468,1,5,4,0.11760719238291174
471,1,5,3,22.431894555958024
482,1,5,7,47.14555784340627
485,1,5,7,31.187435245663703
494,1,5,9,54.076499579605695
500,1,5,8,85.753516138402
506,1,5,7,52.77253760732332
512,0,5,0,0.010694005293167835
528,1,5,2,67.97781775238553
530,1,5,8,76.46368091617431
559,1,5,8,76.11248007642958
570,1,5,5,0.11760717599564992
579,1,5,7,10.76001170508951
582,1,5,3,21.98584796491544
591,1,5,6,59.52662088315566
602,1,5,9,95.74007856586344
604,1,5,1,27.344633610786495
605,1,5,5,0.11760717599564992
620,1,5,7,47.89716392233031
622,1,5,2,52.777936199623376
635,1,5,5,0.11760717599564992
643,1,5,6,79.54381795821605
661,1,5,9,102.06254189518549
664,1,5,10,55.77817886309715
684,1,5,1,80.87687806808444
715,1,5,6,77.88887957155434
722,1,5,5,0.11760717599564992
723,1,5,8,22.2943089615886
726,1,5,9,101.53690767046518
730,1,5,5,0.11760717599564992
734,1,5,1,96.60954744687297
750,1,5,10,47.941264162410754
754,1,5,6,47.175139323219284
758,1,5,7,52.94541021835553
761,1,5,5,0.11760717599564992
799,1,5,5,0.11760717599564992
835,1,5,1,137.28406670400918
848,0,5,0,0.02304153873506738
863,1,5,6,18.008573157537
873,1,5,1,130.87479171880486
884,1,5,9,59.57430146378299
896,1,5,2,41.51985990866218
910,0,5,0,0.13836234663172936
911,1,5,4,0.11760719238291174
912,1,5,4,0.11760719238291174
916,0,5,0,0.024321690286460675
919,1,5,9,48.6796197523205
942,1,5,5,0.11760717599564992
959,1,5,9,74.64602323105846
960,1,5,10,56.68964744703388
976,1,5,9,102.37308985813671
978,1,5,1,112.13011920850536
979,1,5,4,0.11760719238291174
983,1,5,7,51.490019515062336
987,1,5,9,85.3462155588311
990,1,5,9,108.04602826862478
1009,0,5,0,0.04053819546029761
1044,1,5,1,117.90394857929637
1048,1,5,8,85.51550570964042
1055,1,5,1,74.35885692930346
1078,1,5,6,76.08517356318826
1087,1,5,4,0.11760719238291174
1089,1,5,10,29.354548804941814
1095,1,5,5,0.11760717599564992
1098,1,5,7,26.889807679023424
1121,1,5,4,0.11760719238291174
1131,1,5,9,99.48420219815031
1142,1,5,2,67.89935259128761
1147,0,5,0,0.029584297836911282
1182,1,5,4,0.11760719238291174
1195,1,5,2,60.15475297667084
1200,1,5,7,51.95381318730198
1214,1,5,5,0.11760717599564992
1223,0,5,0,0.023099597376521817
1227,1,5,2,75.05069995607367
1237,1,5,4,0.11760719238291174
1238,1,5,7,43.18561533323697
1251,1,5,10,51.662774585664565
1255,1,5,5,0.11760717599564992
1264,0,5,0,0.021631367129441727
1296,1,5,4,0.11760719238291174
1304,1,5,7,51.744365400294306
1311,1,5,8,64.40474296548143
1312,0,5,0,0.03897796175571809
1319,1,5,9,101.85954917041906
1322,1,5,9,60.85841221149064
1324,0,5,0,0.042544663019465634
1328,0,5,0,0.02473340125450486
1335,1,5,4,0.11760719238291174
1338,1,5,9,102.62000693661064
1339,1,5,8,73.39657770927822
1342,1,5,9,105.43480684995568
1364,0,5,0,0.023554777374225424
1370,1,5,9,51.01439309546552
1392,0,5,0,0.03776587685172274
1409,1,5,1,96.27000167762661
1414,1,5,4,0.11760719238291174
1426,1,5,4,0.11760719238291174
1439,1,5,10,22.39196154312241
1444,0,5,0,0.01675441080442187
1452,1,5,10,66.89889108578967
1453,1,5,1,69.17757939438997
1462,1,5,8,55.1757542731223
1475,1,5,9,91.37581803060952
1494,1,5,4,0.11760719238291174
1502,1,5,1,107.108051982396
1503,1,5,1,90.78089232015363
1509,1,5,9,102.07664702707497
1540,1,5,10,23.694321513654057
1551,1,5,6,17.385778845813153
1566,1,5,7,49.060194751933885
1575,1,5,7,52.76053607786503
1577,1,5,1,98.26648029461988
1578,0,5,0,0.010087769906837366
1581,1,5,4,0.11760718519284838
1583,1,5,5,0.11760716061195597
1601,1,5,9,17.537991198883095
1603,1,5,4,0.11760719238291174
1634,0,5,0,0.02851127331244935
1651,0,5,0,0.024446804512027208
1666,1,5,5,0.11760717599564992
1674,1,5,9,95.71047848612496
1682,1,5,9,101.6470721357858
1683,0,5,0,0.044618058425528226
1696,1,5,6,71.36877701777648
1702,0,5,0,0.024722207549329363
1703,1,5,4,0.11760719238291174
1710,1,5,6,68.18496468196076
1715,1,5,6,75.13858811056096
1716,1,5,10,80.97240903658297
1723,1,5,7,44.39664089447452
1735,1,5,4,0.11760719238291174
1772,1,5,1,38.486300563683784
1820,1,5,7,52.91624840711173
1825,1,5,4,0.11760719238291174
1833,1,5,1,89.26079672236236
1845,1,5,4,0.11760719238291174
1855,1,5,6,26.795719391518556
1862,1,5,9,81.22898780922698
1867,1,5,10,54.503670972507045
1877,0,5,0,0.019890057961446553
1878,1,5,9,91.71759872933106
1883,1,5,2,65.89462212314152
1884,0,5,0,0.017579819132567235
1885,1,5,4,0.11760719238291174
1904,1,5,7,30.569262680893235
1905,1,5,2,83.75330667081765
1920,1,5,1,105.46817631916751
1926,1,5,5,0.11760717599564992
1938,1,5,9,101.38876526072819
1942,1,5,4,0.11760719238291174
1944,1,5,10,58.88824016204796
1949,1,5,5,0.11760717599564992
1980,1,5,5,0.11760717599564992
1981,1,5,6,60.27483313413363
1990,1,5,1,123.7847212795254
2013,1,5,5,0.11760717599564992
2036,1,5,9,79.30137702546935
2038,1,5,1,75.7790684250583
2052,1,5,8,69.26955394803426
2058,1,5,6,64.23510400926799
2062,1,5,6,74.58931017272329
2063,0,5,0,0.023695299254261865
2068,1,5,4,0.11760719238291174
2073,1,5,5,0.11760717599564992
2077,1,5,8,20.355139137312772
2079,0,5,0,0.015578103893136666
2088,1,5,2,48.74457751546797
2103,1,5,3,13.904737730779171
2106,1,5,2,76.50672387748813
2112,1,5,4,0.11760719238291174
2123,1,5,3,22.26772749058565
2166,1,5,9,100.75998571177111
2174,1,5,5,0.11760717599564992
2184,1,5,2,47.83269527007164
2187,1,5,3,20.056459892189114
2193,1,5,5,0.11760717599564992
2198,1,5,4,0.11760719238291174
2200,1,5,4,0.11760718519284838
2228,1,5,6,74.6519739716649
2241,0,5,0,0.028888557035236375
2254,1,5,5,0.11760717599564992
2275,1,5,10,45.77527983800842
2286,1,5,9,102.13954001908205
2301,1,5,5,0.11760717599564992
2310,1,5,7,51.943714987073854
2312,1,5,5,0.11760717599564992
2316,1,5,9,39.53003640898949
2319,1,5,6,77.37363475737321
2330,1,5,1,125.55129608809511
2334,1,5,8,79.15278490970373
2344,1,5,7,50.25524676475932
2347,1,5,9,106.7898571419458
2364,1,5,7,47.664706910516145
2372,1,5,6,48.530696149598086
2376,1,5,9,100.46768860604737
2379,1,5,3,22.203960368138866
2409,0,5,0,0.01470991529335311
2410,1,5,5,0.11760717599564992
2441,1,5,1,96.03668384239366
2458,0,5,0,0.017104824527046796
2459,1,5,7,52.8173844855291
2490,1,5,5,0.11760717599564992
2520,0,5,0,0.02856559011734202
2528,1,5,9,108.59954130295715
2545,1,5,7,52.73807548775385
2549,1,5,8,76.00302641544845
2557,0,5,0,0.024174958255110346
2562,1,5,6,74.98552044040038
2591,1,5,4,0.11760719238291174
2619,1,5,5,0.11760716061195597
2630,1,5,10,27.485947383116493
2638,1,5,1,61.5027040749814
2641,1,5,9,93.90672580907662
2648,1,5,7,18.689368469546803
2654,0,5,0,0.03382539953195174
2666,1,5,8,39.45880004344691
2701,1,5,10,65.45022130213546
2705,1,5,6,27.72532292930661
2712,1,5,10,56.73270629357334
2717,1,5,2,70.95660983427763
2728,1,5,5,0.11760717599564992
2732,0,5,0,0.024618936995102394
2739,1,5,9,97.62284089354625
2746,1,5,7,51.88674745937581
2757,0,5,0,0.01332136080129694
2771,1,5,7,48.94231514819197
