Indice,Maligno,Dispositivo,TipologiaAttacco,RMSE:
0,1,5,8,41.85198380648023
4,1,5,9,108.44885130045037
6,1,5,2,26.5138795721224
21,1,5,4,0.0989102279889959
34,1,5,9,120.8312609049641
37,1,5,10,80.90318013238354
48,1,5,9,150.32187630645427
56,1,5,9,152.31605681016924
57,1,5,7,44.556236406231584
58,1,5,9,102.62132546877767
71,1,5,2,110.65339859813166
72,1,5,4,0.0989102279889959
75,1,5,6,86.81641453789975
76,1,5,9,150.67204474777455
82,1,5,5,0.0989102148777362
103,1,5,2,136.72679042478637
112,1,5,1,141.55684203943508
123,1,5,8,72.81822427360271
127,1,5,4,0.0989102279889959
131,1,5,7,52.674565386944025
140,1,5,8,89.76051290273878
141,1,5,2,84.07579603574926
175,1,5,10,125.66282259140719
179,1,5,4,0.0989102279889959
201,1,5,9,120.37289595916953
208,1,5,4,0.0989102279889959
215,1,5,9,114.59030753816197
220,1,5,4,0.0989102279889959
222,1,5,7,56.824870810872405
238,1,5,9,60.27442656542455
254,1,5,1,68.74608078659269
260,1,5,9,116.02323177861956
275,1,5,7,37.13289547301092
279,1,5,9,100.54109037502428
284,1,5,7,60.07173893726828
293,1,5,5,0.0989102148777362
302,0,5,0,0.07172643252964554
308,1,5,9,58.462248802615456
310,1,5,4,0.0989102279889959
318,0,5,0,0.15722627988232102
330,1,5,9,149.01604464060196
366,1,5,8,102.47044266204955
367,1,5,4,0.0989102279889959
385,1,5,6,102.72797382627111
395,0,5,0,0.029801579711877565
404,1,5,4,0.0989102279889959
408,1,5,5,0.0989102148777362
435,1,5,7,49.03230910563159
437,1,5,8,91.02386901406592
461,1,5,7,57.92475416959058
465,1,5,3,25.400260844808052
474,1,5,8,102.14141438861955
475,1,5,5,0.0989102148777362
478,1,5,1,201.0614640749138
479,1,5,3,25.508721771778582
497,1,5,5,0.0989102148777362
504,1,5,6,71.06656247629226
505,1,5,2,112.52596564804618
511,1,5,6,30.846148645865796
515,0,5,0,0.023722956873021016
524,1,5,2,59.99004848546155
529,0,5,0,0.011887729554667674
540,1,5,5,0.09891023377657096
547,1,5,9,136.11344110825183
549,1,5,6,82.20853131363296
558,1,5,1,156.8824577474743
561,1,5,5,0.0989102148777362
573,1,5,9,85.64363980967782
577,1,5,8,83.3253252685353
596,1,5,9,120.90164789530503
600,0,5,0,0.31035183565389657
601,1,5,9,151.05280330268937
650,1,5,9,28.485843732124795
656,1,5,6,109.05872404235784
669,0,5,0,0.028912944554037704
673,1,5,9,74.96278255242898
681,1,5,10,48.23793624013331
687,1,5,8,47.935012923501105
689,1,5,5,0.0989102148777362
692,1,5,5,0.0989102148777362
698,1,5,5,0.0989102148777362
706,1,5,6,86.36769544431071
719,1,5,4,0.0989102279889959
727,1,5,9,141.90589850792225
762,1,5,4,0.0989102279889959
821,1,5,5,0.0989102148777362
837,1,5,4,0.0989102279889959
885,1,5,5,0.0989102148777362
906,1,5,3,25.424713191409005
918,1,5,9,134.79748339796643
920,1,5,7,57.12892213214792
931,1,5,3,25.741542131618818
935,1,5,4,0.0989102279889959
940,1,5,6,105.3166723649129
961,1,5,7,41.45905865768805
964,1,5,1,43.97620153614324
985,1,5,6,90.68302925834878
986,1,5,10,115.94174551930112
995,1,5,7,58.3920385050872
1000,1,5,9,41.30419836479429
1014,0,5,0,0.03385432846173916
1024,0,5,0,0.017433873368862308
1030,1,5,9,136.43136190775408
1038,1,5,10,116.264704975719
1054,1,5,9,41.651529001781775
1065,1,5,4,0.0989102279889959
1069,1,5,9,116.72628377717297
1070,1,5,8,107.2340157406545
1074,1,5,9,114.00848898024569
1075,1,5,10,101.63832411271312
1082,1,5,9,116.8470004832995
1084,1,5,1,211.6017890638982
1093,1,5,9,64.77837264850551
1097,1,5,4,0.0989102279889959
1113,1,5,7,59.216479936372
1116,1,5,5,0.0989102148777362
1117,1,5,2,62.88886994558499
1136,1,5,7,53.726613857789765
1137,0,5,0,0.04098988999832565
1139,1,5,7,54.270832205746935
1141,1,5,9,151.31775878127016
1164,1,5,2,120.14426570372578
1167,1,5,8,29.942363695604147
1175,1,5,5,0.0989102148777362
1177,1,5,9,130.1153338865304
1183,0,5,0,0.046301347238661056
1202,0,5,0,0.01751272810111016
1210,0,5,0,0.01913444348972344
1216,1,5,4,0.0989102279889959
1235,1,5,1,213.68588319711517
1246,1,5,8,116.0052788979493
1250,1,5,8,21.880889425936076
1253,1,5,8,101.20152525668527
1256,1,5,4,0.0989102279889959
1261,1,5,10,33.225999008306616
1269,0,5,0,0.023223983320377173
1287,1,5,10,30.257404373489937
1293,1,5,9,141.97381507115313
1294,1,5,10,87.18719149175014
1295,1,5,1,94.03601344957565
1300,1,5,9,150.5348517390593
1307,1,5,8,115.31591729309353
