Indice,Maligno,Dispositivo,TipologiaAttacco,RMSE:
2,1,5,3,14.354101367635257
3,1,5,9,79.5350132104844
28,1,5,2,49.00091524357844
29,1,5,5,0.07672423922752598
36,1,5,4,0.07672424511609875
45,1,5,8,63.96398469488234
63,1,5,6,35.4108424693909
78,1,5,1,16.158596338639665
87,1,5,7,19.079328569358655
125,0,5,0,0.014641884317550298
126,1,5,9,20.80795068647968
156,0,5,0,0.04446938667098403
162,1,5,7,38.683399772755344
234,1,5,5,0.07672423922752598
252,0,5,0,0.01969715647392664
270,1,5,9,95.73280353662487
276,1,5,3,20.045111278911268
290,1,5,7,39.982439873036824
300,1,5,6,65.42962386370448
301,1,5,7,45.13152830805322
309,0,5,0,0.01841650087997431
319,1,5,4,0.07672424511609875
338,1,5,7,10.909773161478741
341,1,5,2,16.798837969546582
343,1,5,7,47.99504256797245
344,1,5,7,47.68539912091453
356,1,5,8,64.13652770806674
371,1,5,5,0.07672423922752598
374,1,5,10,71.35341399333747
380,1,5,8,68.61831654822299
394,1,5,5,0.07672423570582172
401,1,5,7,45.44290806644891
422,1,5,9,84.3575674756933
423,1,5,9,94.06393259320265
428,1,5,6,68.54675340407458
436,1,5,9,4.508429136302809
440,1,5,7,23.17688940841103
451,1,5,9,90.91463759466721
462,1,5,10,31.780611471511456
473,1,5,3,7.609412095819522
477,1,5,3,20.499520028125893
498,1,5,9,60.59011087935066
517,0,5,0,0.015607233948716088
523,1,5,9,80.938419078717
531,0,5,0,0.0495553229119599
535,1,5,3,7.927281315269293
537,1,5,7,13.38979676217098
545,1,5,6,42.269097090136306
548,0,5,0,0.07763294425726056
574,1,5,8,68.42919086176755
576,1,5,7,47.95119030682166
580,1,5,6,38.47477158816948
595,1,5,8,35.85767760454556
608,1,5,6,67.79193980820355
609,0,5,0,0.018266976703721644
615,1,5,8,66.2497472718267
647,1,5,7,25.470305142888176
649,1,5,4,0.07672424511609875
660,1,5,8,34.99084974296028
680,1,5,9,71.27845753658674
709,1,5,9,86.04948750809191
725,1,5,2,46.44487085596403
751,1,5,10,65.17978694659583
765,1,5,9,95.56714430888071
777,1,5,7,34.6105849990904
784,0,5,0,0.04202765900479857
787,1,5,10,67.67221914058617
791,1,5,9,95.51607050186863
792,1,5,8,71.86091302544558
798,1,5,9,62.29614026086569
