Indice,Maligno,Dispositivo,TipologiaAttacco,RMSE:
2,0,6,0,0.025181564477047638
8,1,6,4,0.33969455545670424
10,1,6,2,61.31894762884006
24,1,6,5,0.33969455545670424
30,0,6,0,0.02862486563465297
34,1,6,1,73.66034246184046
35,1,6,4,0.33969455545670424
36,1,6,3,6.881514875100694
46,1,6,1,71.70932337345762
62,1,6,1,46.44649571838208
71,1,6,5,0.33969455545670424
90,1,6,2,65.31867321345237
107,1,6,4,0.33969455545670424
116,1,6,5,0.33969455545670424
121,1,6,3,3.684542581995052
128,1,6,5,0.33969455545670424
132,0,6,0,0.045767840945438634
144,1,6,5,0.33969455545670424
150,1,6,4,0.33969455545670424
153,1,6,1,44.01472483023046
159,1,6,5,0.33969455545670424
169,0,6,0,0.029064755917455873
182,1,6,4,0.33969455545670424
196,1,6,5,0.33969455545670424
230,1,6,5,0.33969455545670424
237,1,6,5,0.33969455545670424
241,1,6,4,0.33969455545670424
246,1,6,5,0.33969455545670424
247,0,6,0,0.04286247724003513
268,1,6,5,0.33969455545670424
271,1,6,4,0.3396945699779226
277,1,6,4,0.3396945699779226
280,1,6,4,0.33969455545670424
286,1,6,3,6.408222184710064
290,1,6,4,0.33969455545670424
305,0,6,0,0.02906888828507926
314,1,6,4,0.33969455545670424
318,1,6,1,44.15067431282707
328,1,6,1,73.03715055918265
330,1,6,1,77.12635057909102
350,1,6,4,0.33969455545670424
370,1,6,4,0.33969455545670424
372,0,6,0,0.027690495231595856
382,1,6,1,43.852127771885606
391,1,6,5,0.33969455545670424
396,1,6,3,5.5133952713622705
397,0,6,0,0.02918216095172694
423,1,6,4,0.33969455545670424
436,1,6,4,0.33969455545670424
443,1,6,5,0.33969455545670424
445,1,6,5,0.33969455545670424
470,1,6,5,0.33969455545670424
478,1,6,4,0.33969455545670424
483,1,6,5,0.33969455545670424
503,1,6,2,65.69456170591785
505,1,6,3,6.067779656582539
512,1,6,4,0.33969455545670424
520,1,6,1,59.297481780799
548,1,6,5,0.33969455545670424
550,1,6,5,0.33969455545670424
558,0,6,0,0.028722662699380425
566,1,6,1,83.56403499336585
576,1,6,4,0.3396945699779226
597,1,6,4,0.3396945699779226
611,1,6,1,75.01278045777218
617,1,6,3,7.809735116248248
623,1,6,3,6.327707487703771
627,1,6,5,0.33969455545670424
630,1,6,5,0.33969455545670424
632,1,6,1,59.12183090229319
633,1,6,1,65.27228273465717
640,1,6,3,4.850834612106476
644,1,6,4,0.33969455545670424
646,1,6,4,0.33969455545670424
649,1,6,3,7.873002494541148
664,0,6,0,0.02602421021191848
666,1,6,1,73.73857663498706
677,1,6,1,75.82837651556858
692,1,6,1,55.12586184128612
695,1,6,5,0.33969455545670424
706,1,6,5,0.33969455545670424
708,0,6,0,0.045980897064660596
720,1,6,2,66.82167909864476
722,1,6,5,0.33969455545670424
736,1,6,4,0.33969455545670424
737,1,6,2,65.27675461405111
740,0,6,0,0.026616175131808195
751,1,6,1,75.36934329392163
759,1,6,5,0.33969455545670424
765,1,6,5,0.33969455545670424
772,1,6,2,58.61669121778611
786,1,6,4,0.33969455545670424
787,0,6,0,0.025543046012160765
790,1,6,5,0.33969455545670424
817,1,6,4,0.3396945699779226
821,1,6,5,0.33969458745417896
833,1,6,4,0.33969455545670424
855,1,6,4,0.33969455545670424
867,1,6,4,0.33969455545670424
871,1,6,4,0.33969455545670424
876,1,6,1,75.1153362635841
905,1,6,5,0.33969455545670424
930,1,6,3,6.169792221116456
943,1,6,2,56.12233169808066
954,1,6,4,0.33969455545670424
966,1,6,5,0.33969455545670424
973,1,6,2,64.1678999489459
977,1,6,4,0.33969455545670424
980,1,6,3,6.5770580558980285
990,1,6,4,0.33969455545670424
993,1,6,4,0.33969455545670424
1014,1,6,5,0.33969455545670424
1020,1,6,4,0.33969455545670424
1021,1,6,1,45.16576121283848
1029,1,6,5,0.33969455545670424
1030,1,6,4,0.33969455545670424
1037,1,6,3,7.029837683267834
1051,1,6,5,0.33969455545670424
1061,1,6,5,0.33969455545670424
1090,1,6,1,46.024185414587514
1098,0,6,0,0.026514171374242015
1104,1,6,2,56.24411632183956
1109,1,6,5,0.33969455545670424
1115,1,6,4,0.33969455545670424
1119,1,6,2,58.54509336640472
1145,0,6,0,0.07656305089911655
1146,1,6,4,0.3396945699779226
1150,1,6,3,5.040870523770497
1169,1,6,3,7.236085669438294
1187,1,6,2,47.29653273551779
1195,1,6,5,0.33969455545670424
1196,1,6,4,0.33969455545670424
1200,1,6,4,0.33969455545670424
1206,0,6,0,0.02281265162359237
1215,1,6,4,0.33969455545670424
1218,1,6,1,82.95662001915056
1224,1,6,5,0.33969455545670424
1233,1,6,1,65.35728528070537
1239,0,6,0,0.02400231146707376
1241,1,6,4,0.33969455545670424
1245,1,6,1,75.02315442064454
1246,1,6,4,0.33969455545670424
1266,1,6,5,0.33969455545670424
