Indice,Maligno,Dispositivo,TipologiaAttacco,RMSE:
7,1,6,1,57.60556030795354
12,1,6,5,0.24288057725899295
20,1,6,4,0.24288061454380885
27,1,6,5,0.24288057725899295
31,1,6,5,0.24288057725899295
34,1,6,1,57.72107443915994
36,1,6,5,0.24288057725899295
39,1,6,3,6.714012844849362
69,1,6,4,0.24288061454380885
81,1,6,4,0.24288061454380885
92,1,6,1,58.082677371904104
104,1,6,3,5.844680412611423
111,1,6,4,0.24288061454380885
123,1,6,5,0.24288057725899295
130,1,6,4,0.24288061454380885
156,0,6,0,0.01993501425213703
180,1,6,2,36.13638548237399
183,1,6,3,4.4414306956320555
199,1,6,4,0.24288061454380885
201,1,6,5,0.24288057725899295
211,1,6,4,0.24288061454380885
225,1,6,5,0.24288057725899295
227,1,6,4,0.24288061454380885
236,1,6,5,0.24288057725899295
240,1,6,4,0.24288061454380885
242,1,6,4,0.24288061454380885
250,1,6,5,0.24288057725899295
264,1,6,1,56.48362676648943
271,1,6,1,52.05104853936534
273,1,6,1,32.18266393457913
279,1,6,1,55.47634008310627
280,1,6,4,0.24288060506774287
287,0,6,0,0.02029406807069684
291,1,6,4,0.24288061454380885
297,1,6,1,59.06807735821677
305,1,6,2,55.47714885859318
326,1,6,4,0.24288061454380885
327,1,6,3,4.260293166577907
342,1,6,1,57.236029994591725
359,1,6,1,44.49440283752807
361,1,6,4,0.24288061454380885
363,1,6,3,5.09028223973048
370,1,6,5,0.24288057725899295
398,1,6,4,0.24288061454380885
399,0,6,0,0.12451181265653563
412,1,6,2,48.098526567220716
420,1,6,3,4.621009127718078
422,1,6,1,27.63705174334237
427,1,6,5,0.24288057725899295
439,1,6,2,53.60514535785909
442,1,6,1,57.59616532055026
455,1,6,5,0.24288057725899295
472,1,6,5,0.24288057725899295
478,1,6,4,0.24288061454380885
497,1,6,5,0.24288057725899295
514,0,6,0,0.07008062288461407
522,0,6,0,0.02346215544987719
527,1,6,4,0.24288061454380885
532,1,6,5,0.24288057725899295
558,1,6,4,0.24288061454380885
575,1,6,5,0.24288057725899295
586,1,6,4,0.24288061454380885
588,0,6,0,0.022731849455999677
608,1,6,3,5.630302835570339
617,1,6,4,0.24288061454380885
619,1,6,3,4.774531970106606
625,1,6,3,4.43129827610107
628,1,6,1,60.716327690714294
630,1,6,1,57.70806551867301
633,1,6,5,0.24288057725899295
643,1,6,5,0.24288057725899295
661,1,6,4,0.24288061454380885
668,1,6,5,0.24288057725899295
674,1,6,5,0.24288057725899295
682,1,6,4,0.24288061454380885
684,1,6,5,0.24288057725899295
686,1,6,1,37.345850511769434
689,0,6,0,0.02588133815832481
691,0,6,0,0.024661660777979044
695,1,6,4,0.24288061454380885
702,1,6,5,0.24288057725899295
705,1,6,3,4.77474693126867
744,1,6,4,0.24288061454380885
746,1,6,1,42.041669329468334
760,0,6,0,0.048601737929438976
763,0,6,0,0.025833114416386558
766,0,6,0,0.023914509588316774
767,0,6,0,0.02084851318304455
780,1,6,2,52.519281627273024
782,1,6,5,0.24288057725899295
794,0,6,0,0.05982251868106348
809,0,6,0,0.01775731185362455
812,0,6,0,0.036719644522898116
823,1,6,5,0.24288057725899295
825,0,6,0,0.02581027192480351
829,1,6,3,5.568649510717117
831,1,6,5,0.24288057725899295
840,1,6,4,0.24288061454380885
842,1,6,4,0.24288061454380885
858,1,6,4,0.24288061454380885
894,1,6,4,0.24288061454380885
895,1,6,5,0.24288057725899295
897,1,6,4,0.24288061454380885
898,1,6,5,0.24288057725899295
902,1,6,4,0.24288061454380885
908,1,6,5,0.24288057725899295
913,0,6,0,0.021234659281188086
915,1,6,4,0.24288061454380885
945,1,6,5,0.24288057725899295
966,1,6,3,5.519842428205153
986,0,6,0,0.060398888636484654
990,1,6,5,0.24288057725899295
1011,1,6,4,0.24288061454380885
1013,1,6,4,0.24288061454380885
1019,1,6,4,0.24288061454380885
1027,1,6,5,0.24288057725899295
1033,1,6,5,0.24288057725899295
1039,1,6,5,0.24288057725899295
1046,0,6,0,0.02249961250846842
1065,1,6,4,0.24288061454380885
1067,1,6,4,0.24288061454380885
1070,1,6,1,35.437257368038495
1082,1,6,5,0.24288057725899295
1087,0,6,0,0.025050822288080987
1089,1,6,1,60.80726132862281
1098,1,6,4,0.24288061454380885
1103,1,6,2,49.54133763179982
1110,1,6,5,0.2428805735690307
1111,1,6,5,0.24288057725899295
1119,1,6,1,54.598604902060686
1130,1,6,5,0.24288057725899295
1134,1,6,3,4.314901047353159
1136,1,6,5,0.24288057725899295
1141,1,6,5,0.24288057725899295
1162,1,6,4,0.24288061454380885
1173,1,6,3,5.08168243251941
1174,1,6,5,0.24288057725899295
1190,1,6,4,0.24288061454380885
1198,1,6,5,0.24288057725899295
1212,1,6,4,0.24288061454380885
1232,1,6,1,38.66896328489192
1242,1,6,4,0.24288061454380885
1243,1,6,2,54.790678191944565
1278,1,6,3,4.509119353858548
1283,1,6,5,0.24288057725899295
1288,0,6,0,0.05600083804736931
1300,1,6,2,52.457900964343764
1313,1,6,4,0.24288061454380885
1341,1,6,5,0.24288057725899295
1362,1,6,4,0.24288061454380885
1370,1,6,1,56.84141814714135
1426,0,6,0,0.020584943363760398
1440,1,6,5,0.24288057725899295
1446,0,6,0,0.019224489551939804
1448,1,6,4,0.24288061454380885
1453,0,6,0,0.02116146810299278
1466,1,6,4,0.24288061454380885
1473,1,6,1,33.68877039203786
1479,1,6,1,59.535420103642544
1483,1,6,4,0.24288060506774287
1486,1,6,4,0.24288061454380885
1489,1,6,3,3.863131213448284
1499,1,6,4,0.24288061454380885
1506,1,6,4,0.24288061454380885
1511,1,6,5,0.24288057725899295
1513,1,6,5,0.24288057725899295
1517,0,6,0,0.02178406962637342
1568,1,6,2,37.28352995059743
1571,1,6,1,57.05419008111735
1572,1,6,4,0.24288061454380885
1606,1,6,2,53.265465555567864
1607,0,6,0,0.03999953149212743
1608,1,6,3,5.225584792325905
1628,1,6,5,0.24288057725899295
1645,1,6,4,0.24288061454380885
1655,1,6,2,46.67656732269347
1672,1,6,4,0.24288061454380885
1682,0,6,0,0.02231735299179417
1683,1,6,5,0.24288057725899295
1684,1,6,4,0.24288061454380885
1687,1,6,4,0.24288061454380885
1711,1,6,3,4.748362197682932
1714,1,6,2,41.29578228924828
1717,1,6,4,0.24288061454380885
1720,1,6,3,4.933017020314438
1724,1,6,5,0.24288057725899295
1757,1,6,3,4.387467794142029
1762,1,6,4,0.24288061454380885
1798,1,6,5,0.24288057725899295
1800,1,6,5,0.24288057725899295
1807,1,6,5,0.2428805735690307
1808,1,6,2,47.151248331537566
1816,0,6,0,0.025614125980140404
1819,1,6,1,54.91935214692854
1830,0,6,0,0.024472546779312276
1835,1,6,5,0.24288057725899295
1861,1,6,5,0.24288057725899295
1870,1,6,5,0.24288057725899295
1872,1,6,4,0.24288061454380885
1874,0,6,0,0.02083680579819266
1885,1,6,5,0.24288057725899295
1899,0,6,0,0.024602079658666478
1902,1,6,5,0.24288057725899295
1904,1,6,5,0.24288057725899295
1909,1,6,3,4.286952522590764
1926,1,6,4,0.24288061454380885
1937,1,6,5,0.24288057725899295
1942,1,6,3,4.322651331500296
1945,1,6,5,0.24288057725899295
1954,1,6,5,0.24288057725899295
1969,1,6,4,0.24288061454380885
1973,1,6,5,0.24288057725899295
1983,1,6,2,29.04885541361967
1997,0,6,0,0.07958248984213297
2031,1,6,1,45.8731490278319
2050,1,6,5,0.24288057725899295
2057,0,6,0,0.06464714788129514
2058,1,6,4,0.24288061454380885
2061,1,6,5,0.24288057725899295
2064,1,6,5,0.24288057725899295
2069,1,6,5,0.24288057725899295
2070,1,6,5,0.24288057725899295
2083,1,6,4,0.24288060506774287
2103,1,6,4,0.24288060506774287
2121,1,6,1,55.588577946430036
2125,1,6,5,0.24288057725899295
2130,1,6,1,62.037767243439426
2150,1,6,5,0.24288057725899295
2153,1,6,5,0.24288057725899295
2161,1,6,5,0.24288057725899295
2170,1,6,3,5.8852041414281695
2177,1,6,3,4.341619779311385
2192,0,6,0,0.026748385277614424
2198,1,6,4,0.24288061454380885
2202,1,6,1,23.612500597880388
2204,1,6,4,0.24288061454380885
2208,1,6,4,0.24288061454380885
2209,0,6,0,0.031799855270506557
2217,1,6,1,48.94948245839633
2233,0,6,0,0.02280067744892219
2256,1,6,4,0.24288061454380885
2261,1,6,2,46.81626256176117
2262,1,6,5,0.24288057725899295
2268,1,6,4,0.24288061454380885
2278,1,6,5,0.24288057725899295
2281,1,6,1,58.77610518520685
2299,1,6,4,0.24288061454380885
2301,1,6,4,0.24288061454380885
2344,1,6,5,0.24288057725899295
2353,1,6,1,57.76337888472139
2357,1,6,1,32.37247702119979
2360,1,6,4,0.24288061454380885
2363,0,6,0,0.04684582369798104
2366,0,6,0,0.0795814769516604
2368,1,6,3,3.4855754034358664
2373,1,6,3,4.905609510912971
2378,1,6,5,0.24288057725899295
2379,1,6,3,4.400356779639156
2380,1,6,5,0.24288057725899295
2383,1,6,5,0.24288057725899295
2389,0,6,0,0.028532614826096352
2404,1,6,5,0.24288057725899295
2415,1,6,3,5.155838835245412
2422,1,6,4,0.24288061454380885
2427,1,6,4,0.24288061454380885
2447,1,6,5,0.24288057725899295
2452,1,6,4,0.24288061454380885
2453,0,6,0,0.047023661768697315
2456,1,6,4,0.24288061454380885
2458,1,6,4,0.24288061454380885
2476,1,6,4,0.24288061454380885
2481,1,6,3,4.704626766829002
2491,1,6,5,0.24288057725899295
2507,1,6,1,56.260409097607074
2514,1,6,2,42.131178567175965
2523,1,6,5,0.24288057725899295
