Indice,Maligno,Dispositivo,TipologiaAttacco,RMSE:
18,1,6,2,60.42692494225895
20,1,6,5,0.4118457718478588
27,1,6,5,0.4118457718478588
42,0,6,0,0.05505304865381097
50,1,6,4,0.4118458164153597
62,1,6,5,0.4118457718478588
78,1,6,5,0.4118457718478588
89,1,6,5,0.4118457718478588
97,1,6,1,72.48448712807217
116,1,6,4,0.4118458164153597
118,1,6,4,0.4118458164153597
123,1,6,5,0.4118457718478588
138,1,6,4,0.4118458164153597
140,1,6,4,0.4118458164153597
165,0,6,0,0.05808530343077696
169,0,6,0,0.05903363223047875
177,1,6,5,0.4118457718478588
196,1,6,1,79.45521458008028
199,1,6,4,0.4118458164153597
200,1,6,1,74.31007458410318
205,1,6,5,0.4118457718478588
229,1,6,3,7.507980230221555
230,1,6,1,68.16046746773462
233,1,6,3,7.655870478237707
235,1,6,5,0.4118457718478588
243,1,6,5,0.4118457718478588
254,1,6,5,0.4118457718478588
261,1,6,5,0.4118457718478588
269,1,6,5,0.4118457718478588
272,1,6,1,71.45020336489715
294,1,6,4,0.41184582240350426
317,1,6,5,0.4118457667043786
326,1,6,1,77.16839256252507
359,1,6,1,46.783018902136035
360,1,6,5,0.4118457718478588
389,1,6,1,68.35689566580513
403,1,6,2,68.8035644467543
406,1,6,2,49.29204275609496
440,1,6,4,0.4118458164153597
456,1,6,3,8.733575595241383
458,0,6,0,0.05645282017087361
465,1,6,3,10.208256748947154
468,1,6,1,18.57481460687233
476,1,6,4,0.4118458164153597
479,1,6,1,57.59022917868596
480,1,6,5,0.4118457718478588
498,1,6,5,0.4118457718478588
499,1,6,4,0.4118458164153597
503,1,6,4,0.4118458164153597
505,1,6,1,68.55164484933884
510,1,6,4,0.4118458164153597
523,1,6,2,70.10969164824382
537,1,6,4,0.4118458164153597
568,1,6,4,0.4118458164153597
590,1,6,4,0.4118458164153597
592,1,6,3,8.021756273945524
596,0,6,0,0.05884093440922606
599,1,6,5,0.4118457718478588
611,1,6,4,0.4118458164153597
628,1,6,5,0.4118457718478588
638,1,6,5,0.4118457718478588
641,1,6,2,39.370693826186
658,1,6,5,0.4118457667043786
659,1,6,4,0.41184582240350426
660,1,6,2,71.6320797363643
675,0,6,0,0.3995489861303303
676,1,6,1,72.05887403186965
695,1,6,2,62.812746266908285
710,1,6,5,0.4118457718478588
735,1,6,5,0.4118457718478588
749,1,6,4,0.4118458164153597
754,1,6,4,0.4118458164153597
782,1,6,5,0.4118457718478588
796,1,6,4,0.4118458164153597
798,1,6,4,0.4118458164153597
805,0,6,0,0.04462074262099852
809,1,6,4,0.4118458164153597
816,1,6,4,0.4118458164153597
830,1,6,4,0.4118458164153597
855,1,6,4,0.4118458164153597
856,1,6,4,0.4118458164153597
868,1,6,5,0.4118457718478588
873,1,6,3,5.759390182714015
883,1,6,5,0.4118457718478588
904,0,6,0,0.037116874410604565
924,1,6,4,0.4118458164153597
926,1,6,1,70.62104330288142
927,1,6,3,5.575136522791136
956,1,6,5,0.4118457718478588
967,1,6,4,0.4118458164153597
968,1,6,4,0.4118458164153597
976,0,6,0,0.05305005110328439
993,1,6,1,76.40560535596434
1002,1,6,5,0.4118457718478588
1008,0,6,0,0.030079863941287012
1009,1,6,5,0.4118457667043786
1018,1,6,4,0.4118458164153597
1021,1,6,3,7.580156727897848
1023,1,6,5,0.4118457718478588
1035,1,6,4,0.4118458164153597
1046,1,6,4,0.4118458164153597
1069,1,6,5,0.4118457718478588
1085,1,6,1,72.74503248723364
1095,1,6,5,0.4118457718478588
1097,1,6,4,0.4118458164153597
1123,1,6,5,0.4118457718478588
1129,1,6,5,0.4118457718478588
1138,0,6,0,0.08964453287837029
1142,0,6,0,0.02996669459582721
1149,1,6,5,0.4118457718478588
1159,1,6,4,0.4118458164153597
1166,1,6,4,0.4118458164153597
1176,1,6,5,0.4118457718478588
1177,1,6,4,0.4118458164153597
1183,1,6,3,7.05964512409322
1187,0,6,0,0.057045739495029404
1195,1,6,4,0.4118458164153597
1197,1,6,3,5.888768637056124
1210,1,6,1,77.10139360618544
1211,1,6,4,0.4118458164153597
1214,1,6,5,0.4118457718478588
1222,1,6,1,65.52070247825993
1227,1,6,1,76.02131601421756
1230,1,6,5,0.4118457718478588
1258,1,6,1,57.25542406139801
1287,1,6,1,75.63815757696922
1292,1,6,1,46.9013765722445
1300,1,6,4,0.41184582240350426
1302,1,6,4,0.4118458164153597
1305,1,6,5,0.4118457718478588
1306,0,6,0,0.0917636797042558
1314,1,6,5,0.4118457718478588
1315,1,6,5,0.4118457718478588
1319,1,6,1,74.03665839137312
1334,1,6,5,0.4118457718478588
1368,1,6,4,0.4118458164153597
1386,0,6,0,0.02081232675049888
1400,1,6,4,0.4118458164153597
1407,1,6,5,0.4118457718478588
1411,0,6,0,0.051242292605532064
1420,1,6,5,0.4118457718478588
1423,1,6,4,0.4118458164153597
1426,1,6,1,52.942484927322084
1427,1,6,4,0.4118458164153597
1429,1,6,4,0.4118458164153597
1441,0,6,0,0.05124934336951626
1443,1,6,5,0.4118457718478588
1465,1,6,5,0.4118457718478588
1473,1,6,4,0.4118458164153597
1499,1,6,1,73.55458960758726
1515,1,6,2,71.90897983197155
1527,1,6,5,0.4118457718478588
1547,1,6,4,0.4118458164153597
1556,1,6,4,0.4118458164153597
1568,1,6,5,0.4118457718478588
1591,1,6,5,0.4118457718478588
1593,1,6,5,0.4118457718478588
1612,1,6,4,0.4118458164153597
1621,1,6,5,0.4118457667043786
1622,1,6,5,0.4118457667043786
1623,1,6,5,0.4118457718478588
1633,1,6,1,76.11384746748433
1639,1,6,5,0.4118457718478588
1672,1,6,1,52.26851750663529
1683,1,6,1,75.6705204609383
1703,0,6,0,0.045926017381475254
1707,0,6,0,0.04556623969217512
1715,1,6,1,75.97636356743921
1719,1,6,5,0.4118457718478588
1728,0,6,0,0.052435384646142065
1735,1,6,1,68.59619832575271
1737,1,6,4,0.4118458164153597
1738,0,6,0,0.07216288396752914
1740,1,6,3,9.339543344790766
1754,1,6,4,0.4118458164153597
1774,1,6,2,67.75005164067744
1777,1,6,4,0.4118458164153597
1778,1,6,5,0.4118457718478588
1779,1,6,5,0.4118457718478588
1801,1,6,5,0.4118457718478588
1804,1,6,2,61.607031965389744
1809,1,6,1,20.53092721051947
1829,1,6,4,0.4118458164153597
1855,1,6,4,0.4118458164153597
1860,1,6,1,67.98912336472365
1870,1,6,3,9.53074178623617
1880,1,6,4,0.4118458164153597
1882,1,6,3,7.707907157774679
1889,1,6,1,72.67094116614457
1891,1,6,1,45.90188078718633
1909,0,6,0,0.02169588265598506
1926,1,6,5,0.4118457667043786
1947,1,6,4,0.4118458164153597
1955,1,6,4,0.4118458164153597
1961,1,6,4,0.4118458164153597
1964,1,6,4,0.4118458164153597
1972,1,6,5,0.4118457718478588
1980,1,6,5,0.4118457718478588
2004,1,6,5,0.4118457718478588
2015,1,6,1,71.05529798040499
2020,1,6,4,0.4118458164153597
2028,1,6,4,0.4118458164153597
2032,1,6,1,75.95877515898333
2044,1,6,2,46.95317924650313
2049,1,6,5,0.4118457718478588
2051,1,6,4,0.4118458164153597
2062,1,6,5,0.4118457718478588
2075,1,6,4,0.4118458164153597
2076,1,6,1,70.8845220284329
2084,1,6,5,0.4118457718478588
2095,1,6,4,0.4118458164153597
2099,0,6,0,0.0893963921769747
2106,1,6,5,0.4118457718478588
2114,1,6,4,0.4118458164153597
2129,1,6,4,0.4118458164153597
2137,1,6,3,7.439304020898847
2154,1,6,4,0.4118458164153597
2158,1,6,1,75.38468865589752
2177,1,6,5,0.4118457718478588
2190,1,6,5,0.4118457718478588
2191,1,6,4,0.4118458164153597
2196,1,6,1,36.068637329574905
2199,1,6,5,0.4118457667043786
2204,1,6,1,62.19439884550137
2205,1,6,4,0.4118458164153597
2208,1,6,5,0.4118457718478588
2221,1,6,2,73.86644192949606
2227,0,6,0,0.022819057295672386
2234,1,6,4,0.4118458164153597
2241,1,6,5,0.4118457718478588
