Indice,Maligno,Dispositivo,TipologiaAttacco,RMSE:
6,1,6,4,0.13383996067549314
9,1,6,5,0.13383993984175288
14,1,6,3,6.392680043494001
18,1,6,4,0.13383996067549314
45,1,6,5,0.13383993984175288
48,1,6,4,0.13383996067549314
54,1,6,5,0.13383993984175288
68,1,6,4,0.13383996067549314
75,1,6,4,0.13383996067549314
77,0,6,0,0.014602292372613202
84,1,6,3,6.374581002829645
88,1,6,2,32.57109572315673
107,1,6,4,0.13383996067549314
121,1,6,2,29.945684275345734
141,1,6,5,0.13383993984175288
154,1,6,4,0.13383996067549314
155,1,6,5,0.13383993984175288
177,1,6,4,0.13383996067549314
194,1,6,1,44.34051109003296
198,1,6,4,0.13383996067549314
202,1,6,1,30.551723238739065
215,1,6,1,42.419993073375494
225,1,6,5,0.13383993984175288
251,1,6,4,0.13383996067549314
261,1,6,5,0.13383993984175288
269,1,6,1,36.07268286836996
272,1,6,5,0.13383993984175288
281,1,6,4,0.13383996067549314
289,0,6,0,0.01269390383568238
297,1,6,4,0.13383996067549314
304,1,6,4,0.13383995882149222
316,1,6,4,0.13383995882149222
320,1,6,5,0.13383993984175288
323,1,6,5,0.13383993984175288
354,0,6,0,0.027323411515185036
359,1,6,5,0.13383993984175288
377,1,6,1,39.10040545951075
383,1,6,4,0.13383996067549314
385,1,6,5,0.13383993984175288
389,1,6,1,58.681414582279416
400,1,6,4,0.13383996067549314
407,1,6,3,3.9652472571806765
408,0,6,0,0.021280408941591347
413,1,6,4,0.13383996067549314
431,1,6,5,0.13383993984175288
439,1,6,5,0.13383993984175288
449,1,6,4,0.13383996067549314
450,1,6,1,28.412077414450557
451,1,6,1,51.58947209866503
476,1,6,4,0.13383996067549314
481,1,6,3,7.199766827253963
485,1,6,4,0.13383996067549314
486,1,6,4,0.13383996067549314
502,0,6,0,0.0323359630529027
503,1,6,5,0.13383993984175288
506,1,6,4,0.13383996067549314
515,1,6,5,0.13383993984175288
518,1,6,4,0.13383996067549314
544,1,6,5,0.13383993984175288
549,1,6,4,0.13383996067549314
553,1,6,1,50.2630030606209
558,1,6,4,0.13383996067549314
559,1,6,5,0.13383994482904085
562,1,6,5,0.13383994482904085
568,1,6,3,5.859537070024823
575,1,6,4,0.13383996067549314
580,1,6,4,0.13383996067549314
583,1,6,5,0.13383993984175288
590,1,6,5,0.13383993984175288
598,1,6,2,41.22282759904892
600,1,6,5,0.13383993984175288
619,1,6,4,0.13383996067549314
673,1,6,1,50.8514270819343
679,1,6,1,43.04802910510137
690,1,6,4,0.13383996067549314
726,1,6,4,0.13383996067549314
728,1,6,5,0.13383993984175288
735,1,6,3,3.825894971464058
746,0,6,0,0.00927714594641798
749,1,6,2,40.031518299600016
754,1,6,5,0.13383993984175288
758,1,6,1,38.94225213039787
765,1,6,3,5.798691160372638
767,0,6,0,0.01606209095676806
771,1,6,2,38.92810380701866
776,1,6,3,7.03171046141391
794,1,6,5,0.13383993984175288
811,1,6,1,47.04817743704047
824,1,6,5,0.13383993984175288
827,1,6,4,0.13383996067549314
875,1,6,4,0.13383996067549314
889,1,6,2,17.208802904553487
907,0,6,0,0.02583020771576286
911,1,6,4,0.13383996067549314
915,1,6,4,0.13383995882149222
917,1,6,5,0.13383994482904085
919,1,6,4,0.13383996067549314
923,0,6,0,0.045563660577774036
936,1,6,1,34.45416224305853
941,1,6,3,7.354585920354713
943,1,6,5,0.13383993984175288
944,1,6,1,49.060908347804315
954,0,6,0,0.024772817708095765
955,1,6,4,0.13383996067549314
963,1,6,1,56.34345474669788
983,1,6,4,0.13383996067549314
1009,1,6,1,59.22804754088461
1026,1,6,4,0.13383996067549314
1030,1,6,1,45.32422377618297
1060,1,6,5,0.13383993984175288
1066,1,6,2,35.01599670380985
1077,0,6,0,0.18685552773958541
1085,1,6,5,0.13383993984175288
1087,1,6,1,52.430204311356846
1100,1,6,4,0.13383996067549314
1113,1,6,5,0.13383993984175288
1115,1,6,4,0.13383996067549314
1119,0,6,0,0.015389893345508776
1130,1,6,4,0.13383996067549314
1132,0,6,0,0.012808865085117877
1134,1,6,4,0.13383996067549314
1135,0,6,0,0.019983677411167935
