Indice,Maligno,Dispositivo,TipologiaAttacco,RMSE:
18,1,7,7,3.92024771280082
19,1,7,8,41.81901245897079
25,1,7,8,28.333686946244047
27,0,7,0,0.04073740751870711
75,1,7,4,0.42312351922893127
77,1,7,8,21.37191758299978
89,1,7,7,8.4504850762257
92,1,7,9,39.110273320476765
99,1,7,10,11.104798498452372
107,1,7,8,34.92712012205962
121,1,7,1,29.899848022274263
145,1,7,8,37.113402010574006
152,1,7,9,36.80099701406976
158,1,7,4,0.42312351922893127
165,1,7,8,16.63065998977335
167,1,7,7,8.276083580165267
170,0,7,0,0.040011989363248145
191,1,7,4,0.42312351922893127
231,1,7,9,18.379469498270485
232,1,7,6,33.168124316315165
233,1,7,6,27.710341441446843
235,1,7,10,16.893420208717718
251,1,7,4,0.42312351922893127
277,1,7,9,17.934680117671842
293,1,7,10,16.184629926988777
295,1,7,5,0.423123468221425
298,1,7,9,40.401094321318624
301,1,7,9,40.93073377953051
310,1,7,4,0.42312351922893127
314,1,7,10,19.716929767993786
315,1,7,8,23.433553548630854
328,1,7,5,0.4231234469648335
342,1,7,5,0.423123468221425
350,1,7,4,0.42312351922893127
352,1,7,5,0.423123468221425
370,1,7,8,30.12783947684647
377,1,7,6,24.817638356848178
381,1,7,6,37.99125287058196
387,1,7,5,0.423123468221425
401,1,7,6,31.047502494257614
406,1,7,4,0.42312351922893127
407,1,7,1,23.465631006324784
418,1,7,2,17.01559049809909
427,1,7,5,0.423123468221425
431,1,7,1,11.38305253027865
438,1,7,9,38.45816086149721
440,1,7,4,0.42312351922893127
448,1,7,8,4.857728000657995
456,1,7,6,36.603854132739414
458,1,7,3,4.044499473833546
462,1,7,8,24.490101814617258
476,1,7,1,22.006896321560276
478,1,7,6,20.986371882009674
484,1,7,8,25.01707234911449
488,1,7,10,23.455620965078072
509,1,7,9,32.488292793933574
518,1,7,4,0.42312351922893127
539,1,7,8,14.495631333756844
562,1,7,10,13.91276159509327
568,1,7,3,2.7874775381764745
570,1,7,9,29.187165426186095
585,1,7,5,0.423123468221425
590,1,7,9,20.20155220559115
594,1,7,5,0.4231234469648335
599,1,7,8,43.84366516743619
600,1,7,6,19.72683693868819
601,1,7,4,0.42312351922893127
602,1,7,5,0.423123468221425
605,1,7,6,21.57193390141421
609,1,7,6,8.10984586417345
611,1,7,3,3.643418104352179
642,1,7,10,11.640042097623837
653,1,7,10,19.69500904311824
671,1,7,10,19.321839810867314
700,1,7,5,0.423123468221425
709,1,7,4,0.42312351922893127
712,1,7,7,3.6475635627507508
724,1,7,9,34.22404436286736
729,1,7,3,4.577020867326737
735,1,7,8,26.129701725556103
753,1,7,3,4.8419715615447245
761,1,7,5,0.423123468221425
771,1,7,5,0.423123468221425
785,1,7,1,9.394343882950674
798,1,7,1,28.11918524205991
799,1,7,5,0.423123468221425
806,1,7,5,0.423123468221425
809,1,7,5,0.423123468221425
820,1,7,1,24.90920072297115
834,1,7,10,14.568246528063876
874,1,7,7,8.628693796509383
877,1,7,9,12.341934630484742
898,1,7,8,31.418952974588773
906,1,7,10,25.688280045880582
917,1,7,1,27.20511065672928
934,0,7,0,0.047956316470030805
946,1,7,8,7.731965681252869
973,1,7,6,8.104704969356357
980,0,7,0,0.05022727249774214
981,1,7,5,0.423123468221425
1019,1,7,4,0.42312351922893127
1020,1,7,6,22.899258254465757
1028,1,7,9,21.479603056078457
1043,1,7,9,25.760832234301454
1063,1,7,7,9.473918723018889
1068,1,7,5,0.423123468221425
1073,1,7,5,0.423123468221425
1083,1,7,6,9.199671182885524
1086,1,7,5,0.423123468221425
1092,1,7,9,34.57636717778981
1116,1,7,8,26.64897232184702
1120,1,7,5,0.423123468221425
1132,1,7,7,1.462085881448629
1133,1,7,6,27.429375612010638
1139,1,7,5,0.423123468221425
1145,1,7,8,37.452679530382916
1176,1,7,9,33.653543922461104
1187,1,7,7,2.2072783261629394
1203,1,7,5,0.423123468221425
1216,1,7,9,32.29386466589368
1218,1,7,5,0.423123468221425
1226,1,7,1,31.0242399329868
1228,1,7,10,14.285558507491505
1236,1,7,4,0.42312351922893127
1248,1,7,6,32.55878781467148
1259,0,7,0,0.0223790597153116
1286,1,7,5,0.4231234469648335
1296,1,7,10,32.19746458048374
1334,1,7,7,1.4932816003817595
1336,1,7,6,30.255759156400075
1339,1,7,8,33.26211644485491
1350,1,7,1,11.581612232687842
1360,1,7,6,9.270157859127567
1362,1,7,10,8.383373572319211
1370,1,7,3,2.3538312687434555
1381,1,7,4,0.42312351922893127
1392,1,7,10,8.148826315592549
1396,1,7,9,38.13696588924908
1406,1,7,4,0.42312351922893127
1448,1,7,9,27.42949939991747
1454,1,7,4,0.42312351922893127
1459,1,7,8,30.352403752624415
1470,1,7,6,36.60695237961001
1484,1,7,8,11.842056578560104
1488,1,7,2,6.969335469099187
1496,1,7,10,23.341277549714476
1499,1,7,10,25.692239601909993
1507,1,7,10,12.828511540306517
1518,1,7,9,34.00383738298382
1520,1,7,6,29.309012705969987
1522,1,7,6,31.296498432732296
1540,1,7,9,38.90873006448628
1542,1,7,9,32.765799982312075
1548,1,7,9,32.386530551561066
1553,1,7,9,7.122887773383014
1583,1,7,10,19.111286100127902
1591,1,7,8,43.030881077648885
1592,1,7,10,27.42869741366893
1602,1,7,8,31.942761445191355
1604,0,7,0,0.0430209543857072
1616,1,7,9,40.12066678447263
1621,1,7,5,0.423123468221425
1623,1,7,10,23.113674862943633
1628,1,7,5,0.423123468221425
1639,1,7,5,0.423123468221425
1641,1,7,7,4.2263253781437
1642,1,7,6,24.83198651164979
1649,1,7,9,32.52592105645718
1656,0,7,0,0.05011287588190513
1666,1,7,2,19.0079882723237
1669,0,7,0,0.04036189956380871
1673,1,7,8,27.12226098050095
1690,1,7,4,0.42312351922893127
1692,1,7,8,14.137635952001412
1712,1,7,1,25.877211377213598
1716,1,7,9,41.77144568719492
1723,0,7,0,0.0453012217598382
1726,1,7,9,37.932145677926464
1727,0,7,0,0.04669044397944565
1731,1,7,6,32.253479964125816
1785,1,7,9,36.18339532951819
1795,1,7,7,5.70203566443338
1800,1,7,7,2.2167404482366044
1815,1,7,6,27.897216571783527
1816,1,7,6,27.407126227995878
1822,1,7,8,32.72947350836871
1830,1,7,8,20.01592487658592
1834,1,7,9,6.848415499532956
1835,1,7,5,0.423123468221425
1845,1,7,8,7.744411112045064
1846,1,7,1,32.38400901157711
1852,1,7,7,4.48653233102048
1855,1,7,2,16.439254324542222
1861,1,7,3,3.662971393705709
1862,1,7,6,28.002274866588955
1885,0,7,0,0.05038057472272331
1887,1,7,5,0.423123468221425
1904,1,7,2,15.551746402249165
1912,1,7,4,0.42312351922893127
1918,1,7,5,0.423123468221425
1934,1,7,1,28.63344912760453
1937,1,7,9,36.892196404829875
1938,1,7,6,35.427387475503146
1941,1,7,8,40.35825566804701
1948,1,7,6,21.17293100767008
1956,1,7,10,15.715413825023148
1957,1,7,8,40.43152243788004
1968,1,7,8,11.822217441050592
1984,1,7,2,5.153832753539213
1999,1,7,8,33.817280912952924
2006,1,7,8,41.92404716619443
2022,1,7,9,29.04409559796657
2077,1,7,6,25.94669745303011
2081,1,7,6,24.190806706842032
2084,1,7,9,24.750504003645105
