Indice,Maligno,Dispositivo,TipologiaAttacco,RMSE:
5,1,8,5,0.35962235688934857
16,1,8,4,0.35962236318369756
21,1,8,4,0.35962236318369756
25,1,8,9,36.461814691821985
30,1,8,8,97.16531092288598
35,1,8,6,71.19420085310949
37,1,8,9,161.99200051047973
41,1,8,5,0.35962235688934857
45,1,8,10,123.04456388838567
51,1,8,5,0.35962235688934857
53,1,8,5,0.35962235688934857
77,1,8,3,15.763729360613164
81,1,8,7,12.452340131740717
85,1,8,9,63.863467033389526
99,1,8,10,79.29902378367285
125,1,8,8,77.18902530324091
132,1,8,9,135.19883015210658
143,1,8,4,0.35962236318369756
147,1,8,5,0.35962235688934857
154,1,8,1,108.48835406859605
157,1,8,5,0.35962235688934857
158,1,8,8,140.68288730443473
163,1,8,8,93.65472614777129
167,0,8,0,0.11676887152593202
208,1,8,8,105.77781548846083
220,1,8,10,42.12237192964522
233,1,8,9,65.22226417163641
237,1,8,4,0.35962236318369756
254,1,8,10,100.82268460881832
259,1,8,7,14.043015027707225
266,1,8,7,0.6351182179400041
268,1,8,9,123.82266197256284
269,1,8,8,72.77350616431315
271,1,8,5,0.35962235688934857
281,1,8,5,0.35962235688934857
288,1,8,6,94.22817355970992
292,1,8,6,38.538053057576484
293,1,8,10,37.08469729919914
295,1,8,9,149.63232204142514
299,1,8,6,56.08801555928069
310,1,8,9,100.36681844386538
313,0,8,0,0.16352778661900344
315,1,8,5,0.35962235688934857
317,1,8,9,98.16525148527411
357,1,8,6,122.77254624850727
384,1,8,6,136.2925677644477
415,1,8,7,26.99499245424922
416,1,8,7,15.984440701481958
437,0,8,0,0.20682350098769872
463,1,8,9,106.42179312763136
464,0,8,0,0.23576090192447902
467,1,8,8,121.9067143619184
493,1,8,8,115.1128083955187
510,1,8,10,16.662032674394435
516,1,8,5,0.35962235688934857
534,1,8,4,0.35962236318369756
552,1,8,9,105.31449326055477
558,1,8,5,0.35962235688934857
560,1,8,4,0.35962236318369756
569,1,8,5,0.35962235688934857
581,1,8,6,33.825872146375175
596,1,8,8,78.99280119946293
597,1,8,3,14.661973673090634
606,1,8,9,153.47174641619557
608,1,8,9,110.80167421258787
613,1,8,10,52.54455718896954
629,1,8,3,11.006462132280086
631,1,8,8,66.75062741118758
652,1,8,4,0.35962236318369756
657,1,8,4,0.35962236318369756
664,1,8,5,0.35962235688934857
670,1,8,5,0.35962235688934857
673,1,8,9,152.73810536404127
681,1,8,4,0.35962236318369756
687,1,8,10,115.1498103859928
698,1,8,9,78.10311383686417
699,1,8,8,169.10500795357893
709,1,8,6,69.67515023019365
723,1,8,4,0.35962236318369756
725,1,8,8,51.491458740150186
733,1,8,4,0.35962235688934857
736,1,8,5,0.35962235688934857
744,1,8,10,78.30478087737498
746,1,8,2,90.98859459125163
768,1,8,5,0.35962235688934857
773,1,8,10,106.67090136437153
784,1,8,4,0.35962236318369756
786,1,8,7,25.438152062934485
801,1,8,5,0.35962235688934857
804,1,8,6,77.38998081234443
812,1,8,8,77.09785271609152
819,1,8,8,114.87933995745627
821,1,8,9,67.31918009879068
850,1,8,8,101.17532817259827
859,1,8,1,114.26334907835616
864,1,8,10,38.647706301838646
865,1,8,10,122.81927865516893
