Indice,Maligno,Dispositivo,TipologiaAttacco,RMSE:
7,1,8,1,78.72201487094473
15,1,8,4,0.2765955777813994
48,1,8,6,151.83479206305356
62,1,8,9,104.71369575162247
63,1,8,8,144.1844211860274
68,1,8,8,196.90423496656848
75,1,8,7,33.89924788781823
85,1,8,8,86.57140136560157
90,1,8,7,4.639310105627234
100,1,8,9,129.8057598915178
122,1,8,5,0.2765955651305971
123,1,8,3,14.458731653971787
125,1,8,6,160.49144835205627
138,1,8,9,122.44958324548287
143,1,8,8,70.92668976032495
184,1,8,2,38.14235985723021
211,1,8,2,93.5421298298008
216,1,8,9,186.24376365053334
222,1,8,9,106.18657868686441
233,1,8,9,129.88100404010976
234,1,8,6,119.30390095090179
238,1,8,4,0.2765955777813994
239,1,8,9,163.9724603721065
240,1,8,8,184.7398190967629
244,1,8,5,0.2765955651305971
253,1,8,8,127.16677283494609
254,1,8,6,129.34661952607394
257,1,8,5,0.2765955651305971
260,1,8,8,114.31071830639775
294,1,8,9,96.43982205047769
295,1,8,10,137.8163621594674
297,1,8,8,121.16460322610841
318,1,8,6,146.8194095020416
321,1,8,10,111.5146529729786
338,1,8,10,138.43344821223712
341,1,8,9,67.6501640620241
361,1,8,10,106.03933585814548
372,1,8,8,176.09533132145205
411,1,8,9,182.01541969332752
434,0,8,0,0.08054075846265454
444,1,8,6,119.57203797906296
448,1,8,10,24.962174202535337
458,1,8,5,0.2765955651305971
459,1,8,6,132.0041409870198
467,1,8,10,63.22749535044776
473,1,8,5,0.2765955651305971
478,1,8,4,0.2765955651305971
488,1,8,6,81.48762768406958
492,1,8,4,0.2765955777813994
494,1,8,8,133.22197514425338
499,1,8,5,0.2765955651305971
504,1,8,7,37.499596637826166
510,0,8,0,0.05171416892913464
515,0,8,0,0.04326579723476099
541,1,8,6,122.5415996585933
544,1,8,9,152.7890982196069
545,1,8,9,152.85784785162087
559,1,8,10,45.45880881848981
562,1,8,9,160.80744657604689
589,1,8,8,47.380252931897466
612,1,8,7,27.71799664962154
630,1,8,10,66.44031857834437
631,1,8,4,0.27659559967597297
645,1,8,10,138.9448431128467
672,1,8,3,19.883552079577164
675,1,8,4,0.2765955777813994
695,1,8,4,0.2765955777813994
699,0,8,0,0.05036892607161651
716,1,8,6,134.4279755317418
729,0,8,0,0.0540428462155301
730,1,8,3,20.48443568237663
736,1,8,10,19.826065176532683
749,1,8,7,30.15928657370682
778,1,8,4,0.2765955777813994
782,1,8,10,44.0662658966918
787,1,8,10,62.22371385898041
800,1,8,7,38.12995960228107
820,1,8,4,0.2765955777813994
822,1,8,1,67.53792786903968
836,1,8,8,70.88481790218728
857,1,8,2,93.0205335040828
869,1,8,2,108.04903968018144
894,1,8,4,0.2765955777813994
896,1,8,10,69.27148797591806
897,1,8,6,78.93236854796625
924,1,8,9,104.44834748611558
925,1,8,8,164.94237692459504
928,1,8,5,0.2765955651305971
930,1,8,9,143.80862759855918
953,1,8,7,12.010558454383139
962,1,8,6,65.28337769699415
963,1,8,3,9.174804223515883
968,1,8,10,111.17028217497011
978,1,8,4,0.2765955777813994
994,1,8,1,143.28249013387858
999,1,8,7,28.370480131912192
1016,1,8,9,109.09661529290466
1084,1,8,5,0.2765955651305971
1102,0,8,0,0.05925372573903466
1107,1,8,8,85.74042473565622
1111,1,8,8,197.0724624897749
1120,1,8,1,27.68173909664379
1130,1,8,7,26.168819803957312
1133,1,8,4,0.2765955777813994
1155,1,8,9,159.25388164249497
1165,1,8,10,115.28763134813116
1166,1,8,8,154.8854938023128
1173,1,8,9,44.360237190721335
1185,1,8,8,159.9389253785996
1195,1,8,3,11.075997968663156
1198,1,8,8,85.37357919197272
1208,1,8,10,95.86328101817043
1221,1,8,6,127.94254657098269
1228,1,8,8,159.21380146159782
1232,1,8,7,23.436798383837214
1247,1,8,5,0.2765955651305971
1249,1,8,7,34.84685879886217
1274,1,8,4,0.2765955777813994
1282,1,8,9,148.47930467896336
1290,1,8,6,95.49286138111893
1296,1,8,9,172.7545152564479
1314,1,8,9,98.02513296014692
1316,1,8,5,0.2765955651305971
1318,1,8,2,44.04894397991209
1330,1,8,6,83.6203562564029
1356,0,8,0,0.20752920705866348
1362,1,8,8,148.99540552094857
1399,1,8,8,54.25373144536726
1409,1,8,5,0.2765955651305971
1411,1,8,6,73.15680824753781
1414,1,8,5,0.2765955651305971
1429,1,8,9,104.28397346544139
1430,1,8,5,0.2765955651305971
1439,1,8,5,0.2765955651305971
1456,1,8,8,115.48801161397806
1473,1,8,6,98.86959766391605
1480,1,8,10,29.12478208969071
1495,1,8,1,123.87092031925883
1519,1,8,9,160.4045558952198
1541,1,8,8,93.99768002817233
1543,1,8,6,137.27266415722568
1549,1,8,9,150.79560554472954
1554,1,8,7,38.47245572918528
1558,1,8,4,0.2765955777813994
1559,1,8,9,177.72012428405372
1593,1,8,7,20.12305130143577
1598,1,8,10,35.140960705912356
1602,1,8,8,112.7302447111711
1613,1,8,9,145.8702848101513
1620,1,8,6,29.77763077761058
1625,1,8,6,120.42641022766772
1631,1,8,8,149.96451963548063
1632,1,8,5,0.2765955651305971
1636,1,8,6,133.43527648414207
1642,1,8,2,85.49391523790624
1644,1,8,9,91.26443388864779
1646,1,8,10,81.99397628758089
1647,1,8,8,183.78669995313177
1648,1,8,8,194.7222920454019
1655,1,8,4,0.27659559967597297
1657,1,8,8,89.25058612428086
1671,1,8,10,101.11001963510593
1674,1,8,1,112.93674586506135
1682,0,8,0,0.06443190871168648
1689,1,8,7,24.229793584367155
1713,1,8,2,72.3566607945463
1719,1,8,8,114.47147811766521
1721,1,8,9,117.74352240665432
1740,1,8,8,122.6191993167018
1745,1,8,4,0.2765955777813994
1752,1,8,8,196.47829717514168
1756,1,8,8,122.7992225196721
1758,1,8,1,116.59016335321762
1759,1,8,5,0.2765955651305971
1772,1,8,4,0.2765955777813994
1777,1,8,6,100.68598467159772
1784,1,8,9,157.05675852332578
1785,0,8,0,0.04607424802871553
1788,1,8,6,50.53667453022141
1790,1,8,8,97.68746187733574
1796,1,8,9,144.31150460622567
1798,1,8,4,0.2765955777813994
1799,1,8,9,135.54507148311075
1820,1,8,5,0.2765955651305971
1839,1,8,8,141.40914810340394
1840,1,8,6,72.02932851543507
1855,1,8,4,0.2765955777813994
1858,1,8,1,152.967601873773
1861,1,8,9,172.73672602306772
1870,1,8,1,54.28227684831846
1881,1,8,5,0.2765955646167444
1890,1,8,5,0.2765955646167444
1906,1,8,5,0.2765955651305971
1920,1,8,5,0.2765955651305971
1928,1,8,10,105.97959213921936
1939,1,8,2,88.00728924888753
1945,1,8,5,0.2765955651305971
1960,1,8,8,176.28855195525384
1969,1,8,9,176.5218455097771
1994,1,8,7,24.232121966442364
1996,1,8,6,71.92027596256099
2013,1,8,9,159.7043628785893
2023,1,8,9,74.49568850636224
2037,1,8,4,0.2765955777813994
2058,1,8,9,171.71570883034198
2062,1,8,1,53.887331655723415
2065,1,8,10,14.062963475908989
2067,1,8,5,0.2765955651305971
2083,1,8,8,148.73500318022818
2084,1,8,1,125.59166596260864
2089,1,8,5,0.2765955651305971
2095,1,8,8,105.81244155361571
2112,1,8,8,99.77659595104976
2116,1,8,4,0.2765955777813994
2128,1,8,4,0.2765955777813994
2135,1,8,6,140.76446741285116
2136,1,8,4,0.2765955777813994
2166,1,8,6,146.90834697808333
2203,0,8,0,0.05037033584540616
2207,1,8,8,79.59902019574554
2208,1,8,6,121.7495321110579
2217,1,8,10,67.81967802895421
2235,1,8,7,38.313431901821794
2239,1,8,6,159.01887452304933
2266,1,8,5,0.2765955651305971
2267,1,8,6,109.5032313732614
2290,1,8,8,72.55716242956692
2291,1,8,4,0.2765955777813994
2305,1,8,8,132.94697060521
2314,1,8,4,0.2765955777813994
2322,1,8,4,0.2765955777813994
2326,1,8,6,122.43066759442449
2327,1,8,10,111.08713010877874
2338,1,8,9,71.14219951535925
2340,1,8,6,153.0756276563348
2359,1,8,6,123.42099519767356
2366,1,8,5,0.2765955651305971
2381,1,8,4,0.2765955777813994
2387,1,8,8,142.71164768552225
2395,1,8,6,54.99743928684561
2397,1,8,10,102.2156207101151
2399,1,8,8,162.8104631363005
2414,1,8,9,166.68608382940775
2424,1,8,9,39.87564310403805
2433,1,8,9,113.51661515053765
2434,1,8,9,150.75887403494397
2444,1,8,4,0.2765955777813994
2449,1,8,9,58.48541755134193
2450,1,8,6,154.45361652377687
2470,1,8,10,108.00263946624094
2481,1,8,10,103.75689180105375
2484,1,8,2,80.79386483336373
2492,1,8,3,20.949142005007424
2498,1,8,6,79.2198631942908
2512,1,8,1,160.75157261455658
2530,1,8,10,92.64329761292052
2538,1,8,8,177.0435620462672
2548,1,8,6,152.39489190291619
2549,1,8,5,0.2765955651305971
2556,1,8,5,0.2765955651305971
2559,1,8,8,153.86292860197335
2560,1,8,8,142.1215446293632
2584,1,8,9,103.49625554676314
2586,1,8,7,17.790836228200718
2589,1,8,5,0.2765955651305971
2598,1,8,9,147.9433902252697
2611,1,8,8,119.08468002839524
2624,1,8,6,82.08607445481105
2637,1,8,9,108.85224101015419
2645,1,8,9,106.70245164126146
2651,1,8,7,38.28387685716417
2654,1,8,10,87.51524859833887
2665,1,8,9,50.79357129709509
2708,1,8,9,135.01873189865543
2760,1,8,4,0.2765955777813994
2761,1,8,4,0.2765955777813994
2780,1,8,10,99.64819355976628
2792,1,8,1,58.65968429241891
2793,1,8,9,99.62382925527041
2800,1,8,3,11.580202735006882
2834,1,8,5,0.2765955651305971
2854,1,8,5,0.2765955651305971
2859,1,8,9,165.91729286165256
2868,1,8,2,85.39053397843352
2872,1,8,1,120.45321969914012
2883,1,8,8,125.97231910517702
2885,1,8,8,196.7325467701553
2889,0,8,0,0.04791139556608771
2891,1,8,6,128.25275233196635
2898,1,8,8,181.3216455543682
2929,1,8,8,86.81561348144488
2933,1,8,5,0.2765955651305971
2956,1,8,9,69.01060872249992
2982,1,8,5,0.2765955651305971
2994,1,8,8,88.19351808326459
3001,1,8,6,72.47235992929569
3009,1,8,7,8.590363856131113
3016,1,8,9,124.68042123734241
3021,1,8,9,108.56229932994677
3039,1,8,7,35.65158869691707
3055,1,8,2,41.01742640931849
3058,1,8,4,0.2765955777813994
3061,1,8,9,81.876841012527
3071,1,8,10,77.51427741719438
3077,1,8,9,147.6746392489591
3085,1,8,3,11.470639170607832
3087,1,8,5,0.2765955651305971
3089,1,8,7,37.771983302433696
3109,1,8,6,106.29102444625696
3116,1,8,8,83.82229958623616
3117,1,8,9,96.87145215375311
3121,1,8,8,99.599144843223
3122,1,8,10,86.71998045717402
3145,1,8,8,72.61463226985902
3149,1,8,9,152.67170066145846
3153,1,8,1,129.42302046972583
3161,1,8,1,139.46083044528572
3173,1,8,5,0.2765955651305971
3176,1,8,4,0.27659559967597297
3182,1,8,5,0.2765955646167444
3187,1,8,9,162.74656758614765
3189,1,8,4,0.2765955777813994
3199,1,8,8,114.58225436219851
3215,1,8,8,81.822511738019
3217,1,8,9,134.38903346759355
3225,1,8,7,19.778211381045917
3239,1,8,8,56.229740590458796
3250,1,8,7,30.643147915624127
3253,1,8,5,0.2765955651305971
3270,1,8,3,20.59550011158092
3271,1,8,1,111.87899691891252
3272,1,8,5,0.2765955651305971
3293,1,8,2,92.62145104899533
3329,1,8,9,134.78345125036006
3331,0,8,0,0.05444894105140047
3332,1,8,9,76.23045912558088
3339,1,8,10,130.30394277660386
3341,1,8,9,145.3920500948315
3351,1,8,8,81.33138295530526
3371,1,8,4,0.2765955777813994
3381,1,8,5,0.2765955651305971
3385,1,8,4,0.2765955777813994
3391,1,8,1,160.2658961305551
3397,1,8,1,71.81062202455671
3404,0,8,0,0.10040075022612624
3407,1,8,5,0.2765955651305971
3412,1,8,9,139.57335397425402
3421,1,8,3,19.341409180578783
3439,1,8,10,71.93174852866998
3442,1,8,8,120.4163232248838
3444,1,8,5,0.2765955646167444
3454,1,8,4,0.27659559967597297
3469,1,8,6,125.68567185754922
3474,1,8,9,172.36196317035996
3501,1,8,10,60.76898869643514
3504,1,8,7,14.791130955859405
3538,1,8,1,138.83516051779154
3545,1,8,8,113.78577071658977
3560,1,8,8,195.77314856722688
3578,1,8,2,75.57676779591479
3588,1,8,4,0.2765955651305971
3595,1,8,6,150.50659814722778
3625,1,8,1,35.2186741243377
3626,1,8,4,0.2765955777813994
3644,1,8,4,0.2765955777813994
3650,1,8,1,102.95566309092686
3655,1,8,9,179.36111399765252
3661,1,8,8,158.79141142987044
3663,1,8,10,140.37308853775872
3667,1,8,9,56.66711084022422
3669,1,8,5,0.2765955651305971
3677,1,8,9,133.91036917294988
3694,1,8,5,0.2765955651305971
3713,1,8,5,0.2765955651305971
3717,1,8,6,79.92554310460294
3727,1,8,8,54.33217809389211
3739,1,8,10,117.2785812043106
3743,1,8,9,108.64426076478121
3744,1,8,9,97.41148138763
3756,1,8,1,43.144759643036565
3757,1,8,10,133.30273494408814
3758,1,8,9,156.07801746826976
3759,1,8,1,118.61711861809165
3762,1,8,5,0.2765955646167444
3767,1,8,9,74.15404874090743
3778,1,8,4,0.2765955777813994
3781,1,8,6,118.19395354747233
3789,1,8,10,90.14989332325302
3800,1,8,6,117.67988961360633
3802,1,8,9,176.30462292774968
3803,1,8,7,37.3037485683619
3833,1,8,4,0.2765955777813994
3845,1,8,3,18.704634754380795
3850,1,8,5,0.2765955651305971
3854,1,8,5,0.2765955651305971
3862,1,8,6,115.04739826156823
3871,1,8,4,0.2765955777813994
3878,1,8,4,0.2765955777813994
3882,1,8,2,31.866851716555075
3892,1,8,10,93.64741492036515
3918,1,8,9,132.17340878930867
3920,1,8,9,144.80857014937786
3922,1,8,4,0.2765955777813994
3930,1,8,7,28.146773352684843
3948,1,8,8,107.60088560170598
3953,1,8,9,136.93865788621753
3954,1,8,3,21.095397449365443
3955,1,8,2,58.161536072928065
3957,0,8,0,0.06061761886211931
3972,1,8,9,178.2084250989945
3998,1,8,5,0.2765955651305971
4002,1,8,6,102.6798068266404
4003,1,8,2,58.15225947957656
4013,1,8,8,159.6417676358893
4035,1,8,4,0.27659559967597297
4038,1,8,2,91.53792429488247
4060,1,8,10,20.88238047462114
4061,1,8,1,76.62652461842968
4113,1,8,9,109.37892662011203
4126,0,8,0,0.06119318594841767
4152,1,8,4,0.2765955777813994
4167,1,8,9,174.40506401181472
4215,1,8,4,0.2765955777813994
4220,1,8,10,96.70373980509312
4228,1,8,4,0.2765955777813994
4241,1,8,8,71.7392696989677
4247,1,8,2,58.40488912537573
4257,1,8,4,0.2765955777813994
4260,1,8,5,0.2765955651305971
