Indice,Maligno,Dispositivo,TipologiaAttacco,RMSE:
16,1,8,10,26.051915257596033
18,1,8,9,183.03938680754578
21,1,8,10,155.6801520366969
22,1,8,6,134.83507029160577
44,1,8,5,0.2884950415054948
55,1,8,10,116.92446805175757
65,1,8,9,59.372453172546265
70,1,8,5,0.2884950415054948
79,1,8,6,133.07121988571828
80,1,8,9,153.38781617950357
83,1,8,1,104.47689245656258
95,1,8,10,31.012853524996856
98,1,8,7,37.29301644463237
99,1,8,8,155.4786800104966
102,1,8,8,153.53493687588218
105,1,8,7,19.030883670997493
113,1,8,3,16.46196371921123
175,1,8,5,0.2884950415054948
186,1,8,9,136.0553818070827
194,1,8,8,104.73870357979101
207,1,8,8,135.06703073595534
209,1,8,5,0.2884950415054948
217,1,8,9,96.02032407104676
247,1,8,5,0.2884950415054948
263,1,8,7,4.708265480109699
267,1,8,10,72.68313471908613
272,1,8,1,65.78995149639769
276,1,8,8,53.4008649079312
277,1,8,9,110.99927472896438
284,1,8,3,21.70503328177631
286,1,8,8,202.15066196663346
290,1,8,10,38.67909842626173
293,1,8,9,109.10847238262257
298,1,8,10,54.022379015655765
307,1,8,4,0.2884950644572422
316,1,8,8,164.09014584286095
323,1,8,9,87.41307810861016
342,1,8,1,145.2373555530909
354,1,8,6,87.65039067713896
357,1,8,2,97.13980763584485
364,1,8,5,0.2884950415054948
378,1,8,5,0.2884950415054948
389,1,8,1,87.33854317023408
396,1,8,1,106.58618005963118
409,1,8,5,0.2884950415054948
417,1,8,3,14.169967680344614
427,1,8,6,64.77895298169281
430,1,8,9,146.85154893424192
431,1,8,8,130.65660824640392
446,1,8,7,19.87981849711621
454,1,8,3,21.229072413175118
502,1,8,4,0.2884950644572422
516,1,8,4,0.2884950644572422
522,1,8,4,0.2884950644572422
524,1,8,5,0.2884950415054948
531,1,8,5,0.2884950415054948
542,1,8,9,191.93226186341641
546,1,8,10,73.86122881302146
557,1,8,8,129.73718419039702
560,1,8,7,13.772903876816194
564,1,8,10,111.25401278943478
575,1,8,6,177.45229139410839
579,1,8,5,0.2884950455997543
586,1,8,10,114.0201876988121
597,1,8,6,163.72942711160897
606,1,8,9,141.74123562973597
611,1,8,2,113.17476289465398
614,1,8,9,46.6662148419341
617,1,8,1,174.71043670739647
627,1,8,10,107.36321270317214
654,1,8,1,58.61614291128809
657,1,8,5,0.2884950415054948
665,1,8,6,123.88730116870275
670,1,8,2,95.04768150708
683,1,8,2,68.37517165196944
689,1,8,10,33.14796847418007
690,1,8,5,0.2884950415054948
701,1,8,10,36.668424600264785
714,1,8,4,0.2884950644572422
718,1,8,1,147.4847813250482
738,1,8,8,133.20359153312205
743,1,8,9,150.97197379458314
748,1,8,10,95.10523223022588
757,1,8,1,155.78336244379366
763,1,8,10,99.7317187415703
771,1,8,1,142.7946064928132
780,1,8,4,0.2884950644572422
793,1,8,8,160.67812360541149
801,1,8,8,209.6268503516153
814,1,8,4,0.2884950644572422
821,1,8,6,57.10142365320635
847,1,8,5,0.2884950415054948
867,1,8,10,74.75291895478253
870,0,8,0,0.07176498873244212
875,1,8,10,41.067711077929374
876,1,8,4,0.28849506696787247
889,1,8,10,70.74903683090793
910,1,8,8,76.8892489412093
