Indice,Maligno,Dispositivo,TipologiaAttacco,RMSE:
33032,0,0,0,0.02403936389461325
33033,0,0,0,0.03642497984286182
33034,0,0,0,0.07586243528139695
33035,0,0,0,0.03499291229363516
33036,0,0,0,0.026717186306216664
33037,0,0,0,0.027927682324481173
33038,0,0,0,0.039272719267887925
33039,0,0,0,0.03632672858707008
33040,0,0,0,0.07178800657116412
33041,0,0,0,0.036453666308967674
33042,0,0,0,0.017074497275226752
33043,0,0,0,0.041393343204297495
33044,0,0,0,0.0561127236897261
33045,0,0,0,0.02753647689423816
33046,0,0,0,0.056735975639456704
33047,0,0,0,0.04817571148678685
33048,0,0,0,0.038729516555989614
33049,0,0,0,0.031083232759074503
33050,0,0,0,0.043192379506375736
33051,0,0,0,0.028463002109883263
33052,0,0,0,0.023194008473576822
33053,0,0,0,0.028863697333669787
33054,0,0,0,0.04309436814318425
33055,0,0,0,0.025436507987734988
33056,0,0,0,0.02624836533988551
33057,0,0,0,0.02813571224083421
33058,0,0,0,0.04719941386795008
33059,0,0,0,0.04227656968946522
33060,0,0,0,0.03814332728404883
33061,0,0,0,0.07642524823221293
33062,0,0,0,0.023122259444424285
33063,0,0,0,0.035759863288808806
33064,0,0,0,0.03141151446107823
33065,0,0,0,0.05624375922462364
33066,0,0,0,0.027144328192889658
33067,0,0,0,0.01617185117791279
33068,0,0,0,0.020329823363673543
33069,0,0,0,0.044016593982461674
33070,0,0,0,0.02484498110102674
33071,0,0,0,0.04707337977557535
33072,0,0,0,0.04729373894709815
33073,0,0,0,0.06540803415849399
33074,0,0,0,0.027076553027192172
33075,0,0,0,0.028468712397677454
33076,0,0,0,0.03574611941462678
33077,0,0,0,0.027906117089108253
33078,0,0,0,0.037419492747442676
33079,0,0,0,0.045105442941087176
33080,0,0,0,0.024341776673875867
33081,0,0,0,0.02532453292959141
33082,0,0,0,0.0320125081642451
33083,0,0,0,0.04104464222053591
33084,0,0,0,0.03353173378773681
33085,0,0,0,0.01867530268088146
33086,0,0,0,0.05313192839125134
33087,0,0,0,0.028101194257288586
33088,0,0,0,0.02885148925816096
33089,0,0,0,0.030067349035667552
33090,0,0,0,0.032695014140263025
33091,0,0,0,0.03707754963593236
33092,0,0,0,0.02971199609030329
33093,0,0,0,0.02992816673651766
33094,0,0,0,0.02872090851445568
33095,0,0,0,0.025505129264056632
33096,0,0,0,0.027530109236069675
33097,0,0,0,0.030119045508880962
33098,0,0,0,0.022383661257584876
33099,0,0,0,0.15828846659637724
33100,0,0,0,0.028443447307667877
33101,0,0,0,0.059142915227530776
33102,0,0,0,0.023399396678103434
33103,0,0,0,0.03405063433029324
33104,0,0,0,0.030759738484504032
33105,0,0,0,0.030086495799733024
33106,0,0,0,0.035571723454935894
33107,0,0,0,0.029084971035962345
