Indice,Maligno,Dispositivo,TipologiaAttacco,RMSE:
8258,0,0,0,0.07605119782294696
8259,0,0,0,0.07701198302956093
8260,0,0,0,0.07917408088524489
8261,0,0,0,0.05648064610857417
8262,0,0,0,0.0898144499673964
8263,0,0,0,0.06622052588497276
8264,0,0,0,0.05797759082768151
8265,0,0,0,0.07636187904630971
8266,0,0,0,0.07224402798395899
8267,0,0,0,0.07164428615380712
8268,0,0,0,0.07810522199993512
8269,0,0,0,0.08465780885588012
8270,0,0,0,0.0953501991671437
8271,0,0,0,0.06321847142836573
8272,0,0,0,0.0553652756833799
8273,0,0,0,0.07599028101190711
8274,0,0,0,0.07559518145563733
8275,0,0,0,0.07621447726946964
8276,0,0,0,0.08939753020556622
8277,0,0,0,0.06274262934617424
8278,0,0,0,0.08903099064922491
8279,0,0,0,0.07190044224404607
8280,0,0,0,0.05994207247930581
8281,0,0,0,0.07513094005236336
8282,0,0,0,0.07113887776965443
8283,0,0,0,0.06704758923240434
8284,0,0,0,0.0873431860242169
8285,0,0,0,0.053611781675651136
8286,0,0,0,0.09105757316402954
8287,0,0,0,0.07877955528170558
8288,0,0,0,0.06463192583635186
8289,0,0,0,0.07614792482554861
8290,0,0,0,0.06826308493575135
8291,0,0,0,0.060780464949278155
8292,0,0,0,0.08475008331265069
8293,0,0,0,0.07908348837451405
8294,0,0,0,0.08257193393495005
8295,0,0,0,0.08310268098696627
8296,0,0,0,0.057488605118344
8297,0,0,0,0.054376667591507055
8298,0,0,0,0.07848208463306267
8299,0,0,0,0.07959288365334874
8300,0,0,0,0.08338108439604194
8301,0,0,0,0.0961424693558519
8302,0,0,0,0.06631100564740523
8303,0,0,0,0.0788033016302174
8304,0,0,0,0.06859428549380142
8305,0,0,0,0.05794532513404829
8306,0,0,0,0.0752392140655734
8307,0,0,0,0.07341420062770032
8308,0,0,0,0.07058380680256991
8309,0,0,0,0.09068129025888962
8310,0,0,0,0.05209523613165645
8311,0,0,0,0.07856929238150576
8312,0,0,0,0.08559268566617158
8313,0,0,0,0.07695471590252585
8314,0,0,0,0.09317426691795422
8315,0,0,0,0.07671091763405471
8316,0,0,0,0.06301941571521094
8317,0,0,0,0.07558363213101843
8318,0,0,0,0.06969852359709888
8319,0,0,0,0.06568675995020302
8320,0,0,0,0.0885483102274209
8321,0,0,0,0.07962238955702305
8322,0,0,0,0.08206916386978669
8323,0,0,0,0.06753857529214731
8324,0,0,0,0.05699269773344826
8325,0,0,0,0.07504917497135596
8326,0,0,0,0.07329158109814903
8327,0,0,0,0.07314333242027704
8328,0,0,0,0.09059702409211735
8329,0,0,0,0.05771786085569411
8330,0,0,0,0.07573461067231953
8331,0,0,0,0.07410018808756999
8332,0,0,0,0.06095211666709895
8333,0,0,0,0.07500514732634236
8334,0,0,0,0.06978093754916302
8335,0,0,0,0.0657891827908497
8336,0,0,0,0.08905305947508763
8337,0,0,0,0.11452440459130446
8338,0,0,0,0.0908900900792058
8339,0,0,0,0.11668922708941168
8340,0,0,0,0.07854906801643687
8341,0,0,0,0.05918190211387467
8342,0,0,0,0.05730941543911186
8343,0,0,0,0.07854448870985993
8344,0,0,0,0.07492767322548363
8345,0,0,0,0.07992198606471733
8346,0,0,0,0.10243782346681013
8347,0,0,0,0.15661119447918273
8348,0,0,0,0.07282574587903627
8349,0,0,0,0.1079748945643542
8350,0,0,0,0.15078227172823233
8351,0,0,0,0.05204815927184624
8352,0,0,0,0.05391739284560844
8353,0,0,0,0.08223598387193717
8354,0,0,0,0.08963155456416425
8355,0,0,0,0.09625980936423105
8356,0,0,0,0.06277409684294129
8357,0,0,0,0.10573759182874132
8358,0,0,0,0.1473601016259754
8359,0,0,0,0.06541416388907902
8360,0,0,0,0.05602485007957583
8361,0,0,0,0.07532473040888284
8362,0,0,0,0.0744094104865058
8363,0,0,0,0.0745383155534566
8364,0,0,0,0.051701953057112005
8365,0,0,0,0.08749489086791408
8366,0,0,0,0.07885511758644445
8367,0,0,0,0.06453464850406812
8368,0,0,0,0.07593553410161513
8369,0,0,0,0.06812510117901219
8370,0,0,0,0.06091005206125287
8371,0,0,0,0.06474434768524148
8372,0,0,0,0.10036505427402141
8373,0,0,0,0.08050933597890553
8374,0,0,0,0.08853241434392099
8375,0,0,0,0.05569837552858208
8376,0,0,0,0.055521131382816856
8377,0,0,0,0.08010055281973315
8378,0,0,0,0.08000574394099814
8379,0,0,0,0.08554946722211114
8380,0,0,0,0.10518070371210234
8381,0,0,0,0.06635837337940835
8382,0,0,0,0.08604188331691891
8383,0,0,0,0.06737739156422966
