Indice,Maligno,Dispositivo,TipologiaAttacco,RMSE:
2188,0,1,0,0.34407618817572855
2189,0,1,0,0.34822325030317236
2190,0,1,0,0.24036860358185538
2191,0,1,0,0.3474859966920386
2192,0,1,0,0.22754551319256405
2193,0,1,0,0.35157429671587215
2194,0,1,0,0.3464303785922263
2195,0,1,0,0.2191714764140692
2196,0,1,0,0.34357275203476056
2197,0,1,0,0.3503888703156088
2198,0,1,0,0.3472651855008611
2199,0,1,0,0.2894197308533382
2200,0,1,0,0.21573924918244375
2201,0,1,0,0.33358555937068335
2202,0,1,0,0.24642766447098896
2203,0,1,0,0.35079286033248874
2204,0,1,0,0.3500880744005679
2205,0,1,0,0.20099901021996636
2206,0,1,0,0.34989828183406296
2207,0,1,0,0.3433594261573058
2208,0,1,0,0.33208256587478063
2209,0,1,0,0.27830552923766844
2210,0,1,0,0.2961802182360511
2211,0,1,0,0.34766698311813665
2212,0,1,0,0.32706326182030193
2213,0,1,0,0.23825295490256979
2214,0,1,0,0.35068979791363036
2215,0,1,0,0.2741970758885529
2216,0,1,0,0.23031970306627064
2217,0,1,0,0.3638639247463588
2218,0,1,0,0.3420781144219865
2219,0,1,0,0.2405988317395302
2220,0,1,0,0.3500051572992471
2221,0,1,0,0.3432649339637608
2222,0,1,0,0.3538294284037314
2223,0,1,0,0.2587168667636855
2224,0,1,0,0.35001531048065626
2225,0,1,0,0.348893339021665
2226,0,1,0,0.22187834179039906
2227,0,1,0,0.3493057820051221
2228,0,1,0,0.3560692810274043
2229,0,1,0,0.34552219793752886
2230,0,1,0,0.28718304966700947
2231,0,1,0,0.2182236258753281
2232,0,1,0,0.33386455759690925
2233,0,1,0,0.24456772190534914
2234,0,1,0,0.3501660478885627
2235,0,1,0,0.35062205031581484
2236,0,1,0,0.23530234596154137
2237,0,1,0,0.3493766499658516
2238,0,1,0,0.29839509833918987
2239,0,1,0,0.23714235190960517
2240,0,1,0,0.3435050628921712
2241,0,1,0,0.2367559601038912
2242,0,1,0,0.2839231805794531
2243,0,1,0,0.1915478810498561
2244,0,1,0,0.23520890431215696
2245,0,1,0,0.3396711773624373
2246,0,1,0,0.32112862140028187
2247,0,1,0,0.2682292186258038
2248,0,1,0,0.23457214738659868
2249,0,1,0,0.3195049049015366
2250,0,1,0,0.22415121423512657
2251,0,1,0,0.35264558004512814
2252,0,1,0,0.34589160740674413
2253,0,1,0,0.3465588490718697
2254,0,1,0,0.22224523623874737
2255,0,1,0,0.3518426105294925
2256,0,1,0,0.34726589196112095
2257,0,1,0,0.22987933186255155
2258,0,1,0,0.3510820523071928
2259,0,1,0,0.3488813358761354
2260,0,1,0,0.2685970479829538
2261,0,1,0,0.225692157790603
2262,0,1,0,0.36083908767144207
2263,0,1,0,0.3341346654889114
2264,0,1,0,0.24052606371479235
2265,0,1,0,0.3446743695926981
2266,0,1,0,0.2902210349674061
2267,0,1,0,0.2501476763083034
2268,0,1,0,0.3467756606563009
2269,0,1,0,0.24051441432952086
2270,0,1,0,0.35139333873526873
2271,0,1,0,0.3455594388292304
2272,0,1,0,0.34640528712649693
2273,0,1,0,0.22144184416523333
2274,0,1,0,0.3502015563267055
2275,0,1,0,0.2775677686896072
2276,0,1,0,0.29057626222680094
2277,0,1,0,0.2381499083345388
2278,0,1,0,0.33448652101093
2279,0,1,0,0.2920861831805852
2280,0,1,0,0.22755437460326258
2281,0,1,0,0.33619136318982434
2282,0,1,0,0.2303450286246659
2283,0,1,0,0.3517084521712895
2284,0,1,0,0.36367900272292236
2285,0,1,0,0.34418614232227335
2286,0,1,0,0.35765698813769375
2287,0,1,0,0.23257887903852525
2288,0,1,0,0.3508711185954066
2289,0,1,0,0.3502811537252236
2290,0,1,0,0.2543030243797311
2291,0,1,0,0.3338663228643178
2292,0,1,0,0.2427038438274549
2293,0,1,0,0.3399808893508624
2294,0,1,0,0.35024213531041953
2295,0,1,0,0.2913530519504263
2296,0,1,0,0.22073584146292333
2297,0,1,0,0.3619945967652522
2298,0,1,0,0.34164585133219283
2299,0,1,0,0.23229047391763885
2300,0,1,0,0.35084995653537304
2301,0,1,0,0.35219240093663096
2302,0,1,0,0.20563416263659706
2303,0,1,0,0.3503197062405884
2304,0,1,0,0.34525852512719885
2305,0,1,0,0.3337458488480718
2306,0,1,0,0.21716607801093563
2307,0,1,0,0.3495672158218367
2308,0,1,0,0.33519177956823154
2309,0,1,0,0.28243778063248753
2310,0,1,0,0.22099899746204993
2311,0,1,0,0.3322089430627729
2312,0,1,0,0.23127770480180698
2313,0,1,0,0.35025272954073416
2314,0,1,0,0.34405738700589433
2315,0,1,0,0.3513584468934399
2316,0,1,0,0.23891595160340243
2317,0,1,0,0.3493911484473299
2318,0,1,0,0.3293488880736989
2319,0,1,0,0.19126831285585588
2320,0,1,0,0.3177334061525737
2321,0,1,0,0.2755129090017731
2322,0,1,0,0.25197866457221263
2323,0,1,0,0.3257157384117935
2324,0,1,0,0.3263911502774778
2325,0,1,0,0.2657165222514768
2326,0,1,0,0.22844566126131022
2327,0,1,0,0.36578927732147587
2328,0,1,0,0.3317699282935541
2329,0,1,0,0.20052752813638955
2330,0,1,0,0.3521321596673247
2331,0,1,0,0.34357570101741036
2332,0,1,0,0.32759061216869567
2333,0,1,0,0.31184933487859845
2334,0,1,0,0.29609085462147405
2335,0,1,0,0.2333320201852954
2336,0,1,0,0.32501211023754756
2337,0,1,0,0.22754504744546392
2338,0,1,0,0.35268033852830727
2339,0,1,0,0.3492096797995532
